nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,buen dia hoy manabi invitado sintonizar medio estare invitado hablar cpccs sofiaalmeida,2019-02-20
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,ciudadano derecho conocer mas función cpccs tambien candidato consejo participacion ciudadanar control social sofiaalmeida somosanticorrupcion,2019-02-20
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,ecuadoralasurna sofiaalmeidaec candidata cpccs conocer propuesta institucion,2019-02-21
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,ecuadoralasurna sofiaalmeidaec entidades deber ser independiente deber revisar autoridad saber si persona indicado ocupar puesto tanto responsabilidad,2019-02-21
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,ecuadoralasurna sofiaalmeidaec deber luchar corrupcion prevencion  copiar aquel ejemplo internacional buen,2019-02-21
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,ecuadoralasurna sofiaalmeidaec creer lucha corrupcion deber tener informacion traves plataforma informatico hacer país poder tener ciudadano informacion hacer,2019-02-21
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,gracias medio comunicacion bella ciudad ibarra sofiaalmeido experiencia necesario cambiar falencia sector publico luchar corrupcion junto cpccs somosanticorrupcion,2019-02-21
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,empecir trabajar abajo tropa él conocer manejar entidad publica cpccs ir representar bien ciudadano sofiaalmeido prevenirysancionar somosanticorrupcion,2019-02-21
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,buen dias hoy tulcar visitare varios medio comunicacion gentilmente invitado hablar cpccs,2019-02-22
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,recorrer lindo sierra ecuatoriano sofiaalmeido cpccs,2019-02-23
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,vandocilla cpccs davidroserow chugchilanjaimir gracia respaldo vladimir,2019-02-23
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,hermana irenir acompano recorridir varios ciudad 11 ano mayor veo recordar hacer 11 ano vivido tiempo alegria tristeza acierto errores ahi ir resumir mejor graduacion universidad,2019-02-25
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,buen dias invitado sintonizar diferente radio estarar diar hoy invitado hablare cpccs propuesta sofiaalmeido,2019-02-25
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,pregunto asesor politico sr lassoguillermo hacer cometer tanto error confabulado correismo promover voto nulo dejar candidato impulsado correa tomar cpccs sofiaalmeida,2019-02-25
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,mas 11 ano auditora sector publico saber auditar conocer primero proceso conocer maneja administracion publicar conocer falencia cual solución,2019-02-25
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,auditado universidad ministerio municipio diferente empresa publica mucho institución experiencia 11 ano contralorio general curso nacional internacional auditorio control validar,2019-02-25
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,experiencia 11 ano contralorio general curso nacional internacional auditorio control validar cpccs necesitar gente idoneo luchar corrupcion alto valor moral,2019-02-25
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,cpccs necesitar gente idoneo luchar corrupcion alto valor moral invito investigar 43 candidato cpccs trayectoria propuesto sofiaalmeido somosanticorrupcion,2019-02-26
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,epelsita galobonifaz lassoguillermo diarioextraec ecuavisainforma lahoraecuador expresoec elnorteadiario mercurioec eldiarioec 1alejandrogallo chugchilanjaime guillermolasso asi,2019-02-26
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,feuenac ecuador davidroserow chugchilanjaime mauricio fese mucho gracia respaldo,2019-02-26
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,diar manana 08h00 estare universidad art participar encuentro construccion democracia participativo territorio sofiaalmeido cpccs invitado,2019-02-27
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,voto nulo atentado democracia desobedecer constitucion exige eleccion cpccs sofiaalmeida,2019-02-28
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,ecuadordecide2019 espacio destinado ecuatoriano conocer candidato propuesto previo elección seccional 2019 hoy invitado sofiaalmeidaec candidata consejo participacion ciudadano,2019-02-28
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,hoy estare ecuadordecide2019 espacio destinado ecuatoriano conocer candidato propuesto previo elección seccional 2019 cpccs sofiaalmeida,2019-02-28
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,diar hoy triunfo ciudad gente lindo gana saber mas cpccs conocer derecho informado saber elegir persona correcto 24 marzo sofiaalmeida somosanticorrupcion,2019-03-01
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,ecuador pais tanto hermoso diverso costa maravilloso isla galapago montana helado selva lleno flora faún fenomenal sigar disfrutar bello pais moderacion familia amigos sofiaalmeido,2019-03-04
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,despu largo feriado presento pequeno resumen vido academico profesional gracias uees ec sofiaalmeida juntos somosanticorrupcion,2019-03-06
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,shyrisique elnorteadiario mercurioec diarioextraec eldiarioec expresoec lahoraecuador ecuavisainforma diarioqueec galobonifaz 1alejandrogallo pertenecer ningun partido politico solo buscar nombre adjunto video mas informado saludo,2019-03-06
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,shyrisique elnorteadiario mercurioec diarioextraec eldiarioec expresoec lahoraecuador ecuavisainforma diarioqueec galobonifaz 1alejandrogallo pertenecer ningun partido politico solo buscar nombre adjunto video mas informado saludo,2019-03-06
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,dia encontre radiomorena640 davidroserow chugchilanjaime candidato cpccs conversar falta hacer lucha corrupcion coincidir punto sofiaalmeido somosanticorrupcion,2019-03-07
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,hoy estare itbolivariano hablar cpccs estar invitado sofiaalmeido somosanticorrupcion,2019-03-07
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,conversatorio corrupto itbolivariano gracias todo persona asistido sofiaalmeida somosanticorrupcion,2019-03-08
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,recuperar valor robado acto corrupcion ir regresar dinero bolsillo ecuatoriano bastar ley blando permitir fuga politico corrupto dinero ciudadanos sofiaalmeido somosanticorrupcion cpccs,2019-03-08
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,corazon orens gracias hermano oro sofiaalmeido cpccs,2019-03-11
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,felizdiadelamujer querer ir dormir desear pasado feliz diar todo mujer fuente amor decir cancion dedico carino mama abuela familiar amigo todo ecuatoriana sofiaalmeido cpccs,2019-03-09
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,felizdiadelamujer querer ir dormir desear pasado feliz diar todo mujer fuente amor decir cancion dedico carino mama abuela familiar amigo todo ecuatoriana sofiaalmeido cpccs,2019-03-09
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,dia deber ser dio mujer nadie quitar nunca sueno felizdiadelamujer,2019-03-10
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,amigo compartir agenda medio ciudad machala estare diar mierco él 13 recorrer provincia oro sofiaalmeido cpccs,2019-03-11
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,buen dia radio lider internacional 101 5 fm bello ciudad machalo sofiaalmeido cpccs,2019-03-11
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,manifestado hora entregar ciudadano herramienta necesario participar activamente lucha corrupcion propuesta cualquiera persona celular podro ser fiscalizador sector publico sofiaalmeido cpccs,2019-03-11
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,canalorovision luego entrevista ameno gracias afecto respaldo brindado manana miercol seguire recorrer provincia oro sofiaalmeido cpccs,2019-03-12
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,vivo radio infinitar 97 5 fm pasaje provincia oro ciudadano derecho conocer mas función cpccs tambien candidato consejo participacion ciudadanar control social sofiaalmeido,2019-03-12
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,seguir recorrer bello provincia oro ciudadano estar informado poder exigir derecho cpccs ir empoderar ciudadano trav acceso todo informacion publicar sofiaalmeido,2019-03-12
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,hoy visitar huaquilla socializar propuesto crear plataforma tecnologico anticorrupcion asi informacion sero realmente publicar ciudadano poder hacer denuncia formar agil integrado necesidad hacer larga fila sofiaalmeido cpccs,2019-03-13
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,gracias medio comunicacion capital bananero mundo ciudad machalo sofiaalmeido experiencia necesario cambiar falencia sector publico luchar corrupcion junto cpccs somosanticorrupcion,2019-03-13
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,sofiaalmeidaec,2019-03-13
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,tierra amado padre bello prov rio estare visitar varios medio comunicacion preocupar elecciones2019 buscar ciudadano estir informado saber elegir bien representante cpccs sofiaalmeida,2019-03-14
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,sofiaalmeido comparto 3 eje principal plan trabajo plataforma informatico lucha corrupcion recuperar dinero robado acto corrupcion despolitizar entidad deber ser independiente cpccs somosanticorrupcion,2019-03-14
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,mejor proceso sido recorrer varios provincia lindo ecuador aprovechar informar ciudadano pai elegiremo consejero consejero cpccs proximo 24 marzo sofiaalmeida elecciones2019ec,2019-03-15
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,hermano pedro aar encanto regresar rio tierra querido padre familia pilar vida mayor 4 hermano si hermano nunca dejar compartir recuerdo quedar siempre sofiaalmeido cpccs,2019-03-16
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,sofiaalmeido comparto 3 eje principal plan trabajo plataforma informatico lucha corrupcion recuperar dinero robado acto corrupcion despolitizar entidad deber ser independiente cpccs somosanticorrupcion,2019-03-17
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,pequena musico ser grande pasión hoy querer compartir tú pasion musico aprovechado cantar corrupcion dano hacer pais sofiaalmeido somosanticorrupcion rt si compart mismo sentir,2019-03-17
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,buen dia estar invitado sintonizar medio hoy estare hablar cpccs proxima eleccionesecuador2019 sofiaalmeida,2019-03-18
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,empezar entrevista mucho energia positivo proximo domingo elecciones2019ec compartido lindo experiencia mucho gente alrededor pais gracias sofiaalmeida cpccs,2019-03-18
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,buen dia compartir agenda medio poder sintonizar diar hoy estare medio nivel nacional hablar cpccs función sofiaalmeido medio,2019-03-19
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,frm87 mrsgubler2013 hernanulloa davidroserow mucho gracia respaldo felipe fuerte abrazo,2019-03-20
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,gracias medio comunicacion diario ayudar ciudadania informado ecuatoriano deber conocer mas función cpccs candidato consejo participacion ciudadanar control social sofiaalmeido elecciones2019ec,2019-03-20
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,omarmaluk jobafonfay2019 mucho gracia respaldo,2019-03-22
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,hacer poco dia comparti canal1 3 eje principal plan trabajo plataforma informatico lucha corrupcion recuperar dinero robado acto corrupcion despolitizar entidad deber ser independiente cpccs sofiaalmeida,2019-03-23
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,jessikjaramillo davidroserow gracias respaldo jessico,2019-03-23
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,kevinroja jcarlostuarez davidroserow alandmolestinam jovitafonfay manababravo gracia respaldo,2019-03-23
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,votosofiaalmeidacpcc sofiaalmeidaec,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,manán poder acompanar votar esperar sofiaalmeido cpccs,2019-03-23
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,voto gente honesto capaz cpcss davidroserow sofiaalmeidaec jaime cugchilar,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,consejo participacion ciudadano mujeres ibethestupinar jobafonfay2019 sofiaalmeidaec hombre franklinmorenom alandmolestinam c espinozaec pueblo nacionalidad indigena chugchilanjaime,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,gracias apoyo sofiaalmeidaec,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,voto cpccs juventud rebeldio transparencia davidroserow sofiaalmeidaec chugchilanjaime,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,bonilcaricaturar vot nulo cpccs facilitar correismo tomar control crucial organismo control votar sofiaalmeidaec catalina perez francisco bravo listo pueblo carlosfigueroa6 alandmolestinam davidroserow,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,hoy votar tamaapoyo alandmolestinam hernanulloa jobafonfay2019 catalinaperez sofiaalmeidaec chugchilanjaime losmejoressincorrupcion,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,sofiaalmeidaec voto gusto propuesto parte tecnologico,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,mashirafael hombre 6 carlos figueroa carlosfigueroa6 8 aland molestina alandmolestinam 11 david rosero davidroserow mujeres 1 ibeth estupinar ibethestupinar 2 maria rivadeneira mrivadeneirac 10 sofia almeido sofiaalmeidaec minorias 3 jaime chugchilar chugchilanjaime,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,mashirafael 40 familiar usar canado spain italy votarar asi carlos figueroa carlosfigueroa6 aland molestina alandmolestinam david rosero davidroserow ibeth estupinar ibethestupinar maria rivadeneira mrivadeneirac sofia almeido sofiaalmeidaec jaime chugchilar chugchilanjaime,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,elecciones2019ec votar aunque optativo carlos figueroa carlosfigueroa6 aland molestina alandmolestinam david rosero davidroserow ibeth estupinar ibethestupinar maria rivadeneira mrivadeneirac sofia almeido sofiaalmeidaec jaime chugchilar chugchilanjaime,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,ayudar corrar voz david rosero sofiar almeido jaime chugchilar ganarar candidato consejo participacion ciudadanar control social davidroserow sofiaalmeidaec chugchilanjaime,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,vot nulo cpccs facilitar correismo tomar control crucial organismo control votar sofiaalmeidaec catalina perez francisco bravo listo pueblo carlosfigueroa6 alandmolestinam davidroserow,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,hoy voto sofiaalmeidaec,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,votosofiaalmeidacpcc sofiaalmeidaec,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,4 listar mujer recomeir votar sofia almeido profesional destacado fiscalizadoro honesta incorruptible ecuador necesitar cpccs sofiaalmeidaec,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,olvidir cita hernanulloa chugchilanjaime sofiaalmeidaec 24 anular voto cpcc cnegobec,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,jctrujillocpccs radioquitoec expuesto considerar cpccs deber fortalecer empezar votar gente bien desear mala practica asamblea voto positivo davidroserow sofiaalmeidaec chugchilanjaime,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,joseakalil hernanulloa sofiaalmeidaec hernanulloa,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,ayudar elección cpccs mujer cambio votar david rosero casillero 11 hombre sofiar almeido casillero 10 mujer jaime chugchilar casillero 3 pueblo nacionalidad davidroserow sofiaalmeidaec chugchilanjaime,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,desperdicies voto continuar lucha corrupcion 24 marzo votar davidroserow sofiaalmeidaec chugchilanjaimir cpccs,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,sugerencia tiempos incertidumbre democraciar papel hombre jcarlostuarez davidroserow alandmolestinam mujer sofiaalmeidaec jovitafonfay catalina perez avilar pueblo nacionalidad manababravir,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,equivoqu votar sofiaalmeidaec kariponce11 carlosfigueroa6 pabloponce ricardorivasbr manababravo cpccs,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,gireyb hernanulloa dmarcosmolina faustomolina sofiaalmeidaec,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,jotacelirar personal considerar buena opción mujer catalinar perez sofiaalmeidaec hombre hernanulloa alandmolestinam davidroserow ricardorivasbr minoria chugchilanjaime francisco bravo,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,sugerencia tiempos incertidumbre democraciar papel hombre jcarlostuarez davidroserow alandmolestinam mujer sofiaalmeidaec jovitafonfay catalina perez avilar pueblo nacionalidad manababravir,2019-03-24
