nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Patricio,Buendia,patobuendia23,yazminbustar interagua alcaldiagye cynthiaviteri6 jimmyjairalo fcojimenez21 cedeno marth balerioestacio jaimelomas74 eduardoargudog ginocornejom simon bolivarec sencillamente auditar control solo servicio sino calidad agua alcantarillado hablar analizar continuidad cobro rubro gente humilde deber exonerar pago alcantarillado justo pbuendia,2019-02-25
Patricio,Buendia,patobuendia23,atento manán radiomorena640,2019-02-26
Patricio,Buendia,patobuendia23,seguirar trabajo puerta puerta llevar propuesta guayaquileno eluniversocom,2019-02-26
Patricio,Buendia,patobuendia23,exponer propuesta guayaquil,2019-02-28
Patricio,Buendia,patobuendia23,esperar sabado marzo partir 16h00 trinitario elegir reina carnaval pondre bailar cantar tema musicmarketint radiomakro pedritoortizjr pmsuarezh vipmusicrecords ricuesta patobuendia23,2019-03-01
Patricio,Buendia,patobuendia23,decisionendemocracia 22h00 conocerer candidato alcaldio guayaquil eduardoargudog bermudezbronson patobuendia23 carloscasanello jorgecopiano ginocornejom valerioestacio joseinco mirano vivo ecuadortv,2019-03-12
Patricio,Buendia,patobuendia23,seguirar trabajo puerta puerta llevar propuesta guayaquileno eluniversocom,2019-03-13
Patricio,Buendia,patobuendia23,envideo buendia plantear programa prevencion droga joven guayaquileno patobuendia23,2019-03-14
Patricio,Buendia,patobuendia23,guayascomonunca candidato alcalde patobuendia23 varios candidato concejal sumar decidido apoyar ceciliacalderec prefectura guaya,2019-03-15
Patricio,Buendia,patobuendia23,campán patobuendia23 junto ceciliacalderec,2019-03-18
Patricio,Buendia,patobuendia23,recorrer pascual junto patobuendia23 candidata prefectar ceciliacalderec,2019-03-18
Patricio,Buendia,patobuendia23,celebramos cumpleano patricio buendia padre amigo patobuendia23 hicimos bailar matar gusano,2019-03-18
Patricio,Buendia,patobuendia23,senor contralorio acabar elección perdio candidato protegido jimmyjairalo momento mostrar pai informe archivado misteriosamente identificar responsable multimillonario glosas martharoldo guayascna,2019-03-25
Patricio,Buendia,patobuendia23,nuevafotodeperfil,2019-03-26
