nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,venir organización social movimiento indigenar ecuador pertenecer ninguno tendencia partidista jipijapa caferadio tuparticipacioneslasolucion jaimechugchilanesparticipacion,2019-02-19
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,venir organización social movimiento indigenar ecuador pertenecer ninguno tendencia partidista jipijapa caferadio tuparticipacioneslasolucion jaimechugchilanesparticipacion,2019-02-19
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,gracias periodista limberchilanch cesardelgado caferadio jipijapa entrevista tuparticipacioneslasolucion jaimechugchilanesparticipacion,2019-02-19
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,radiocaribir manabi periodista franklin castro conversar propuesto cpccs tuparticipacioneslasolucion jaimechugchilanesparticipacion,2019-02-19
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,gracias jefferson calle recibimiento invitar yo mercado jipijajar degustar rico bolón chicharron socializar propuesta cpccs tuparticipacioneslasolucion jaimechugchilanesparticipacion,2019-02-19
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,fortalecimo participacion ciudadano conversatorio candidato cpccs jipijajar gracia manabi acogida,2019-02-19
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,buen manabi invitado sintonizar medio estare invitado hablar cpccs sofiaalmeida,2019-02-20
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,manabi compartir joven importancia cpccs joven vivir participacion tuparticipacioneslasolucion jaimechugchilanesparticipacion,2019-02-20
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,venir movimiento indigén ecuador organización social pertenecer ninguno tendencia partidista represento ecuatoriano querer pais mejor radiomorén guayaquil tuparticipacioneslasolucion jaimechugchilanesparticipacion,2019-02-20
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,guayaquil entrevista wqradio compartir microfono franklinmorenoquezado dialogar reto propuesto cpccs tuparticipacioneslasolucion jaimechugchilanesparticipacion,2019-02-20
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,guayaquil participar asamblea ciudadano ecuador tuparticipacioneslasolucion jaimechugchilanesparticipacion,2019-02-20
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,invitar ecuatoriano escoger buen ciudadano cpccs marzo manasurtv manabi tuparticipacioneslasolucion jaimechugchilanesparticipacion,2019-02-20
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,estimado colega feliz,2019-02-20
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,trabajo enseno responsabilidad dignifico vida impulsar joven participar proceso ciudadano cpccs escuchar tuparticipacioneslasolucion jaimechugchilanesparticipacion,2019-02-20
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,feliz colega abogados,2019-02-20
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,importante medio comunicacion estir atento clamor ciudadano herramienta objetivo transparente gracias angelita colegio periodista guaya franklin moreno tuparticipacioneslasolucion jaimechugchilanesparticipacion,2019-02-20
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,vandocilla cpccs davidroserow sofiaalmeidaec gracias amigo saludo,2019-02-23
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,voto nulo dejar sector secuestrar cpccs pasado regrese voto sero davidroserow sofiaalmeidaec chugchilanjaime,2019-02-23
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,recorrer guayaquil conversar gente dar conocer propuesta cpccs franklin moreno quezado tuparticipacioneslasolucion jaimechugchilanesparticipacion,2019-02-24
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,ciudadano derecho conocer cual serar función cpccs candidato participarar marzo guayaquil junto franklin moreno quezado tuparticipacioneslasolucion jaimechugchilanesparticipacion,2019-02-24
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,candidato cpccs colectivo integracion democracio democracia analizado hoja vido candidato establecido correista votaremos eleccion ideal pueblo chugchilanjaime,2019-02-24
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,peguche otavalo compartir disfrutar pawkar raymi fiesta florecimiento tuparticipacioneslasolucion jaimechugchilanesparticipacion,2019-02-24
