nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Pablo,Davalos,PabloDavalos63,suficiente preparacion academico intelectual etica dirigir quito conformer menos,2019-03-06
Pablo,Davalos,PabloDavalos63,unico atacar sino proponer gestor verdadero transformacion necesitar ciudad,2019-03-07
Pablo,Davalos,PabloDavalos63,banco ciudad municipalizacion transporte publico programa femicidio cero quito nocturno basura cero museo siglo capacitacion tecnologia economia informacion perder momento mejor opcion,2019-03-07
Pablo,Davalos,PabloDavalos63,banco ciudad municipalizacion transporte publico programa femicidio cero quito nocturno basura cero museo siglo capacitacion tecnologia economia informacion perder momento mejor opcion,2019-03-08
Pablo,Davalos,PabloDavalos63,quito esperanza mejor opcion,2019-03-08
Pablo,Davalos,PabloDavalos63,quito esperanza mejor opcion,2019-03-09
Pablo,Davalos,PabloDavalos63,dialogo candidato alcaldio quito organizado postulant,2019-03-14
Pablo,Davalos,PabloDavalos63,preparado asumir responsabilidad reto alcaldio quito,2019-03-19
Pablo,Davalos,PabloDavalos63,candidato alcaldia municipalizar transporte publico unico forma lograr tarifa bajo servicio eficiente escucha entrevista completo,2019-03-21
Pablo,Davalos,PabloDavalos63,cierto centro derecho debio haber unir quito situacion habrio ser diferente reconocer candidato unico aparte realmente tenia proyecto ciudad,2019-03-26
Pablo,Davalos,PabloDavalos63,preocupado firma carta intencion propuesta flexibilizacion laboral derecho trabajador campesino invitar conferencia dara,2019-04-07
Pablo,Davalos,PabloDavalos63,invitamos taller trabajo carta intencion bienvenido jueves partir 18h00 universidad andino simon bolivar,2019-04-08
Pablo,Davalos,PabloDavalos63,invitamos ciudadano lojo participar taller trabajo carta intencion miercol manán,2019-04-09
Pablo,Davalos,PabloDavalos63,consecuencia traer acuerdo aqui contar afectación economia ecuatoriano,2019-04-21
Pablo,Davalos,PabloDavalos63,acordar vulnerar pobre trabajador siempre significar deterioro condición vido decir economista ecuatoriano,2019-04-25
