nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Victoria Tatiana,Desintonio Malave,VickyDesintonio,manabiesvictorio amiga amigo desear felizmart querido manabi victoriadelapatrio ecuador eleccionescpccs elecciones2019ec cpccs,2019-02-19
Victoria Tatiana,Desintonio Malave,VickyDesintonio,manabiesvictorio resumir actividad participar conversatorio organización sociedad civil invitado ciudad portoviejo victoriadelapatrio eleccionescpccs cpccs,2019-02-19
Victoria Tatiana,Desintonio Malave,VickyDesintonio,ahora conversatorio participacion ciudadano eleccionescpccs invitado vickydesintonio gracielamoro candidata cpccs,2019-02-19
Victoria Tatiana,Desintonio Malave,VickyDesintonio,20h30 invito seguir transmision vivo lineaduraec victoriadelapatrio casillero6,2019-02-19
Victoria Tatiana,Desintonio Malave,VickyDesintonio,20h30 invito seguir transmision vivo lineaduraec victoriadelapatrio casillero6,2019-02-20
Victoria Tatiana,Desintonio Malave,VickyDesintonio,vickydesintonio voto familia,2019-02-20
Victoria Tatiana,Desintonio Malave,VickyDesintonio,grata conversacion xavier lasso kolectivoz presento idea historio vido propuesto cambio democracia real participativo traves candidatura cpccs victoriadelapatrio casillero6 eleccionescpccs,2019-02-22
Victoria Tatiana,Desintonio Malave,VickyDesintonio,xavier lasso entrevista vickydesintonio candidata cpccs tema semblanza entrevistado reto frente restricción campán palabrasueltaenkolectivoz youtube fblive,2019-02-22
Victoria Tatiana,Desintonio Malave,VickyDesintonio,palabrasueltaenkolectivoz xavier lasso entrevista vickydesintonio candidata cpccs,2019-02-22
Victoria Tatiana,Desintonio Malave,VickyDesintonio,palabrasueltaenkolectivoz vickydesintonio constituyente plantear participacion ciudadano poder fundamental pretender desaparecer cpcc desconocer lucha social organizacion trabajador mujer joven,2019-02-22
Victoria Tatiana,Desintonio Malave,VickyDesintonio,entendi bien cambio moneda senti llorar padre angustiar poder educar mantener hijo entendi jubileo2000 vickydesintonio xavier lasso palabrasueltaenkolectivoz,2019-02-22
