nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Joba Aminta,Fon Fay Vasquez,jobafonfay2019,votare nulo eleccionescpccs apoyare pueblo nacionalidad rosa chalar rosachalaec mujer joba jobafonfay2019 karina ponce kariponce11 hombre carlos pauta carlosrpauta hugo ludena vicenteludea1 carlos figueroa carlosfigueroa6,2019-02-28
Joba Aminta,Fon Fay Vasquez,jobafonfay2019,votare nulo eleccionescpccs apoyare pueblo nacionalidad rosa chalar rosachalaec mujer joba jobafonfay2019 karina ponce kariponce11 hombre carlos pauta carlosrpauta hugo ludena vicenteludea1 carlos figueroa carlosfigueroa6,2019-02-28
Joba Aminta,Fon Fay Vasquez,jobafonfay2019,derecho candidatura consejero cpccs independiente elegido aceptar firmar pacto etico compromiso sofiaalmeidaec jobafonfay2019 mariacatalinaperezavila hernanulloa davidroserow jamesmcpccs chugchilanjaime,2019-02-28
Joba Aminta,Fon Fay Vasquez,jobafonfay2019,fernandobaldar cpccs lassoguillermo hernanulloa sofiaalmeidaec voto familia hernanulloa alandmolestinam davidroserow jobafonfay2019 sofiaalmeidaec maria catalina perez francisco bravo vivo ecuador carcel corrupto,2019-03-01
Joba Aminta,Fon Fay Vasquez,jobafonfay2019,coincidir lasso derecha llamar nulo voto nulo voto candidato proveniente organización social pueblo nacionalidad rosachalaec mujer kariponce11 jobafonfay2019 hombre carlospauto hugo ludena carlosfigueroa6,2019-03-01
Joba Aminta,Fon Fay Vasquez,jobafonfay2019,luislarapared alandmolestinam hernanulloa jobafonfay2019 sofiaalmeidaec davidroserow aqui pollar casillero noalvotonulo,2019-03-01
Joba Aminta,Fon Fay Vasquez,jobafonfay2019,ronpeper voto alandmolestinam hernanulloa jobafonfay2019 sofiaalmeidaec davidroserow maria catalina perez francisco bravo llegar pueblo solo puno siete candidato opinon respetar demas buen viento buen,2019-03-01
Joba Aminta,Fon Fay Vasquez,jobafonfay2019,tamaapoyo elegir mejor votar marzo cpccs,2019-03-02
Joba Aminta,Fon Fay Vasquez,jobafonfay2019,voto cesarmontufar51 ester moscoso hernanulloa davidroserow sofiar almeido joba catalina perez javier molestina lorenzo bravo padron voto menos candidato cnegobec cnevice borisvianii,2019-03-02
Joba Aminta,Fon Fay Vasquez,jobafonfay2019,declarar votare proximo cpccs poder equivoque aviso dar voto tendre derecho reclamar promesa campán sofiaalmeidaec hernanulloa caty jobafonfay2019 manababravo apoyodrfigueroa alandmolestinam,2019-03-04
Joba Aminta,Fon Fay Vasquez,jobafonfay2019,gorihuela sofiaalmeidaec hernanulloa caty jobafonfay2019 manababravo apoyodrfigueroa alandmolestinam totalmente acuerdo poder garantizar ecuanimidad cpccs apoyo totalmente nombre,2019-03-04
Joba Aminta,Fon Fay Vasquez,jobafonfay2019,verdadero participacion ciudadano impulsar valor etico acabar corrupcion,2019-03-05
