nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Edison David,Gallegos Bayas,EDGallegosBayas,continuar entrevista ahora candidato contar propuestas participar pregunta conectate,2019-02-28
Edison David,Gallegos Bayas,EDGallegosBayas,proponer contrato apruer sercop par filtro quinto poder controlar evitar comentar irregularidad escucha entrevista completo,2019-03-01
Edison David,Gallegos Bayas,EDGallegosBayas,ahora acompán candidato hablar propuesta campán mirano,2019-03-07
Edison David,Gallegos Bayas,EDGallegosBayas,pediria hacer cumplir segun manifiesta prohibición poder promocionar bien candidato,2019-03-07
Edison David,Gallegos Bayas,EDGallegosBayas,analizar responsable fortalecer aqui,2019-03-07
Edison David,Gallegos Bayas,EDGallegosBayas,quinto poder segun constitucion mismo deber respaldar respetado todo institución aqui,2019-03-07
Edison David,Gallegos Bayas,EDGallegosBayas,comparto video promoción candidatura,2019-03-08
Edison David,Gallegos Bayas,EDGallegosBayas,gracias radio invitacion permitirme conocer ciudadania propuesto,2019-03-13
Edison David,Gallegos Bayas,EDGallegosBayas,poder encontrar casillero segundo fila,2019-03-19
Edison David,Gallegos Bayas,EDGallegosBayas,poder encontrar casillero segundo fila,2019-03-19
