nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Jimmy,Jairala,jimmyjairala,ver adversario politico jimmyjairala bajo troll sorprender anonadado vez traer trolebús metro via traido bus trol campán aire acondicionado supuesto,2019-02-19
Jimmy,Jairala,jimmyjairala,accion extraordinario proteccion exagerada inconstitucional multa infracción transito elmejorguayaquildetodoslostiempo teleradio1350,2019-02-19
Jimmy,Jairala,jimmyjairala,boletin jimmyjairala indico si corteconstecu falla multa atm analizar via legal devolver monto afectado conductor guayaquileno elmejorguayaquildetodoslostiempo lee nota,2019-02-19
Jimmy,Jairala,jimmyjairala,boletin jimmyjairala explico si corteconstecu falla multa atm deber buscar via legal resarcir conductor afectado ciudad elmejorguayaquildetodoslostiempos lee nota,2019-02-19
Jimmy,Jairala,jimmyjairala,conocer mas candidato alcaldia guayaquil jimmyjairala ene sta entrevista realizado vitotv offical,2019-02-19
Jimmy,Jairala,jimmyjairala,letrero q dar indicación d transito entrada d urdés gye utizado campana electoral favor d candidato q auspicia actual administracion municipal legal cnegobec participacionpc jimmyjairala jorgevelezvelez henrycarrascal malulyvaldivies,2019-02-19
Jimmy,Jairala,jimmyjairala,hacer cynthiaviteri6 vez ilusionar 2017 decir él pasar segundo vuelta financiar broma mal gusto enganir hermana segundo encuesta deprima verdad,2019-02-19
Jimmy,Jairala,jimmyjairala,mentir cada diente 6 llegado desesperacion nivel dio seguir pretender tomar él pelo guayaquileno ir noma cuento chino 24 ver decir encuesta cosa nadie creer,2019-02-19
Jimmy,Jairala,jimmyjairala,familia unido dignidad guayaquileno jimmyjairala sera nuevo alcalde guayaquil ayer 7 lago sur urbe portén elmejorguayaquildetodoslostiempo,2019-02-19
Jimmy,Jairala,jimmyjairala,jimmyjairala explico teleradio1350 cual expectativa demanda constitucional presentado abusiva multa atm caso ahora debera pasar corteconstecu mira resumen entrevista elmejorguayaquildetodoslostiempo,2019-02-19
Jimmy,Jairala,jimmyjairala,tres parroquia recorrimo caminar caravana reuniendono colectivo morador letamendi garcia moreno sucre,2019-02-19
Jimmy,Jairala,jimmyjairala,casa colectivo constatamos penoso vivir 700 familia ignorado municipio quedar esperanza administracion serar integrado ciudad,2019-02-19
Jimmy,Jairala,jimmyjairala,finalizamos concentracion lizardo garcia rosendo avil barriado pidio seguridad mejorar servicio basico bajar multa atmy luchar droga elmejorguayaquildetodoslostiempo,2019-02-19
Jimmy,Jairala,jimmyjairala,jimmyjairala concretarar grande cambio q esperar ciudadania mejor radical transporte publico primero decir q x salud publicar poder poner c pobre luego insistencio traer 20 bus rayatodo1,2019-02-19
Jimmy,Jairala,jimmyjairala,boletin jimmyjairala recorrio parroquia letamendi sucre garcia moreno poder conversar vecino casa colectivo prometio terminar abandono municipal sufrido ultima administración leer nota,2019-02-20
Jimmy,Jairala,jimmyjairala,firme construccion elmejorguayaquildetodoslostiempo radioelite9971 rtw24ec,2019-02-20
Jimmy,Jairala,jimmyjairala,policia ciudad reemplazarar metropolitana tendro importante presencia mujer necesitar policia amigo cercano habra persecucion maltrato informal ayudar él organizar él,2019-02-20
Jimmy,Jairala,jimmyjairala,si corteconstecu dar razon poder aplicar derecho repeticion firmar ordenanza devuelir dinero cobrado indebidamente infracción transito radioelite9971,2019-02-20
Jimmy,Jairala,jimmyjairala,market poner segundo vuelta cynthio dar 23 exit pol saco 16 hoy decir llevar 25 punto ventajar seguir logico desacierto ratifico encabezar encuesta efectivamente suceder hoy,2019-02-20
Jimmy,Jairala,jimmyjairala,boletin market empresa fallado historicamente decir jimmyjairala entrevista radioelite9971 candidato calificar bur él ofenso guayaquileno cifra presentado encuestadoro lee nota,2019-02-20
Jimmy,Jairala,jimmyjairala,elección alcaldiagye ano 2004 jaimenebotsaadi saco 56 76 jimmyjairala saco 30 02 sorpresa encuestadora cynthiaviteri6 nebot  voto endosar nebot necesito plan b cnegobec podrio perder alcaldio prefectura,2019-02-20
Jimmy,Jairala,jimmyjairala,verdad autoridad aeroportuario tagso firmar aeropuerto continuar menos 2029,2019-02-20
