nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Francisco,Jimenez Sanchez,fcojimenez21,seguir recorrer guayaquil mercado santo teresitar parroquia febr cordero presentar propuesto comerciant sector potenciar infraestructura mercado darl connotacion turistico,2019-02-19
Francisco,Jimenez Sanchez,fcojimenez21,radio vivo conversar propuesta,2019-02-19
Francisco,Jimenez Sanchez,fcojimenez21,organizar ciudad zona cada unidad municipal independiente presupuesto propio elaborado propuesta funcion buscar progreso guayaquileno,2019-02-19
Francisco,Jimenez Sanchez,fcojimenez21,realidad duro guayaquil vez costar aceptarla mejorar querer construir ilusiona,2019-02-19
Francisco,Jimenez Sanchez,fcojimenez21,gracias recibir minuto conversar vida futbol pasion comparto pequeno,2019-02-19
Francisco,Jimenez Sanchez,fcojimenez21,radio poder entrevista vivo,2019-02-19
Francisco,Jimenez Sanchez,fcojimenez21,amigo manán presentar guayaquileno propuesta cuentano tema gustario debata,2019-02-20
Francisco,Jimenez Sanchez,fcojimenez21,llevar cabo debate candidato alcald organizado camar comercio negado asistir actitud antidemocratico falta respeto votante,2019-02-20
Francisco,Jimenez Sanchez,fcojimenez21,llevar cabo debate candidato alcald organizado camar comercio negado asistir actitud antidemocratico falta respeto votante,2019-02-20
Francisco,Jimenez Sanchez,fcojimenez21,candidato debate merecer voto,2019-02-20
Francisco,Jimenez Sanchez,fcojimenez21,amigo 20h00 presente vivo streaming oficial,2019-02-20
Francisco,Jimenez Sanchez,fcojimenez21,listo breve momento arranco,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,partido tercero llegar escucha propuesto 20h00 fblive youtube,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,bajar multa transito desproporcionado,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,organizar ciudad zona cada unidad municipal independiente presupuesto propio,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,felicito candidato asistir debate critico frontalmente asistir quitar oportunidad guayaquileno conocer propuesta,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,candidato debate merecer voto,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,recuperar navegabilidad guaya,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,alcalde empleo,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,candidato ganador sera nuevo alcalde hacer candidato,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,vision futuro posible,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,bajar multa transito,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,ganador excelente propuesta,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,gracias apoyo noche cumplir guayaquileno presentar propuesta gracias invitacion,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,gracias apoyo noche cumplir guayaquileno presentar propuesta gracias invitacion,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,agenda actividad jueves febrero,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,vivo poder acceder entrevista siguiente link,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,proponer cosa ejemplo metro fluvial complemento transporte masivo ciudad ofrecer solución sencillo buscar impactar positivamente calidad vida guayaquileno,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,problematicar droga trabajar eje prevencion rehabilitacion reinsercion construirer polideportivo municipal alejar chico drogar centro rehabilitacion implementarer bolso empleo municipal,2019-02-21
