nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Jaime,Lomas,jaimelomas74,jaimelomasalcalde ceciliaprefecta,2019-02-22
Jaime,Lomas,jaimelomas74,atmguayaquil posible cerrar abrar conexion estudio tecnico favor tomar correctivo altura sopén htmc,2019-02-25
Jaime,Lomas,jaimelomas74,atmguayaquil posible cerrar abrar conexion estudio tecnico favor tomar correctivo altura sopén htmc,2019-02-25
Jaime,Lomas,jaimelomas74,jaimelomasalcalde porn unguayaquildetodo,2019-02-26
Jaime,Lomas,jaimelomas74,jaimelomasalcalde porn unguayaquildetodo,2019-02-26
Jaime,Lomas,jaimelomas74,breve debate ecuador decidir telerama,2019-03-01
Jaime,Lomas,jaimelomas74,breve debate ecuador decidir telerama,2019-03-01
Jaime,Lomas,jaimelomas74,entrevistar jaimelomas74 candidato alcaldia guayaquil programa desdelaplazar conduccion rommel garzon 22h00,2019-03-01
Jaime,Lomas,jaimelomas74,ecuavisa rtsecuador teleamazonasec ucsg gamavisionecu tctelevision canalrtu canalunotv television orientado incidir cultura respeto,2019-03-02
Jaime,Lomas,jaimelomas74,ecuavisa rtsecuador teleamazonasec ucsg gamavisionecu tctelevision canalrtu canalunotv television orientado incidir cultura respeto,2019-03-02
Jaime,Lomas,jaimelomas74,jaimelomasalcalde ceciliaprefecta,2019-03-02
Jaime,Lomas,jaimelomas74,favor deber tomar él correctivo inmediato cneguaya ecuavisa rtsecuador teleamazonasec teleramaec canalunotv tctelevision gamavisionecu,2019-03-10
Jaime,Lomas,jaimelomas74,favor deber tomar él correctivo inmediato cneguaya ecuavisa rtsecuador teleamazonasec teleramaec canalunotv tctelevision gamavisionecu,2019-03-10
Jaime,Lomas,jaimelomas74,jaimelomas74 cneguaya ecuavisa rtsecuador teleamazonasec teleramaec canalunotv tctelevision gamavisionecu bastar abuso,2019-03-10
Jaime,Lomas,jaimelomas74,monicorreaf lahistoriaec jaimelomas74 gracias apoyo monico,2019-03-11
Jaime,Lomas,jaimelomas74,lahistoriaec jaimelomas74 campán diferente fresco hacer mofa apodo dudar muestro madurez politico ceciliacalderec mejor alternativa guaya,2019-03-11
Jaime,Lomas,jaimelomas74,jaimelomas74 junto poder jaime,2019-03-14
Jaime,Lomas,jaimelomas74,aldeo mujer excelente propuesta jaimelomasalcalde unguayaquildetodo,2019-03-15
Jaime,Lomas,jaimelomas74,aldeo mujer excelente propuesta jaimelomasalcalde unguayaquildetodo,2019-03-15
Jaime,Lomas,jaimelomas74,aldeo mujer excelente propuesta jaimelomasalcalde unguayaquildetod tú ceciliacalderonprefecto porunguayascomonunca,2019-03-15
Jaime,Lomas,jaimelomas74,aldeo mujer excelente propuesta jaimelomasalcalde unguayaquildetod tú ceciliacalderonprefecto porunguayascomonunca,2019-03-15
Jaime,Lomas,jaimelomas74,cuantar alegrio cuanto entusiasmo gran joven azul bombillo solo luchare guayaquil inclusivo luchare unguayaquildetodos csemelec hincha azul azulyplomocom labocadelpozo rabinfrias amek meek72 bracho,2019-03-16
Jaime,Lomas,jaimelomas74,jaimelomasalcalde unguayaquildetodo,2019-03-17
Jaime,Lomas,jaimelomas74,jaimelomasalcalde unguayaquildetodo,2019-03-17
Jaime,Lomas,jaimelomas74,decisionendemocracia 22h00 conocerer candidato alcaldio guayaquil jimmyjairalo fcojimenez21 jaimelomas74 cedeno marth simonbolivarrosero edgarsalazar octaviosuarez jorgevillacrese cynthiaviteri6 mira yo ecuadortv,2019-03-17
