nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
James Byron,Montenegro Ordonez,JamesMcpccs,ceomespecuador corporacionges onu derechos cpccs sofiaalmeidaec jobafonfay2019 monka78 hernanulloa franklinmorenoq davidroserow alandmolestinam chugchilanjaime jamesmontenegro candidato cpccs poner conocimiento plan trabajo experiencia profesional perfil profesional tambien firmar losprincipiosyvaloresnosenegociar,2019-02-20
James Byron,Montenegro Ordonez,JamesMcpccs,1029fmdistrito jamesmotenegro candidato cpccs elecciones2019ec gustario compartir tú exclusiva audiencia propuesto,2019-02-20
James Byron,Montenegro Ordonez,JamesMcpccs,conocer propuesta llegar cpccs radio forever925 luisamaheredia,2019-02-22
James Byron,Montenegro Ordonez,JamesMcpccs,conocer propuesta llegar cpccs radio forever925 luisamaheredia,2019-02-22
James Byron,Montenegro Ordonez,JamesMcpccs,felizdomingo hoy estare radio forever925 92 5 fm acompaname 11h00 programa afondo jamesmontenegro,2019-02-24
James Byron,Montenegro Ordonez,JamesMcpccs,felizdomingo hoy estare radio forever925 92 5 fm acompaname 11h00 programa afondo jamesmontenegro,2019-02-24
James Byron,Montenegro Ordonez,JamesMcpccs,propuesta compuesta 3 eje 1 designacion autoridad 2 fortalecer participacion ciudadano 3 generar politico publicar lucha corrupcion forever925 luisamaheredia jamesmontenegro,2019-02-24
James Byron,Montenegro Ordonez,JamesMcpccs,radio forever925 luisamaherediar ir proponer reforma ley participacion ciudadano permitir consejo dema designar evaluar ratificar destituir autoridad jamesmontenegro,2019-02-24
James Byron,Montenegro Ordonez,JamesMcpccs,generacion fortalecimiento principio valor trabajar nino nina joven objetivo fortalecer capacidad futuro autoridad forever925 luisamaherediar jamesmontenegro,2019-02-24
James Byron,Montenegro Ordonez,JamesMcpccs,fortalecer lucha corrupcion modelo triple helizar poder ejecutivo funcion judicial funcion transparencia control social forever925 luisamaheredia jamesmontenegro,2019-02-24
James Byron,Montenegro Ordonez,JamesMcpccs,candidato cpccs jamesmcpcc explico propuesta campán afondo forever925,2019-02-24
James Byron,Montenegro Ordonez,JamesMcpccs,24 marzo 2019 encuentrame papeleto hombre casillero 18 candidato cpccs forever925 jamesmontenegro,2019-02-24
James Byron,Montenegro Ordonez,JamesMcpccs,jamesmontenegro,2019-02-25
James Byron,Montenegro Ordonez,JamesMcpccs,candidatura responder ningun partido movimiento politico debo ningun gobierno jamesmotenegro ciudadano ecuatoriano independiente pedir apoyo cpccs junto luchaber corrupcion elecciones2019ec,2019-02-27
James Byron,Montenegro Ordonez,JamesMcpccs,video gracia elcomerciocom entrevista jamesmontenegro propuesta,2019-03-01
James Byron,Montenegro Ordonez,JamesMcpccs,ampoyo incondicional amigo jamesmontenegro elecciones2019ec losprincipiosyvalorednosenegociar cne,2019-03-01
James Byron,Montenegro Ordonez,JamesMcpccs,buen lider cambiar mundo ecuador jamesmontenegro elecciones2019ec luchacontralacorrupcion losprincipiosyvaloresnosenegociar cne,2019-03-01
James Byron,Montenegro Ordonez,JamesMcpccs,onu derechos papeleto elegir hombre voto hernar ulloa hernanulloa david rosero davidroserow james montenegro jamesmcpcc idoneo ser tres candidatura independiente ser consejero cpcc aceptar firmar pacto etico 4 compromiso,2019-03-01
James Byron,Montenegro Ordonez,JamesMcpccs,onu derechos pacto etico 4 compromiso identifico consejero independiente deber elegir 24 marzo 2019 votoresponsabletransparente papeleta hombr sero hernanulloa davidroserow jamesmcpccs nemysantacruz director crs,2019-03-04
James Byron,Montenegro Ordonez,JamesMcpccs,yonovotonulo yovotoporjames jamesmontenegro,2019-03-06
James Byron,Montenegro Ordonez,JamesMcpccs,corporacionges onu derecho hernanulloa davidroserow kariponce11 sofiaalmeidaec jobafonfay2019 chugchilanjaime compartir tú propuesta tecnicar gracias contribucion elcomerciocom,2019-03-06
James Byron,Montenegro Ordonez,JamesMcpccs,feliz diar mujer gracias incansable lucha construir mundo mas justo bueno digno ejemplo fuerza justicia 8m2019 mundo socialmente igual humanamente diferente totalmente libre rosa luxemburgo,2019-03-08
James Byron,Montenegro Ordonez,JamesMcpccs,feliz diar mujer gracias incansable lucha construir mundo mas justo bueno digno ejemplo fuerza justicia 8m2019 mundo socialmente igual humanamente diferente totalmente libre rosa luxemburgo,2019-03-08
James Byron,Montenegro Ordonez,JamesMcpccs,cpccs deber integrar ciudadano alto formacion profesional trayectoria servicio publico transparencia comprobado accionar gracia corporacionges difundir listo 7 candidato responder ningun tipo compromiso politico,2019-03-11
James Byron,Montenegro Ordonez,JamesMcpccs,cvsimport 2015 nemysantacruz corporacionges chugchilanjaime sofiaalmeidaec kariponce11 hernanulloa davidroserow jamesmcpccs,2019-03-12
James Byron,Montenegro Ordonez,JamesMcpccs,onu derechos james montenegro jamesmcpccs candidatura nominado papeleto hombre consejero independiente dentro pacto etico compromiso propuesto corporacionges 7 candidatura consejero independiente perfil video presentacion,2019-03-12
James Byron,Montenegro Ordonez,JamesMcpccs,onu derechos respaldo candidatura consejero cpccs independiente aceptado firmar pacto etico 4 compromiso hernanulloa davidroserow jamesmcpcc votoresponsabletransparente tú ceomespecuador nemysantacruz ksantacruzm,2019-03-12
James Byron,Montenegro Ordonez,JamesMcpccs,corporaciong cpccs asambleaecuador c larreategui diegoordonezg josernandez1 jctrujillocpccs pablodavilaj 4pelagatos4 lassoguillermo jaimenebotsaadi mejor proponer desaparecer cuna mas grande corrupcion negociado asambleaecuador yonovotonulo yovotoporjames jamesmontenegro 6 candidato nomino corporacionges davidroserow hernanulloa sofiaalmeidaec,2019-03-12
James Byron,Montenegro Ordonez,JamesMcpccs,24 marzo cuento apoyo junto construirer ecuador sonar justo inclusivo solidario libre corrupcion encuentrame paletar hombre segundo fila izquierdo aderecha 4to casillero,2019-03-12
James Byron,Montenegro Ordonez,JamesMcpccs,onu derechos mantendre informado hernanulloa davidroserow jamesmcpccs chugchilanjaime kariponce11 jobafonfay2019 sofiaalmeidaec ceomespecuador,2019-03-14
James Byron,Montenegro Ordonez,JamesMcpccs,43 candidato cpccs 18 conocer atribución seguir link deber informar yo votar odio votar fanatismo existir candidato jamesmcpcc transparencia comprobado yonovotonulo yovotoporjames,2019-03-14
