nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,mujeresconderecho justiciadignidadytransparencia cpccs,2019-02-21
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,cpccs marlenemontesino casillero9 elecciones2019ecir,2019-03-06
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,hacer participacion ciudadano herramiento real hacer sociedad territorio democracia efectivo cpccs marlenemontesino casillero9 elecciones2019ecir,2019-03-07
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,marlenemontesino compromiso ciudadania invito hacer parte transformacion recuperacion institucionalidad marzo casillero9 elecciones2019ec,2019-03-07
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,mujeresconderecho hacer actoria referencia etico coherencia transparencia gracias voto confianzar marlenemontesino casillero9 elecciones2019ecir,2019-03-07
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,mujeresconderecho hacer cada lugar mundo espacio rebeldia oportunidad hacer mundo mejor lucha constante querer felicitación querer justicia equidad respetar marlenemontesino cpccs,2019-03-08
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,participe junto mujer diverso gracia cordial invitacion empoderatemujer marco internacional mujer mujeresconderecho agenda politico claro generar participacion inclusion,2019-03-08
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,fortaleza siempre sero empatiar necesidad persona hacer dia visitar manabi mision ayudar valor practicar solidaridad,2019-03-08
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,quito espacio conmemoracion compartir organización mujer diverso gracias consejo consultivo movilidad humano casillero9 marlenemontesino cpccs ,2019-03-10
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,manabi solidaridad ayuda humanitario ciudad manta barrio santa cecilia familia damnificado entrega ayuda humanitario marlenemontesino,2019-03-10
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,mantar inundación torrencial lluvia ayer madrugada movilizamos junto equipo trabajar apoyar familia afectado solidaridad movilizo marlenemontesino,2019-03-10
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,manta fuerte torrencial azoto manabi movilacer ayuda humanitario barrio santa cecilia solidaridad coherencia necesitado referencia marlenemontesino cpccs,2019-03-10
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,mantuvimo reunion servidor judicial cristianos guayaquil junto jueza esplendido navarrete actual directora judicial cristiano honrado invitacion marlenemontesino cpcc casillero9 ,2019-03-10
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,guayaquil isla trinitario invitacion asociacion afroecuatoriano dialoguir junto lider comunitario importancia participacion activo diverso organización logro desafio marlenemontesino cpccs casillero9 ,2019-03-10
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,voz respaldo aumentar abogado jo él alava avilar presidente fanad federacion nacional apoyo democracia recordar marlenemontesino rumbo cpccs casillero9 mujeresconderecho tctelevision ecuavisa,2019-03-11
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,servicio solidaridad carta presentacion valor familia comunidad deber fortalecido manta barrio villamarina compartir practicar discurso projimo marlenemontesino cpccs casillero9 ,2019-03-11
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,saber encontrar yo papeleto mujer casillero9 marlenemontesino garantiar hacer posible forma real mecanismo participacion ciudadano cpccs convozciudadán,2019-03-12
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,rumbo cpccs manán ecuavisainforma mariuximosquera hacer propuesta llevar hacer periodo ciudadano marlenemontesino casillero9,2019-03-14
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,jueves patricioalarco2 pdte ceecuatoriano acuerdo creacion empleo henrykronfle acuerdo autorizacion asamblea marlemontesinos candidato cpccs  propuesto poder contactodirecto apinoargote estefaniespin ecuavisa,2019-03-14
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,empatiar expreso valor sino palabra marlenemontesino cpcc casillero9 mujeresconderecho,2019-03-14
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,mujeresconderecho mujer hacer responsable fomentar equidad todo circunstancia marlenemontesino cpccs casillero9 ,2019-03-14
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,mujeresconderecho fomentar transparencia lucha corrupcion forma grata ciudadania marlenemontesino cpccs casillero9 ,2019-03-14
