nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Mónika Mariuxi,Moreira Moran,monka78,sociedad justo equitativo aspiracion ecuatoriano trabajar junto lograr,2019-02-20
Mónika Mariuxi,Moreira Moran,monka78,homenaje dedicar vida defender promover cumplimiento derechos ciudadano comprometer negociar principio,2019-02-20
Mónika Mariuxi,Moreira Moran,monka78,feliz gracias hero bata estetoscopio cuidar preservar salud,2019-02-21
Mónika Mariuxi,Moreira Moran,monka78,anular voto limitar capacidad ciudadano derecho asumir ejercicio responsable democracia deber intentar minimizar legitimidad unico organismo representar,2019-02-21
Mónika Mariuxi,Moreira Moran,monka78,recordemos mantener calma implementar plan evaluacion informarnos canal oficial caso evacuacion brinder ayuda necesitar asistencia nino adulto mayor mujer embarazado persona discapacidad,2019-02-22
Mónika Mariuxi,Moreira Moran,monka78,recordemos mantener calma implementar plan evacuacion informarno canal oficial caso evacuacion brinder ayuda necesitar asistencia nino adulto mayor mujer embarazado persona discapacidad,2019-02-22
Mónika Mariuxi,Moreira Moran,monka78,presente asamblear demostrar unidad gremio sindical clave exito luchar trabajador pai,2019-02-23
Mónika Mariuxi,Moreira Moran,monka78,participe asamblea nacional unidad fortaleza magisterio maestro mientras luchar derecho tambien ensena,2019-02-23
Mónika Mariuxi,Moreira Moran,monka78,magisterio unido motivado firme objetivo reunio guayaquil asamblea nacional definir acción reinvindicacion mejoramiento maestros ecuador,2019-02-23
Mónika Mariuxi,Moreira Moran,monka78,companera monico fuerza,2019-02-23
Mónika Mariuxi,Moreira Moran,monka78,adelante maestro,2019-02-23
Mónika Mariuxi,Moreira Moran,monka78,maestro adelante,2019-02-23
Mónika Mariuxi,Moreira Moran,monka78,adelante companero,2019-02-23
Mónika Mariuxi,Moreira Moran,monka78,ubicar casillero consejo participacion ciudadanar control social,2019-02-23
Mónika Mariuxi,Moreira Moran,monka78,adelante maestro ecuador futuro ganador esperar,2019-02-24
Mónika Mariuxi,Moreira Moran,monka78,comparto agendir actividad lunes febrero mesa redondo construir democracia participativo territorio,2019-02-25
Mónika Mariuxi,Moreira Moran,monka78,adelante monicar mejor opcion cpccs,2019-02-25
Mónika Mariuxi,Moreira Moran,monka78,respaldo contundente amiga madre excelente profesional cpccs,2019-02-25
Mónika Mariuxi,Moreira Moran,monka78,total respaldo clase trabajador educacion cpccs,2019-02-25
Mónika Mariuxi,Moreira Moran,monka78,seguro har excelente trabajo cpccs,2019-02-25
Mónika Mariuxi,Moreira Moran,monka78,votaremos monica moreirar quinienta vés mejor opcion,2019-02-25
Mónika Mariuxi,Moreira Moran,monka78,adelante companerar fuerza dio delante usted,2019-02-25
Mónika Mariuxi,Moreira Moran,monka78,voto usted monicar moreira,2019-02-25
Mónika Mariuxi,Moreira Moran,monka78,interesante tematico,2019-02-25
Mónika Mariuxi,Moreira Moran,monka78,construccion democracia participativo territorio socializacion trayectoria propuesto cada ciudadano compromiso erradicar corrupcion campo accion,2019-02-25
Mónika Mariuxi,Moreira Moran,monka78,eleccion definitivo particularidad demostrar nuevo manera debatir propuesta firme agresión meta claro gente decidido ejercer valentia representacion mandante,2019-02-25
Mónika Mariuxi,Moreira Moran,monka78,ciudadano derecho elegir voto poder voto nulo representar,2019-02-25
Mónika Mariuxi,Moreira Moran,monka78,,2019-02-26
Mónika Mariuxi,Moreira Moran,monka78,apoyo total representara trabajador cpcc seguir adelante monicar mucho fuerza opcion trabajador pais respaldo total,2019-02-26
Mónika Mariuxi,Moreira Moran,monka78,trabajar campo solo escritorio pueblo necesitar,2019-02-26
Mónika Mariuxi,Moreira Moran,monka78,rodar prenso favor democracia conviccion rechazar intentar menoscabar establecido mandato popular voto nulo representar meditemo ejerzamos voto responsable luchar corrupcion tambien depender,2019-02-26
Mónika Mariuxi,Moreira Moran,monka78,importante garantizar ciudadania sucumba intento cierto grupo sentir temor trabajaremos firmeza erradicar corrupcion transparentar funcion publica voto nulo representar,2019-02-26
Mónika Mariuxi,Moreira Moran,monka78,defender derecho demostrar capaz tambien defender ciudadano cumplir hacer cumpla objetivo voto nulo representar voto poder,2019-02-26
Mónika Mariuxi,Moreira Moran,monka78,monicar moreira,2019-02-26
Mónika Mariuxi,Moreira Moran,monka78,importante garantizar promover voto asistido cada ecuatoriano discapacidad rincón pai,2019-02-27
Mónika Mariuxi,Moreira Moran,monka78,manejar querer silenciar punta amenaza represalia,2019-03-01
Mónika Mariuxi,Moreira Moran,monka78,buen dia celebrar cero discriminacion tolerante abracer diversidad trater demas gustaria tratar mundo necesitar comprension menos exclusion,2019-03-01
Mónika Mariuxi,Moreira Moran,monka78,feliz admiracion lucha incansable alcanzar seguridad bienestar ciudadano,2019-03-02
Mónika Mariuxi,Moreira Moran,monka78,monicar miedo saber llegar,2019-03-03
Mónika Mariuxi,Moreira Moran,monka78,contar voto docente,2019-03-03
Mónika Mariuxi,Moreira Moran,monka78,apoyar firme lucha corrupcion poder reunir bendición,2019-03-03
