nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Carlos Gonzalo,Mosquera Benalcazar,MosqueraCarlosB,postdrcarlosmosquera peculado carlosmosquero cpccs voto unmedicohonrado rt,2019-02-19
Carlos Gonzalo,Mosquera Benalcazar,MosqueraCarlosB,postdrcarlosmosquera vacación carlosmosquero cpccs voto unmedicohonrado rt,2019-02-19
Carlos Gonzalo,Mosquera Benalcazar,MosqueraCarlosB,cero mata,2019-02-19
Carlos Gonzalo,Mosquera Benalcazar,MosqueraCarlosB,24 marzo compromiso patria bastar politico necesitar persona valioso honorable representarno cpccs carlos mosquera cirugia mayor corrupto votar puesto 5 paletar hombre voto unmedicohonrado rt,2019-02-19
Carlos Gonzalo,Mosquera Benalcazar,MosqueraCarlosB,querer conocer mas candidato consejo participacion ciudadanar control social dr mosqueracarlosb tendra noticia primero mano hacer frente corrupcion ecuador mantente informado pluma servidor comparte rt,2019-02-19
Carlos Gonzalo,Mosquera Benalcazar,MosqueraCarlosB,jubilado pueblo mas desposeido joven hacer 24 marzo diferenciar defender voto civismo patriotismo carlos mosquera politico si medico servidor patria,2019-02-19
Carlos Gonzalo,Mosquera Benalcazar,MosqueraCarlosB,conocer cerca actividad candidato cpccs mosqueracarlosb siguelo instagram enterate potencial servidor ninguno duda llevar pais rienda justicia siguelo link rair puesto 5,2019-02-20
Carlos Gonzalo,Mosquera Benalcazar,MosqueraCarlosB,alerta estar promover voto nulo acaso dar contar alargar tema elección mas gasto bolsillo campán nivel nacional pais gastar mas plata campanas compartir rt,2019-02-20
Carlos Gonzalo,Mosquera Benalcazar,MosqueraCarlosB,postdrcarlosmosquera eliminatorio carlosmosquera cpccs voto unmedicohonrado,2019-02-20
Carlos Gonzalo,Mosquera Benalcazar,MosqueraCarlosB,postdrcarlosmosquera ultimo chance carlosmosquero cpccs voto unmedicohonrado,2019-02-21
Carlos Gonzalo,Mosquera Benalcazar,MosqueraCarlosB,hoy pierda entrevista radiocanelaec 106 5 fm pichincha formar online 9 am saludo 24 marzo dia votaremos carlos mosquera carlosmosqueraalcpccs  casillero 5 voto unmedicohonrado,2019-02-21
