nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Teddy Gustavo,Tama Aguirre,TamaApoyo,paolacabezasc carlamaldonadop conmigo querer construir historia sucio solo respetable vida proba academico estar cuestionamiento espinoso ministro q permitio tanto violación ciento nino justiceveraec aleccardena pedritoextranja ramirogarciaf larepublica ec,2019-02-19
Teddy Gustavo,Tama Aguirre,TamaApoyo,paolacabezasc carlamaldonadop foto usted deber subir jama olvidar jctrujillocpccs ma alecevallo simonespinosa28 drrobertolopez2 omarmaluk anaminguir pichondedino verdaderos perseguido robolucion olvidamos,2019-02-19
Teddy Gustavo,Tama Aguirre,TamaApoyo,paolacabezasc carlamaldonadop foto despreciable repudiable verguenza usted gran amigo espinoso bailar mashirafael mientras violar ciento nino usted hacer silencio usted complicar prohibidoolvidarcompanerito pedritoextranja 4pelagatos4,2019-02-19
Teddy Gustavo,Tama Aguirre,TamaApoyo,paolacabezasc carlamaldonadop evento academico hacer ano junto lenhurtado usted asumir mpd falso mentira querer deslegitimar participacion candidato sola mancha vida natasha rojo davidroserow ser correista verguenza olvidar,2019-02-19
Teddy Gustavo,Tama Aguirre,TamaApoyo,hoy estare conversatorio organizado asamblea ciudadano ecuador asambleaecu radiomorena640 junto alandmolestinam jovitafonfay companero candidato cpccs cne teddy tama elecciones2019ec,2019-02-19
Teddy Gustavo,Tama Aguirre,TamaApoyo,hoy estare conversatorio organizado asamblea ciudadano ecuador asambleaecu radiomorena640 junto alandmolestinam jovitafonfay companero candidato cpccs cne teddy tama elecciones2019ec 4pelagatos4,2019-02-19
Teddy Gustavo,Tama Aguirre,TamaApoyo,angsrm7 albertoacostab justicia siempre ser ideal permitire seguir destruir pais menos silenciar voz ciudadania querer ciudadania escuchado poder juzgar controlar cada gobernante hacer,2019-02-19
Teddy Gustavo,Tama Aguirre,TamaApoyo,mas gracias asamblea ciudadana ecuador asambleaecu ace magnifico evento contar espacio poder exponer propuesta radiomorena640 seguir transmision vivo carlosrojasecu drrobertolopez2 andreselopeze,2019-02-20
Teddy Gustavo,Tama Aguirre,TamaApoyo,conversatorio ciudadania radio morén junto companero candidato cpccs,2019-02-20
Teddy Gustavo,Tama Aguirre,TamaApoyo,char él escuela formacion politico manuel carrion pinzano seguir compartir ensenar importancia rol ciudadania cpccs elecciones2019 faustoyepez alandmolestinam rodolfobb54ir danilotayopanta elchuro drrobertolopez2,2019-02-21
Teddy Gustavo,Tama Aguirre,TamaApoyo,jueves 21 viernes 22 febrero invito conocer propuesta candidato consejo participacion ciudadanar control social cpccs  agenda actividad loja ecuador cpccs teddytamo democracia elecciones2019 lojo hora25ec ifpoveda ivaovejo,2019-02-21
Teddy Gustavo,Tama Aguirre,TamaApoyo,hoy loja compartir mas radio luz vida propuesto cpccs consejo participacion ciudadanar control social jovitafonfay jctrujillocpccs honosantisteir higuerahernar pichondedino,2019-02-21
Teddy Gustavo,Tama Aguirre,TamaApoyo,sintonicir radio satelital conocer mas propuesta cpccs,2019-02-21
Teddy Gustavo,Tama Aguirre,TamaApoyo,loja honor haber poder compartir distinto medio poder dar conocer propuesta cpccs vez cuan importante dentro organismo cadenaecotel tomebamba,2019-02-21
Teddy Gustavo,Tama Aguirre,TamaApoyo,loja agradecido diario hora lojalahoro entrevista diar hoy candidato consejo participacion ciudadanar control social cpccs ecuador teddytamo democracia elecciones2019 laposto ecu 4pelagatos4,2019-02-21
