nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
José Carlos,Tuarez Zambrano,jcarlostuarez,seguir recorrer hermoso provincia rio jornado medio quevedo ser entrevistar comparti propuesto cpccs compromiso velar estabilidad cuidado familia elecciones2019ec ahora eleccionescpccs,2019-02-19
José Carlos,Tuarez Zambrano,jcarlostuarez,fiscalizaremos recurso ingresar cada provincia designar autoridad cumplido debido concurso merito oposicion compromiso ciudadania quevedo resto pai eleccionescpccs elecciones2019ec ahora,2019-02-19
José Carlos,Tuarez Zambrano,jcarlostuarez,claudicare seguir luchar junto ecuatoriano pai trasparente existir oportunidad cada ecuatoriano importar apellido condicion social procedencia mensaje comparti radio quevedo elecciones2019ec cpccs,2019-02-19
José Carlos,Tuarez Zambrano,jcarlostuarez,manabi provincia natal encuentro recorrer temprana hora varios medio comunicacion primero medio radioscandalo comparti propuesto cpccs elecciones2019 eleccionescpccs puesto7 ecuador manabi,2019-02-22
José Carlos,Tuarez Zambrano,jcarlostuarez,dejaremos pais seguir silencio luchar junto corrupcion oromartv comparti ecuatoriano propuesto compromiso construir junto mejor pais cpccs elecciones2019 eleccionescpccs puesto7 ecuador manabi,2019-02-22
José Carlos,Tuarez Zambrano,jcarlostuarez,tarde recibido instalación sonoondahdradio comparti opinión situacion pai proceso electoral propuesto cpccs elecciones2019 eleccionescpccs manabi ecuador elquintopoder junto patria,2019-02-22
José Carlos,Tuarez Zambrano,jcarlostuarez,finalizar espectacular jornada invitados estudio tvmanabitar hable propuesta cpccs motivación llevar parte proceso electoral ecuador elecciones2019 manabi elquintopoder,2019-02-22
José Carlos,Tuarez Zambrano,jcarlostuarez,votar padre jo él tuarez consejo participacion ciudadano control social buscalo papeleto hombre cuello clerical,2019-02-22
José Carlos,Tuarez Zambrano,jcarlostuarez,seguir manabi bello provincia comunicare ciudadano propuesto opinión cpccs continuacion presento agenda medio viernes febrero elecciones2019ec ecuador cpccs familia puesto eleccionescpccs,2019-02-22
José Carlos,Tuarez Zambrano,jcarlostuarez,dio guardar hermano ecuatoriano diferente provincia bendecido patria esperar temblor quitar ningun amado sismo ecuadorprevenido,2019-02-22
José Carlos,Tuarez Zambrano,jcarlostuarez,agradecer tvmanabita invitacion grato recibimiento trabajar olvidado sere 22feb buenviern,2019-02-22
José Carlos,Tuarez Zambrano,jcarlostuarez,gracias manta maravilloso recibido calidez vigilar recurso destinado diferente sector evitar sobreprecio buenviern padrejosetuarez,2019-02-22
José Carlos,Tuarez Zambrano,jcarlostuarez,felicitación sentir él gusto provincia apoyamos siempre seguir hacer buen campana,2019-02-22
José Carlos,Tuarez Zambrano,jcarlostuarez,estimado amigo excelente inicio semana seguir informado comparto agendir actividad manán febrero realizar él hermoso provincia guaya guaya elecciones2019 eleccionescpccs ecuador cpccs,2019-02-25
José Carlos,Tuarez Zambrano,jcarlostuarez,saludo estimado amigo bello productivo comenzar actividad guaya caravana750 encontrar compartir propuesta mejor junto pai elecciones2019 eleccionescpccs ecuador guaya,2019-02-25
José Carlos,Tuarez Zambrano,jcarlostuarez,jcarlostuarez caravana750 bendición padre humano excepcional abrazo fuerte distancia,2019-02-25
José Carlos,Tuarez Zambrano,jcarlostuarez,instalación ecuador directo compartido fuerte sincero dialogo importancia cpccs comprometo ecuatoriano luchar transparencia largo vida quintopoder activismosocial elecciones2019,2019-02-25
José Carlos,Tuarez Zambrano,jcarlostuarez,parar seguir compartir propuesta opinión importancia cpccs pais ser silenciar callare nunca 680radioatalaya compromiso ecuatoriano elecciones2019ec ecuador,2019-02-25
José Carlos,Tuarez Zambrano,jcarlostuarez,jcarlostuarez cpccs estimado padre votare usted contar manabita lindo dio bendiga padre,2019-02-25
José Carlos,Tuarez Zambrano,jcarlostuarez,jcarlostuarez cpccs estimado padre llegar electo esperar ayudar reconstruir institucionalidad pais destruir diestro siniestra lenin moreno,2019-02-25
José Carlos,Tuarez Zambrano,jcarlostuarez,padre dios guie proteger buen inicio semán fuerza ecuador decente solidario contar voto apoyo siempre,2019-02-25
José Carlos,Tuarez Zambrano,jcarlostuarez,deber luchar verdad junto hacer mejor pai junto nuevo cpccs invitar seguir entrevista wilarradio compartir él contacto elecciones2019ec eleccionescpccs josetuarez ecuadorenlasurna ecuador guaya,2019-02-25
José Carlos,Tuarez Zambrano,jcarlostuarez,votar conviccion futuro familia comparto sentimiento rechazo dirigente organización social guaya junto rechazar eliminacion cpccs 2019votovida unido elecciones2019ec eleccionescpccs,2019-02-26
José Carlos,Tuarez Zambrano,jcarlostuarez,hacer culmine ferviente grata reunion gremio profesional distrito compartir diverso opinión importancia cpccs escuche necesidad noble grupo elecciones2019ec ecuadorenlasurna guayaquil,2019-02-26
José Carlos,Tuarez Zambrano,jcarlostuarez,dejar componenda politica seguir danar ecuador votemos decencia casillero hombre cpccs,2019-02-26
