nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Hernán Stalin,Ulloa Ordonez,HernanUlloa,abogado gano respeto admiracion defender caso nina urbanizacion decir familia amigo votar seguro tendro varios voto,2019-02-19
Hernán Stalin,Ulloa Ordonez,HernanUlloa,votar excelente profesional call correismo nulo conveniente respeto decision ayudar voto candidato conocer leal sero comunicar anomalia,2019-02-19
Hernán Stalin,Ulloa Ordonez,HernanUlloa,momento abogado participar conversatorio candidato consejo participacion ciudadanar control social organizado asamblea ciudadano ecuador auditorio centro guayaquil,2019-02-20
Hernán Stalin,Ulloa Ordonez,HernanUlloa,estimado agradecer aceptacion candidatura consejero anexo confirmacion constancia detalle propuesto compromiso pacto etico miguel ernesto santacruz paredes representante legal,2019-02-20
Hernán Stalin,Ulloa Ordonez,HernanUlloa,informir actividad abogado candidato consejo participacion ciudadanar control social,2019-02-20
Hernán Stalin,Ulloa Ordonez,HernanUlloa,candidato proponer promover participacion ciudadano hacer valer derecho luchar actuar parte procesal realizado asamblea ciudadano ecuador auditorio,2019-02-20
Hernán Stalin,Ulloa Ordonez,HernanUlloa,candidato proponer promover participacion ciudadano hacer valer derecho luchar actuar parte procesal realizado asamblea ciudadano ecuador,2019-02-20
Hernán Stalin,Ulloa Ordonez,HernanUlloa,llevar cabo momento evento organizado asamblea ciudadano ecuador ser cordialmente invitado candidato candidata,2019-02-20
Hernán Stalin,Ulloa Ordonez,HernanUlloa,tuco entrevista gracias ciudadania permitidme ingresar hogar propuesto,2019-02-20
Hernán Stalin,Ulloa Ordonez,HernanUlloa,estimado colega feliz,2019-02-20
Hernán Stalin,Ulloa Ordonez,HernanUlloa,estimado colega feliz,2019-02-20
Hernán Stalin,Ulloa Ordonez,HernanUlloa,agradecer fernando respaldo publico candidatura,2019-02-20
Hernán Stalin,Ulloa Ordonez,HernanUlloa,voto consejo participacion ciudadanar control social tambien sero hernar ulloa ciudadano necesitar gente probado luchador accion hecho cosa importante ciudadano puro,2019-02-20
Hernán Stalin,Ulloa Ordonez,HernanUlloa,colega recir cordial afectuoso saludo sigar dignificar noble profesion amar hacer luchar derecho justicia,2019-02-20
Hernán Stalin,Ulloa Ordonez,HernanUlloa,consulta abogado vivir poder votar usted compartir informacion,2019-02-20
Hernán Stalin,Ulloa Ordonez,HernanUlloa,felicidad equipo excelente abogado luchar hacer justicia pais especial hacer justicia,2019-02-21
Hernán Stalin,Ulloa Ordonez,HernanUlloa,constancia aceptacion registro candidato consejero,2019-02-21
Hernán Stalin,Ulloa Ordonez,HernanUlloa,silencio mantener frente tendencia decir respeto consideracion promover tendencia dejar humilde opinion candidato ayudame voto reflexivo,2019-02-21
Hernán Stalin,Ulloa Ordonez,HernanUlloa,agradecer fernando respaldo publico candidatura,2019-02-21
Hernán Stalin,Ulloa Ordonez,HernanUlloa,silencio mantener frente tendencia decir respeto consideracion promover tendencia dejar humilde opinion candidato ayudame voto reflexivo,2019-02-21
Hernán Stalin,Ulloa Ordonez,HernanUlloa,totalmente acuerdo ciudadano deber analizar candidato ciudadano confio trayectoria ser hacer marcado precedente real justicia,2019-02-21
Hernán Stalin,Ulloa Ordonez,HernanUlloa,ecuador deber votar responsabilidad nuevo miembro interpuesto nefasto cpccs elegiremo urna llamado quinto poder creado caterir fascineroso invertido volver integrar querer gente serio reune condición,2019-02-21
Hernán Stalin,Ulloa Ordonez,HernanUlloa,importante mantenga cpccs amarre asamblea existencia partido politico permitiriar control eficiente corrupcion importante existir cpccs integrante confiable hernar ulloa,2019-02-21
Hernán Stalin,Ulloa Ordonez,HernanUlloa,silencio mantener frente tendencia decir respeto consideracion promover tendencia dejar humilde opinion candidato ayudame voto reflexivo,2019-02-21
Hernán Stalin,Ulloa Ordonez,HernanUlloa,silencio mantener frente tendencia decir respeto consideracion promover tendencia dejar humilde opinion candidato ayudame voto reflexivo,2019-02-21
Hernán Stalin,Ulloa Ordonez,HernanUlloa,voto familia usted estimado,2019-02-21
Hernán Stalin,Ulloa Ordonez,HernanUlloa,promover voto nulo contar estir alentar combatimos correato quedemos contienda electoral correismo poner candidato,2019-02-21
Hernán Stalin,Ulloa Ordonez,HernanUlloa,silencio mantener frente tendencia decir respeto consideracion promover tendencia dejar humilde opinion candidato ayudame voto reflexivo,2019-02-21
Hernán Stalin,Ulloa Ordonez,HernanUlloa,silencio mantener frente tendencia decir respeto consideracion promover tendencia dejar humilde opinion candidato ayudame voto reflexivo,2019-02-21
Hernán Stalin,Ulloa Ordonez,HernanUlloa,poco minuto junto candidato consejero consejera participarar foro conversatorio participacion ciudadano organizado,2019-02-21
Hernán Stalin,Ulloa Ordonez,HernanUlloa,silencio mantener frente tendencia decir respeto consideracion promover tendencia dejar humilde opinion candidato ayudame voto reflexivo,2019-02-22
Hernán Stalin,Ulloa Ordonez,HernanUlloa,excelente palabra pueblo enterado gracias usted,2019-02-22
Hernán Stalin,Ulloa Ordonez,HernanUlloa,silencio mantener frente tendencia decir respeto consideracion promover tendencia dejar humilde opinion candidato ayudame voto reflexivo,2019-02-22
Hernán Stalin,Ulloa Ordonez,HernanUlloa,expreso solidaridad ataque sistematico personaje ironico agresor mismo exigir tolerancia ideologia confuso decir sentir tanto fobia hacia compartir modernidad,2019-02-22
Hernán Stalin,Ulloa Ordonez,HernanUlloa,expreso solidaridad ataque sistematico personaje ironico agresor mismo exigir tolerancia ideologia confuso decir sentir tanto fobia hacia compartir modernidad,2019-02-22
Hernán Stalin,Ulloa Ordonez,HernanUlloa,bien hombre bien entregado causa justo diferente mentiroso defensor violador,2019-02-24
