nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Jorge,Yunda,LoroHomero,disfrutar linda noche barrio elconde4 gracias recibimiento emotivo permitirno compartir plan trabajo lorohomero futuro alcalde quito votatodo19 quitograndeotravez,2019-02-17
Jorge,Yunda,LoroHomero,gran recibimiento alangasi tingo futuro concejal rural listo jorge yunda alcalde quito lorohomero panasjorgeyundo jorenpanyun3 renebedon santiguarderas joseph maurici tvclacomunidad bolivararmijo mauriciorodasec luisfer593 stalindo1977,2019-02-18
Jorge,Yunda,LoroHomero,animal viral lorohomero mimado novia,2019-02-18
Jorge,Yunda,LoroHomero,henry descanso 2019 alangasi jorge yunda alcalde quito lorohomero santiguardera panasjorgeyundo jorenpanyun3 joseph maurici rpcjorge luisfer593,2019-02-18
Jorge,Yunda,LoroHomero,felizmart mil persona cantar cancion letro lorohomero artista alcalde apoyar joven tarde hacer deporte danza musico teatro quitograndeotravez lilianayundar santiguardera patricioubidiab,2019-02-19
Jorge,Yunda,LoroHomero,terminar recorrido mercado cuadra querido quito junto lorohomero hacer regresen obra empleo seguridad gracias apoyo,2019-02-19
Jorge,Yunda,LoroHomero,martes agosto 1938 alangasi sufrio terremoto asolo pueblo iglesia perdio cupular quedo cuarteado poco dias empezo reconstruccion unidad alangaseno lorohomero 24horasuio tvclacomunidad mauriciorodasec patrimonioyc,2019-02-20
Jorge,Yunda,LoroHomero,sportv junto juanmaguirre1 presidente sdquito candidato concejal capital lista19 lorohomero,2019-02-20
Jorge,Yunda,LoroHomero,quito lorohomero moncayo liderar encuesta alcalde personal lorohomero plan trabajo bien organizado real venir marzo,2019-02-20
Jorge,Yunda,LoroHomero,compartir gran lorohomero liga barrial andr king quitograndeotravez panasjorgeyundo antoniojosedesucre concejal2019,2019-02-20
Jorge,Yunda,LoroHomero,mientras gastar millón campán politico hospital eugenio espejo atencion quimioterapia medicamento lenin lorohomero patodiazguevara alejaduquer,2019-02-20
Jorge,Yunda,LoroHomero,doctor jorge yunda lorohomero seguir recorrer rincón capital escuchar mandant quitograndeotravez yundaes19 yundaalcalde19,2019-02-20
Jorge,Yunda,LoroHomero,miercol reunir gran equipo subir ilalo llegar cruz futuro concejal rural candidato gads parroquia alangasi merced lista porunalangasituristico lorohomero santiguardera,2019-02-20
Jorge,Yunda,LoroHomero,futuro alcalde lorohomero dar quito pichincho seguridad preventivo camara video barrio drón monitorear majestadfm,2019-02-20
Jorge,Yunda,LoroHomero,querer obligación pesimo servicio srioficialec lorohomero patodiazguevara,2019-02-21
Jorge,Yunda,LoroHomero,buen dias caminant vida,2019-02-21
Jorge,Yunda,LoroHomero,feliz colega,2019-02-21
Jorge,Yunda,LoroHomero,lorohomero lorito bien claro comparti poner gente querer hacer mando saludo miami espero llegar alcaldio danny,2019-02-21
Jorge,Yunda,LoroHomero,lorohomero feliz doctor exito quito espero visite barrio rancho pino,2019-02-21
Jorge,Yunda,LoroHomero,lorohomero usted quitar salir adelante poder feliz medico abrazo,2019-02-21
Jorge,Yunda,LoroHomero,lorohomero feliz medic gracias gran labor,2019-02-21
Jorge,Yunda,LoroHomero,lorohomero feliz,2019-02-21
Jorge,Yunda,LoroHomero,xavierozevallos pablo serrano88 creer 2016 elnacionalec llegar copa libertadores influencia equipo lorohomero dejar 2015 estabilidad inicial manjarrez cosecho,2019-02-21
Jorge,Yunda,LoroHomero,siempre junto pueblo hacer pequenos hermano jorge yunda lorohomero contigo quitograndeotravez yundaalcalde19 yundaes19,2019-02-21
Jorge,Yunda,LoroHomero,lorohomero propuesta taxista,2019-02-22
Jorge,Yunda,LoroHomero,lorohomero votar cambiar seria bueno variar dias pico placar carro nuevo matriculado salio ordenanza municipal nunca poder salir viaje realizar alguno actividad viernes descuidado tema tiempo,2019-02-22
Jorge,Yunda,LoroHomero,lorohomero cultura solo hacia cierto espacio cierto elit candidato decir importante masificar elecciones2019ec,2019-02-23
Jorge,Yunda,LoroHomero,reunion comunidad barrio cocho parroquia alangasi merced recibir apoyo listo jorge yunda alcalde quito lorohomero panasjorgeyundo santiguardera joseph maurici renebedon jorenpanyun3 luisfer593,2019-02-23
Jorge,Yunda,LoroHomero,lorohomero ferroviario junto futuro alcalde,2019-02-23
Jorge,Yunda,LoroHomero,alangasi henry deacnsa 2019 votar lorohomero santiguardera panasjorgeyundo jorenpanyun3,2019-02-24
