nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Patricio,Buendia,patobuendia23,Sencillamente auditar control solo servicio sino calidad agua alcantarillado hablar analizar continuidad cobro rubro gente humilde deben exonerarlos pago alcantarillado justo Pbuendia,2019-02-25
Patricio,Buendia,patobuendia23,Atentos Manana,2019-02-26
Patricio,Buendia,patobuendia23,seguire trabajo puerta puerta llevar propuesta Guayaquilenos,2019-02-26
Patricio,Buendia,patobuendia23,exponiendo propuestas,2019-02-28
Patricio,Buendia,patobuendia23,espero sabado Marzo partir 16h00 Trinitaria elegir Reina Carnaval pondre bailar cantando temas,2019-03-01
Patricio,Buendia,patobuendia23,22h00 conoceremos candidatos alcaldia Miranos vivo,2019-03-12
Patricio,Buendia,patobuendia23,seguire trabajo puerta puerta llevar propuesta Guayaquilenos,2019-03-13
Patricio,Buendia,patobuendia23,Buendia plantea programa prevencion droga jovenes guayaquilenos,2019-03-14
Patricio,Buendia,patobuendia23,candidato alcalde varios candidatos concejales SUMA decidido apoyar Prefectura Guayas,2019-03-15
Patricio,Buendia,patobuendia23,Campana junto,2019-03-18
Patricio,Buendia,patobuendia23,Recorriendo Pascuales junto candidata Prefecta,2019-03-18
Patricio,Buendia,patobuendia23,Celebramos cumpleanos Patricio Buendia padre amigo hicimos bailar matar gusano,2019-03-18
Patricio,Buendia,patobuendia23,Senores Contraloria acabaron elecciones perdio candidato protegido momento mostrarle Pais informes archivados misteriosamente identifican responsable multimillonarias glosas,2019-03-25
Patricio,Buendia,patobuendia23,,2019-03-26
