nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,Vengo organizaciones sociales Movimiento Indigena Ecuador pertenezco ninguna tendencia partidista,2019-02-19
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,Vengo organizaciones sociales Movimiento Indigena Ecuador pertenezco ninguna tendencia partidista,2019-02-19
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,Gracias periodistas entrevista,2019-02-19
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,periodista Franklin Castro conversamos propuestas,2019-02-19
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,Gracias Jefferson Calle recibimiento invitarme mercado degustar ricos bolones chicharron socializar propuestas,2019-02-19
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,Fortalecimos participacion ciudadana Conversatorio candidatos Gracias acogida,2019-02-19
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,Buen invitados sintonizar medios estare invitada hablar,2019-02-20
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,compartimos jovenes importancia jovenes viven participacion,2019-02-20
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,Vengo Movimiento Indigena Ecuador organizaciones sociales pertenezco ninguna tendencia partidista represento ecuatorianos quieren pais mejor,2019-02-20
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,entrevista compartimos microfono dialogamos retos propuestas,2019-02-20
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,participamos Asamblea Ciudadana Ecuador,2019-02-20
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,Invito ecuatorianos escoger buenos ciudadanos marzo,2019-02-20
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,Estimados colegas feliz,2019-02-20
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,trabajo enseno responsabilidad dignifico vida impulsamos jovenes participen procesos ciudadanos escuchando,2019-02-20
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,Feliz colegas abogados,2019-02-20
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,importante medios comunicacion esten atentos clamor ciudadano herramientas objetivos transparentes Gracias Colegio Periodistas Guayas Franklin Moreno,2019-02-20
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,Gracias amigo saludos,2019-02-23
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,voto nulo dejar sectores secuestraron pasado regrese voto sera,2019-02-23
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,Recorriendo conversando gente dando conocer propuestas Franklin Moreno Quezada,2019-02-24
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,ciudadanos derecho conocer cuales seran funciones candidatos participaran marzo junto Franklin Moreno Quezada,2019-02-24
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,CANDIDATOS CPCCS Colectivo Integracion Democracia analizado hoja vida candidatos establecido CORREISTAS VOTAREMOS eleccion ideal PUEBLOS,2019-02-24
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,compartiendo disfrutando Pawkar Raymi Fiestas Florecimiento,2019-02-24
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,Aprovechamos visita Pawkar Raymi Fiestas Florecimiento conversar personas funciones beneficios consejo ciudadania,2019-02-24
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,Gracias amigo Pedro,2019-02-25
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,jovenes futuro participacion ciudadana gracias FEUE apoyo,2019-02-26
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,Universitarios labor importante futuro elecciones vamos votar manos continuar lucha corrupcion Mensaje,2019-02-26
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,jovenes futuro participacion ciudadana gracias FEUE apoyo,2019-02-26
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,companeros comunidades indigenas rendicion cuentas Secretaria Agua,2019-02-27
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,,2019-02-27
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,participamos posesion coordinador provincial Nacionalidad Waorani Pastaza,2019-02-28
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,Junto companeros Nacionalidad Waorani,2019-02-28
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,compartimos companeros nacionalidad Waorani,2019-02-28
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,Candidaturas Consejeros INDEPENDIENTES elegidas aceptan firmar Pacto Etico COMPROMISOS,2019-02-28
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,Gracias invitacion Colectivo Quito Juventudes escuchar propuestas apoyo participacion tambien jovenes,2019-02-28
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,Mesa permanente Educacion Imbabura escuchamos pedido reapertura escuelas bilingues gracias confiar,2019-02-28
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,cosas impulsan parte poder escuchar gente saber necesidades aqui junto habitantes barrio Sauces Valle,2019-02-28
