nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Victoria Tatiana,Desintonio Malave,VickyDesintonio,Amigas amigos deseo ustedes querida,2019-02-19
Victoria Tatiana,Desintonio Malave,VickyDesintonio,Resumen actividades Participe Conversatorio Organizaciones Sociedad Civil invitada ciudad,2019-02-19
Victoria Tatiana,Desintonio Malave,VickyDesintonio,AHORA Conversatorio Participacion Ciudadana Invitadas candidatas,2019-02-19
Victoria Tatiana,Desintonio Malave,VickyDesintonio,20H30 invito seguir transmision vivo,2019-02-19
Victoria Tatiana,Desintonio Malave,VickyDesintonio,20H30 invito seguir transmision vivo,2019-02-20
Victoria Tatiana,Desintonio Malave,VickyDesintonio,voto familia,2019-02-20
Victoria Tatiana,Desintonio Malave,VickyDesintonio,grata conversacion Xavier Lasso presento ideas historia vida propuesta cambio democracia real participativa traves candidatura,2019-02-22
Victoria Tatiana,Desintonio Malave,VickyDesintonio,Xavier Lasso entrevista candidata Temas Semblanza entrevistada Retos frente restricciones campana,2019-02-22
Victoria Tatiana,Desintonio Malave,VickyDesintonio,Xavier Lasso entrevista candidata,2019-02-22
Victoria Tatiana,Desintonio Malave,VickyDesintonio,Constituyente planteamos participacion ciudadana poder fundamental pretender desaparecer CPCCS desconocer lucha social organizacion trabajadores mujeres jovenes,2019-02-22
Victoria Tatiana,Desintonio Malave,VickyDesintonio,entendi bien cambio moneda senti llorar padres angustia poder educar mantener hijos entendi Xavier Lasso,2019-02-22
Victoria Tatiana,Desintonio Malave,VickyDesintonio,CPCCS casillero,2019-02-24
Victoria Tatiana,Desintonio Malave,VickyDesintonio,Ademas embolsillaron beca diciembre enero embolsillaron beca enero febrero pagan deben sencillamente robaron beca cara,2019-02-24
Victoria Tatiana,Desintonio Malave,VickyDesintonio,CPCCS elegido democraticamente inconveniente Barbarie escuche hablar aquel entrevistado grupo tomar CPCCS pueblo elige sera democracia actuales puestos DEDO,2019-02-24
Victoria Tatiana,Desintonio Malave,VickyDesintonio,Cuente voto familia estimada,2019-02-24
Victoria Tatiana,Desintonio Malave,VickyDesintonio,definicion amor Constitucion Republica Ecuador bien comun justicia social equidad genero hombres mujeres sumak kawsay,2019-02-24
Victoria Tatiana,Desintonio Malave,VickyDesintonio,ecuatorianas ecuatorianos hacemos valer voto marzo escogeremos consejeros consejeras Participacion Ciudadana Control Social mujeres hombres representante pueblos nacionalidades,2019-02-24
Victoria Tatiana,Desintonio Malave,VickyDesintonio,camino voto informado lunes febrero diversas radios querida espero,2019-02-24
Victoria Tatiana,Desintonio Malave,VickyDesintonio,querida igual inmensa mayoria pueblo votara firmeza marzo pais justo equitativo transparente,2019-02-25
Victoria Tatiana,Desintonio Malave,VickyDesintonio,AHORA vivo,2019-02-25
Victoria Tatiana,Desintonio Malave,VickyDesintonio,AHORA vivo,2019-02-25
Victoria Tatiana,Desintonio Malave,VickyDesintonio,ciudadania mayoria pueblo ecuatoriano voto elegir definitivo urnas voluntad popular debe respetar,2019-02-25
Victoria Tatiana,Desintonio Malave,VickyDesintonio,Consejo Participacion Ciudadana Control Social mandatos Constituyente 2008 aprobacion inmensa mayoria pueblo ecuatoriano procesos participativos inclusion propuestas gente,2019-02-25
