nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Carlos Xavier,Espinoza Cordero,c_espinozaec,reconstruccion Manabi sera pilares trabajo Consejo Participacion Ciudadana supervisare autoridades cumplan prometido,2019-02-19
Carlos Xavier,Espinoza Cordero,c_espinozaec,Llego hora evalues todas autoridades funcionarios pais implementemos verdadera rectoria ciudadana dentro Consejo Participacion dejes quiten,2019-02-19
Carlos Xavier,Espinoza Cordero,c_espinozaec,Basta instituciones debiles tambalean minimo viento fortalecere Consejo Participacion Ciudadana,2019-02-19
Carlos Xavier,Espinoza Cordero,c_espinozaec,aqui slogan momentaneo durara dias Trabajare dias lograr institucion representativa valor Ecuador gente,2019-02-20
Carlos Xavier,Espinoza Cordero,c_espinozaec,pretenden desaparecer PODER CIUDADANO reaccionas haran quieran nadie controlara digo basta politiqueria,2019-02-20
Carlos Xavier,Espinoza Cordero,c_espinozaec,Comparto ustedes agenda medios manana Febrero 2019,2019-02-20
Carlos Xavier,Espinoza Cordero,c_espinozaec,Quieren eliminar CPCCS perjudicar pueblo errores pocos permitamos callen voces,2019-02-20
Carlos Xavier,Espinoza Cordero,c_espinozaec,Quieren eliminar CPCCS perjudicar pueblo errores pocos permitamos callen voces,2019-02-20
Carlos Xavier,Espinoza Cordero,c_espinozaec,parte politicas inclusion diversidad educacion politica debe movilizarte,2019-02-20
Carlos Xavier,Espinoza Cordero,c_espinozaec,pugna intereses amarres pais borda unica solucion elegir responsable transparente firme voto,2019-02-20
Carlos Xavier,Espinoza Cordero,c_espinozaec,anos jovenes padres familia confiado metodologia academica programas inclusion social empoderamiento ciudadania Tambien luchado suenos primero segunda fila,2019-02-20
Carlos Xavier,Espinoza Cordero,c_espinozaec,Gracias jovenes atentos Quieren eliminar CPCCS perjudicar pueblo errores pocos permitamos callen voces,2019-02-20
Carlos Xavier,Espinoza Cordero,c_espinozaec,quiere utilices aplicaciones tecnologicas sencillas controles denuncies autoridades,2019-02-21
Carlos Xavier,Espinoza Cordero,c_espinozaec,Tener Participacion asuntos interes social estatales importante controlar asuntos administrativos exista transparenciaes necesario Tener solamente sino tambien Votaes urgente,2019-02-21
Carlos Xavier,Espinoza Cordero,c_espinozaec,Consejo Participacion Ciudadana requiere institucionalidad debe demostrar necesidad pertinencia pues siguen desconfiando figura quinto poder ciudadania debe defenderlo Hagamoslo juntos,2019-02-21
Carlos Xavier,Espinoza Cordero,c_espinozaec,Comparto ustedes agenda medios Febrero 2019,2019-02-21
Carlos Xavier,Espinoza Cordero,c_espinozaec,Quieren eliminar CPCCS perjudicar pueblo errores pocos permitamos callen voces,2019-02-21
Carlos Xavier,Espinoza Cordero,c_espinozaec,mayor poder pueblo ciudadanos vamos tener poder estructura estatal debemos defender voto marzo concedera control tambien harto politiquerias,2019-02-21
Carlos Xavier,Espinoza Cordero,c_espinozaec,papeleta hombres primero segunda fila,2019-02-21
Carlos Xavier,Espinoza Cordero,c_espinozaec,Debes hacer respetar exigencias debe liderar nuevo Consejo Participacion Ciudadana Gracias Santo Domingo Tsachilas recibirme papeleta hombres primero segunda fila,2019-02-21
Carlos Xavier,Espinoza Cordero,c_espinozaec,primero segunda fila,2019-02-21
Carlos Xavier,Espinoza Cordero,c_espinozaec,Quieren condicionar participacion gente salida valor nuevo CPCCS estara consejeros sino toda ciudadania debio siempre,2019-02-22
Carlos Xavier,Espinoza Cordero,c_espinozaec,Comparto ustedes agenda medios manana Febrero 2019,2019-02-22
Carlos Xavier,Espinoza Cordero,c_espinozaec,ecuatorianos responsabilidad hacer cumplir ofrecimientos candidatos inundan promesas ciudadano Hagamoslo juntos,2019-02-22
Carlos Xavier,Espinoza Cordero,c_espinozaec,ecuatorianos responsabilidad hacer cumplir ofrecimientos candidatos inundan promesas ciudadano,2019-02-22
Carlos Xavier,Espinoza Cordero,c_espinozaec,ecuatorianos responsabilidad hacer cumplir ofrecimientos candidatos inundan promesas,2019-02-22
Carlos Xavier,Espinoza Cordero,c_espinozaec,Gracias Vicepresidente Asamblea Sindicos Rios Sergio Osorio compartir iniciativas favor ciudadania,2019-02-22
Carlos Xavier,Espinoza Cordero,c_espinozaec,observamos controlamos primer trabajo autoridades reduciriamos errores dentro administracion publica,2019-02-22
Carlos Xavier,Espinoza Cordero,c_espinozaec,experiencia academica insistir todas autoridades dejen pelear novela acabo deben demostrar evidencias gestion cumplimiento planes trabajo,2019-02-22
Carlos Xavier,Espinoza Cordero,c_espinozaec,Gracias jovenes universitarios recibirme ustedes pilar fundamental activa participacion ciudadana debe aplicarse Ecuador proximo marzo Debemos ejercer voto responsable,2019-02-22
Carlos Xavier,Espinoza Cordero,c_espinozaec,Gracias jovenes universitarios recibirme ustedes pilar fundamental activa participacion ciudadana debe aplicarse Ecuador proximo marzo Debemos ejercer voto responsable,2019-02-22
Carlos Xavier,Espinoza Cordero,c_espinozaec,Jovenes juntos debemos prevenir controlar autoridades cumplan trabajo debemos atentos vigilantes Iremos juntos Consejo Participacion Ciudadana,2019-02-23
Carlos Xavier,Espinoza Cordero,c_espinozaec,gusta etiqueten etiquetas siempre relacionadas promesas incumplidas Prefiero ecuatorianos vean politica inclusion social prefiero demostrar hechos tambien,2019-02-23
Carlos Xavier,Espinoza Cordero,c_espinozaec,Comparto ustedes agenda medios manana Febrero 2019,2019-02-23
Carlos Xavier,Espinoza Cordero,c_espinozaec,candidato Consejo Participacion Ciudadana marzo buscame papeleta hombres primero segunda fila,2019-02-23
Carlos Xavier,Espinoza Cordero,c_espinozaec,candidato Consejo Participacion Ciudadana marzo buscame papeleta hombres primero segunda fila,2019-02-23
Carlos Xavier,Espinoza Cordero,c_espinozaec,Desarrollare aplicaciones tecnologicas sencillas puedas controlar supervisar trabajo todas autoridades pais,2019-02-23
Carlos Xavier,Espinoza Cordero,c_espinozaec,primera historia Ecuador podras elegir vocales Consejo Participacion Ciudadana Control Social,2019-02-24
Carlos Xavier,Espinoza Cordero,c_espinozaec,invito vigilar supervisar guiar todas autoridades elegiran proximo marzo control papeleta hombres primero segunda fila,2019-02-24
Carlos Xavier,Espinoza Cordero,c_espinozaec,debes controlar autoridades funcionarios publicos marzo debes empezar escribir nueva historia,2019-02-24
Carlos Xavier,Espinoza Cordero,c_espinozaec,Definitivamente existe partido llama atencion negarlo seria desconocer pasion,2019-02-25
Carlos Xavier,Espinoza Cordero,c_espinozaec,Usted voto,2019-02-25
Carlos Xavier,Espinoza Cordero,c_espinozaec,familia tambien,2019-02-25
Carlos Xavier,Espinoza Cordero,c_espinozaec,gremios asociaciones seran parte Consejo Participacion Ciudadana usemos tecnologia manera sencilla controlar autoridades Ecuador,2019-02-25
Carlos Xavier,Espinoza Cordero,c_espinozaec,asociaciones gremios deben formar parte Consejo Participacion Ciudadana siendo veedores manera sencilla aplicaciones celular pueden realizar controles autoridades,2019-02-25
Carlos Xavier,Espinoza Cordero,c_espinozaec,construyes Consejo Participacion Ciudadana Ecuador sufrira desequilibrio social quiero hijos ningun ecuatoriano vivir pais participacion ciudadania,2019-02-25
Carlos Xavier,Espinoza Cordero,c_espinozaec,construyes Consejo Participacion Ciudadana Ecuador sufrira desequilibrio social quiero hijos ningun ecuatoriano vivir pais participacion ciudadana,2019-02-25
Carlos Xavier,Espinoza Cordero,c_espinozaec,construyes Consejo Participacion Ciudadana Ecuador sufrira desequilibrio social quiero hijos ningun ecuatoriano vivir pais participacion ciudadana,2019-02-25
Carlos Xavier,Espinoza Cordero,c_espinozaec,Denuncia acto corrupcion solicita creas necesario tipo explicacion funcionarios publicos Vamos juntos Consejo Participacion Ciudadana,2019-02-25
Carlos Xavier,Espinoza Cordero,c_espinozaec,Consejo Participacion Ciudadana cumplir voluntad luchar corrupcion hartos politiqueria marzo buscame papeleta hombres primero segunda fila,2019-02-26
Carlos Xavier,Espinoza Cordero,c_espinozaec,Dejemos odio resentimientos lado Consejo Participacion Ciudadana trabajare suenos cumplan mejor Ecuador proximo marzo,2019-02-26
Carlos Xavier,Espinoza Cordero,c_espinozaec,Debemos controlar autoridades funcionarios publicos Ecuador proximo marzo responsabilidad sera cuidar voto Consejo Participacion Ciudadana papeleta hombres primero segunda fila,2019-02-26
Carlos Xavier,Espinoza Cordero,c_espinozaec,Debemos unificar deseo ciudadano trabajo servidores publicos autoridades propuesta ecuatorianos,2019-02-26
Carlos Xavier,Espinoza Cordero,c_espinozaec,Debemos unificar deseo ciudadano trabajo servidores publicos autoridades propuesta ecuatorianos,2019-02-26
Carlos Xavier,Espinoza Cordero,c_espinozaec,Senor ahora usted promueve voto nulo,2019-02-27
Carlos Xavier,Espinoza Cordero,c_espinozaec,lideres emprendedores varios cantones provincia desean controle vigile autoridades seccionales elegiran proximo marzo,2019-02-27
Carlos Xavier,Espinoza Cordero,c_espinozaec,lideres emprendedores varios cantones provincia desean controle vigile autoridades seccionales elegiran proximo marzo,2019-02-27
Carlos Xavier,Espinoza Cordero,c_espinozaec,lideres emprendedores varios cantones provincia desean controle vigile autoridades seccionales elegiran proximo marzo,2019-02-27
Carlos Xavier,Espinoza Cordero,c_espinozaec,Elige alcalde prefecto concejales desees interesa preferencia politica trabajo sera hacer cumplan todas promesas estan haciendo Consejo Participacion Ciudadana,2019-02-27
Carlos Xavier,Espinoza Cordero,c_espinozaec,politicos temen Consejo Participacion Ciudadana profesionales independientes afiliacion partidista alguna Ahora promueven voto nulo podran callar ciudadana,2019-02-27
Carlos Xavier,Espinoza Cordero,c_espinozaec,politicos temen Consejo Participacion Ciudadana profesionales independientes afiliacion partidista alguna Ahora promueven voto nulo podran callar ciudadana,2019-02-27
Carlos Xavier,Espinoza Cordero,c_espinozaec,candidato alcalde elijas debera cumplir cada promesa haciendo CPCCS cuidar voto denunciarlo falla marzo buscame papeleta hombres primero segunda fila,2019-02-28
Carlos Xavier,Espinoza Cordero,c_espinozaec,reestructuracion Consejo Participacion Ciudadana mandato popular Ahora politicos proponen eliminarlo seria irrespetar voluntad expresada urnas silenciar ciudadania,2019-02-28
Carlos Xavier,Espinoza Cordero,c_espinozaec,eliges bien ganas Controlare todas autoridades funcionarios publicos Ecuador proximo marzo responsabilidad sera cuidar voto Vamos juntos Consejo Participacion Ciudadana,2019-02-28
Carlos Xavier,Espinoza Cordero,c_espinozaec,eliges bien ganas Jovenes Ecuador permitan politicos silencien Todas autoridades funcionarios publicos deben controlados denunciados anulas voto anulas Vamos juntos CPCCS,2019-02-28
Carlos Xavier,Espinoza Cordero,c_espinozaec,eliges bien ganas algun inconveniente consecuencia errores gestion publica junto CPCCS exigire cumplan derechos anulas voto anulas Vamos juntos Consejo Participacion Ciudadana,2019-02-28
Carlos Xavier,Espinoza Cordero,c_espinozaec,Controlare todas autoridades funcionarios publicos Ecuador proximo marzo responsabilidad sera cuidar voto Vamos juntos Consejo Participacion Ciudadana eliges bien ganas,2019-02-28
Carlos Xavier,Espinoza Cordero,c_espinozaec,eliges bien ganas Trabajare mano alcaldes prefectos electos proximo marzo acciones nuevo CPCCS seran planificadas Vamos juntos Consejo Participacion Ciudadana,2019-03-01
Carlos Xavier,Espinoza Cordero,c_espinozaec,activos Ecuador deben venderse seria pedirle usted ponga garantia casa ayudar toca eliges bien ganas Vamos junto Consejo Participacion Ciudadana,2019-03-01
Carlos Xavier,Espinoza Cordero,c_espinozaec,creamos estrategias control cada ecuatoriano pueda denunciar exigir transparencia seran deudas administracion publica silencio hecho continue alejando bienestar eliges bien ganas,2019-03-02
Carlos Xavier,Espinoza Cordero,c_espinozaec,Disfruta carnaval familia diviertete responsabilidad visita algun sitio hermoso,2019-03-02
Carlos Xavier,Espinoza Cordero,c_espinozaec,celular podras supervisar denunciar alcaldes prefectos resulten electos proximo marzo cumplen promesas campana eliges bien ganas Vamos juntos Consejo Participacion Ciudadana,2019-03-02
Carlos Xavier,Espinoza Cordero,c_espinozaec,Consejo Participacion Ciudadana debe constituirse manera definitiva desarrollo humanidad producto participacion activa personas diversidad derechos deben respetar forma clara eliges bien ganas,2019-03-03
Carlos Xavier,Espinoza Cordero,c_espinozaec,eliges bien ganas Vamos juntos Consejo Participacion Ciudadana papeleta hombres primero segunda fila,2019-03-03
