nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Joba Aminta,Fon Fay Vasquez,jobafonfay2019,votare nulo EleccionesCPCCS apoyare Pueblos Nacionalidades Rosa Chala RosaChalaEc Mujeres Joba jobafonfay2019 Karina Ponce KariPonce11 Hombres Carlos Pauta carlosrpauta Hugo Ludena VICENTELUDEA1 Carlos Figueroa carlosfigueroa6,2019-02-28
Joba Aminta,Fon Fay Vasquez,jobafonfay2019,votare nulo EleccionesCPCCS apoyare Pueblos Nacionalidades Rosa Chala RosaChalaEc Mujeres Joba jobafonfay2019 Karina Ponce KariPonce11 Hombres Carlos Pauta carlosrpauta Hugo Ludena VICENTELUDEA1 Carlos Figueroa carlosfigueroa6,2019-02-28
Joba Aminta,Fon Fay Vasquez,jobafonfay2019,derechos Candidaturas Consejeros CPCCS INDEPENDIENTES elegidas aceptan firmar Pacto Etico COMPROMISOS SofiaAlmeidaEc jobafonfay2019 MariaCatalinaPerezAvila HernanUlloa davidroserow JamesMcpccs ChugchilanJaime,2019-02-28
Joba Aminta,Fon Fay Vasquez,jobafonfay2019,fernandobalda CPCCS LassoGuillermo HernanUlloa SofiaAlmeidaEc voto familia HernanUlloa ALANDMOLESTINAM davidroserow jobafonfay2019 SofiaAlmeidaEc Maria Catalina Perez Francisco Bravo VIVA ECUADOR CARCEL CORRUPTOS,2019-03-01
Joba Aminta,Fon Fay Vasquez,jobafonfay2019,Coincidimos Lasso derecha llaman nulo voto nulo voto candidatos provenientes organizaciones sociales Pueblos nacionalidades RosaChalaEc Mujeres KariPonce11 jobafonfay2019 Hombres CarlosPauta Hugo Ludena carlosfigueroa6,2019-03-01
Joba Aminta,Fon Fay Vasquez,jobafonfay2019,LuisLaraParedes ALANDMOLESTINAM HernanUlloa jobafonfay2019 SofiaAlmeidaEc davidroserow Aqui polla casilleros NoAlVotoNulo,2019-03-01
Joba Aminta,Fon Fay Vasquez,jobafonfay2019,RonPeper voto ALANDMOLESTINAM HernanUlloa jobafonfay2019 SofiaAlmeidaEc davidroserow Maria Catalina Perez Francisco Bravo llegar pueblo solo puno siete candidatos opinon respeto demas Buen viento buena,2019-03-01
Joba Aminta,Fon Fay Vasquez,jobafonfay2019,TamaApoyo Elige mejores VOTA marzo CPCCS,2019-03-02
Joba Aminta,Fon Fay Vasquez,jobafonfay2019,voto CesarMontufar51 Esteban Moscoso HernanUlloa davidroserow Sofia Almeida Joba Catalina Perez Javier Molestina Lorenzo Bravo padron voto menos candidatos cnegobec CNEVice BorisVianII,2019-03-02
Joba Aminta,Fon Fay Vasquez,jobafonfay2019,Declaro votare proximo CPCCS Puede equivoque aviso dando voto tendre derecho reclamarle promesas campana SofiaAlmeidaEC HernanUlloa Caty jobafonfay2019 manababravo apoyoDrFigueroa alandmolestinam,2019-03-04
