nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Walter Javier,Gomez Ronquillo,wgomezr,Comparto ustedes Agenda actividades Canar Azuay manana martes FelizLunes FelizSemana Ecuador WalterGomezEsCPCCS WalterGomezEsElPrimero,2019-02-19
Walter Javier,Gomez Ronquillo,wgomezr,manzanitas CPCCS lograremos mejores dias,2019-02-19
Walter Javier,Gomez Ronquillo,wgomezr,Entrevista Semanario Heraldocanar Impulsare conformacion veedurias ciudadanas evaluen fiscalicen Transitorio autoridades financieras caso paren concesiones empresas publicas FelizMartes Elecciones2019 Elecciones2019EC EleccionesCPCCS,2019-02-19
Walter Javier,Gomez Ronquillo,wgomezr,Entrevista Radio Genesis Azogues prov Canar plan trabajo CPCCS sido hecho base necesidades ciudadania FelizMartes Elecciones2019EC EleccionesCPCCS WalterGomezEsCPCCS WalterGomezEsElPrimero Ecuador,2019-02-19
Walter Javier,Gomez Ronquillo,wgomezr,Entrevistado Martha Calle OndasCanaris evaluacion CPCCS sera dado ciudadania indicaran pasos seguir partir mayo 2019 FelizMartes Elecciones2019EC EleccionesCPCCS WalterGomezEsCPCCS WalterGomezEsElPrimero,2019-02-19
Walter Javier,Gomez Ronquillo,wgomezr,Entrevistado mercurioec ciudad Cuenca prov Azuay pugnas vocales electos Trujillo seguridad Transparencia comicios dignidad deben renunciar FelizMartes Elecciones2019EC EleccionesCPCCS WalterGomezEsCPCCS,2019-02-19
Walter Javier,Gomez Ronquillo,wgomezr,Cafe Parque Cuenca prov Azuay Recomendado lindo lugar FelizMartes,2019-02-19
Walter Javier,Gomez Ronquillo,wgomezr,Lideres organizacionales urbanos rurales prov Azuay apoyando candidatura AVANZANDO FelizMartes Elecciones2019EC EleccionesCPCCS CPCCS WalterGomezEsCPCCS WalterGomezEsElPrimero,2019-02-20
Walter Javier,Gomez Ronquillo,wgomezr,kolectiVOZ davalos2019 Felicitaciones Juan Xavier,2019-02-20
Walter Javier,Gomez Ronquillo,wgomezr,TEAFundacion torresaereo alcaldiagye CynthiaViteri6 JosueSanchezEc gente solo critican quieren amamos animales hagamos trabajo municipios exponemos creen reditos politicos simplistas mentes,2019-02-20
Walter Javier,Gomez Ronquillo,wgomezr,torresaereo TEAFundacion alcaldiagye CynthiaViteri6 JosueSanchezEc Solo saber haces bienestar animal ensenes hacer,2019-02-20
Walter Javier,Gomez Ronquillo,wgomezr,torresaereo TEAFundacion alcaldiagye CynthiaViteri6 JosueSanchezEc Muchas gracias entonces debido trabajo invitare apoyes todas gestiones impulsar normativas impulsare CPCCS,2019-02-20
Walter Javier,Gomez Ronquillo,wgomezr,torresaereo TEAFundacion alcaldiagye CynthiaViteri6 JosueSanchezEc Amig explico CPCCS impulsa creacion normativas ordenanzas objetivo poder tener proyectos bienestar animal beneficiar sociales mejoramiento animales debemos hacer juntos juntas,2019-02-20
Walter Javier,Gomez Ronquillo,wgomezr,torresaereo TEAFundacion alcaldiagye CynthiaViteri6 JosueSanchezEc Amigo juzgues conocerme trata posible primero saber tildarme descalificarme,2019-02-20
Walter Javier,Gomez Ronquillo,wgomezr,torresaereo TEAFundacion alcaldiagye CynthiaViteri6 JosueSanchezEc Gracias amigo siempre positivo apreciaciones actos gracias nuevamente,2019-02-20
Walter Javier,Gomez Ronquillo,wgomezr,torresaereo TEAFundacion alcaldiagye CynthiaViteri6 JosueSanchezEc Lenin Amigo parece comprendes modos invitado participar partir posesion seria mayo,2019-02-20
Walter Javier,Gomez Ronquillo,wgomezr,Radio Benemerita Santa Rosa prov Dejemos tener actitudes simplistas Presidente lider social politico agrade propuesta permito etiqueten quieran sumarse propuesta BIENVENIDOS nueva CPCCS,2019-02-20
