nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Edgar,Jacome,EdgarJacomeT,quitenos quejaron horrible trafico tunel Guayasamin plan contempla solucion problemas Mira video,2019-02-18
Edgar,Jacome,EdgarJacomeT,Manana febrero 2019 escuchame 08H30 18H15 dial programa Notimundo Edgar Jacome,2019-02-20
Edgar,Jacome,EdgarJacomeT,Ahora mismo escuchame programa Buenos dias Deporte contare historia fanatico futbol ecuatoriano pasion deporte apertura deporte,2019-02-20
Edgar,Jacome,EdgarJacomeT,vamos dedicar parte presupuesto campanas difusion educacion ciudadanos involucren cambio ordenamiento ciudad honestidad basta vamos trabajar conjunto quitenos,2019-02-20
Edgar,Jacome,EdgarJacomeT,politico casos causa rechazo ciudadanos oportunidad servir quiteno trabajar arduamente cambiar imagen administracion venida menos Edgar Jacome,2019-02-20
Edgar,Jacome,EdgarJacomeT,cambio comienza establecimiento podremos crear Guardia Metropolitana cuidar ciudadanos Ademas trabajaremos recuperar cultura costumbres quitenas,2019-02-20
Edgar,Jacome,EdgarJacomeT,propuestas proyecto disenado ordenar movilidad trafico ciudad catastro municipal Apuntaremos desarrollo crecimiento infraestructura redistribuiremos recursos beneficio ciudadano,2019-02-20
Edgar,Jacome,EdgarJacomeT,grandes problemas movilidad transporte solucionaran obras publicas reordenamiento transito Semaforizacion inteligente reorganizacion ampliacion Metro Quito seran prioridad,2019-02-20
Edgar,Jacome,EdgarJacomeT,gran deficit obra publica ciudad,2019-02-20
Edgar,Jacome,EdgarJacomeT,proyecto plan desarrollo propuesta politica necesita administradores recuperar competitividad atraer inversionistas generar trabajo recursos obras publicas necesarias,2019-02-21
Edgar,Jacome,EdgarJacomeT,propuesta turismo mayor visibilidad riqueza parroquias crear gran feria internacional turismo utilizar plataformas difusion atraer turistas mundo,2019-02-21
Edgar,Jacome,EdgarJacomeT,cuanto seguridad aprovecharemos asumir competencia crear Guardia Metropolitana invertir camaras campanas educacion reducir niveles criminalidad seguridad,2019-02-21
Edgar,Jacome,EdgarJacomeT,Trabajaremos generar obras publicas necesarias ciudad objetivo descongestionar transito ciudad generar empleo atraer inversion,2019-02-21
Edgar,Jacome,EdgarJacomeT,plan pensado resolver gran problema trafico ciudad Escucha parte propuesta hecha,2019-02-21
Edgar,Jacome,EdgarJacomeT,dial conversamos junto propuestas plan Transformaremos basura recurso Construiremos obras infraestructura vialidad reingenieria transito,2019-02-22
Edgar,Jacome,EdgarJacomeT,plan toma cuenta mascotas animalitos situacion riesgo Crearemos centros albergue adopcion ademas ordenar duenos cuidar mascotas,2019-02-22
Edgar,Jacome,EdgarJacomeT,barrio Placer conoci gusto futbol ninos creciendo sanos deporte tambien suenas recuperacion espacios familias Marzo,2019-02-23
Edgar,Jacome,EdgarJacomeT,miles ninos tambien creci barrios jugue futbol canchas propuesta fomentar deporte mantenerlos sanos alejados drogas ninos sanos,2019-02-23
Edgar,Jacome,EdgarJacomeT,minutos escuchame Dial voto informado ciudadanos,2019-02-24
Edgar,Jacome,EdgarJacomeT,dial recalco importancia herramienta permite tener plenas competencias asumir tema seguridad crear Guardia Municipal cuidar quitenos,2019-02-24
Edgar,Jacome,EdgarJacomeT,plan contempla semaforizacion inteligente reubicacion agentes transito hacia guardia metropolitana incluir transporte publico metro hacia valles autobuses electricos solventar problemas transito,2019-02-24
Edgar,Jacome,EdgarJacomeT,transporte publico buses taxis debe electrico permitira grandes ahorros combustible reduccion contaminacion inclusion apoyo gobierno central reduccion subsidios,2019-02-24
Edgar,Jacome,EdgarJacomeT,plan contempla aprovechamiento basura recurso crear plantas tratamiento desechos permitiran obtener energia ingresos Ademas educar capacitar toda sociedad manejo seleccion desechos,2019-02-24
Edgar,Jacome,EdgarJacomeT,turismo fundamental administracion plan necesita organice tema Proponemos creacion Feria Internacional Turismo llamar inversionistas generar trabajo,2019-02-24
Edgar,Jacome,EdgarJacomeT,quiteno generaciones crecido cultura quitena sangre plan proyecto recuperacion identidad creacion cultura Marzo valores,2019-02-24
Edgar,Jacome,EdgarJacomeT,mercado Central Tumbaco compartimos plan junta parroquial Tumbaco comerciantes recuperen esperanza productividad mejor transporte seguridad Marzo,2019-02-24
Edgar,Jacome,EdgarJacomeT,propuesta Tumbaco desarrollo obras publicas transporte mejores vias mayor productividad Marzo digan,2019-02-24
Edgar,Jacome,EdgarJacomeT,Manana Febrero 2019 daremos conocer plan buses Distrito Marzo,2019-02-25
Edgar,Jacome,EdgarJacomeT,respondemos grandes capitales politicos ello acercamiento comunidad genuino paradas casas barrios vamos trabajar ciudadanos digan Marzo,2019-02-25
Edgar,Jacome,EdgarJacomeT,gobernar significa contacto necesidades personas esten esten frente Centro Comercial Recreo compartimos propuestas transeuntes Marzo digan,2019-02-25
Edgar,Jacome,EdgarJacomeT,propuesta gobierno cerca ciudadanos barrios casas paradas buses frente Centro Comercial Recreo reconocemos necesidades transeuntes Marzo cambio,2019-02-25
Edgar,Jacome,EdgarJacomeT,Manana escucha propuestas Radio Francisco Estereo Dial Dial Edgar Jacome Marzo,2019-02-25
Edgar,Jacome,EdgarJacomeT,minutos comienza entrevista Radio Francisco Estereo Dial plan Marzo,2019-02-26
Edgar,Jacome,EdgarJacomeT,Estatuto Autonomico mecanismo usare corregir grandes problemas ciudad materia seguridad movilidad obras infraestructura lucha corrupcion Marzo decir,2019-02-26
Edgar,Jacome,EdgarJacomeT,seguridad importante dentro propuestas administracion seguridad puede existir turismo sustentable ello gracias crearemos guardia municipal frenar crimen Marzo,2019-02-26
Edgar,Jacome,EdgarJacomeT,materia turismo aprovecharemos atractivos reforzando seguridad promoviendo comercio sustentable promocionando cultura ciudad municipio turistico seguro productivo Marzo,2019-02-26
Edgar,Jacome,EdgarJacomeT,Movilidad trabajare reingenieria transito implementare semaforizacion inteligente creare rutas alimentacion Metro Quito valles zonas aledanas beneficien servicio Marzo,2019-02-26
Edgar,Jacome,EdgarJacomeT,Gracias entrevista presentar plan quitenos administracion solucionara problemas trafico movilidad aumentara turismo tratara basura recurso Marzo hacer potencia,2019-02-27
Edgar,Jacome,EdgarJacomeT,Agenda Febrero Marzo,2019-02-27
Edgar,Jacome,EdgarJacomeT,proyecto fruto anos investigacion Integraremos parroquias urbanas Conocoto Calderon corregir problemas localidades transporte publico Marzo,2019-02-27
Edgar,Jacome,EdgarJacomeT,hacemos publico nuevamente promulgacion dara competencias atender grandes males ocasionados anos administraciones deficientes decir Marzo,2019-02-27
Edgar,Jacome,EdgarJacomeT,necesita politicos necesita administradores organizadores poder resolver problemas ciudad obras publicas inversion estudios factibilidad Marzo ciudad corrupcion,2019-02-27
Edgar,Jacome,EdgarJacomeT,propone convertir recursos basura recursos economicos Quito,2019-02-27
Edgar,Jacome,EdgarJacomeT,Escucha pronto entrevista conocer propuestas alcaldia Marzo,2019-02-27
