nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Aland Javier,Molestina Malta,ALANDMOLESTINAM,VIVO radio Diego Oquendo compartiendo panel Karina Ponce Tema Preguntas urgentes candidatos,2019-02-19
Aland Javier,Molestina Malta,ALANDMOLESTINAM,debemos votar candidatos esten alejados compromiso politico garantizar independencia transparencia combate corrupcion Radio Canela ciudad Quito,2019-02-19
Aland Javier,Molestina Malta,ALANDMOLESTINAM,Continuamos agenda programada region interandina cumpliendo responsabilidad ecuatorianos Vamos salvaguardar participacion ciudadana marzo honestidad transparencia,2019-02-19
Aland Javier,Molestina Malta,ALANDMOLESTINAM,Consejo Participacion Ciudadana Control Social Transitorio cuanto combate corrupcion queda debiendo pais correspondera entonces definitivo asumir reto Informativo Prisma televisora ciudad Ibarra,2019-02-20
Aland Javier,Molestina Malta,ALANDMOLESTINAM,Vientos fraude electoral soplan Ecuador eleccion Consejeros Existe decision arbitraria escrutar final votos dignidad Radio Caracol Ambato,2019-02-21
Aland Javier,Molestina Malta,ALANDMOLESTINAM,debe hacerse primero trata eleccion Nacional olvidemos tampoco poseemos infraestructura permita Control Electoral Radio Caracol Ambato,2019-02-21
Aland Javier,Molestina Malta,ALANDMOLESTINAM,Disfrutando musica alegria ambatenos mantuvimos entrevista parque Montalvo hermosa ciudad Ambato UNIMAX,2019-02-21
Aland Javier,Molestina Malta,ALANDMOLESTINAM,Cumpliendo responsabilidad historica promover participacion ciudadana conocer Plan Trabajo recorrido provincias Pichincha Imbabura Tungurahua Bolivar Loja Cotopaxi Esmeraldas Seguire recorriendo pais fuerza energia,2019-02-21
Aland Javier,Molestina Malta,ALANDMOLESTINAM,letreros todas instituciones publicas indicando norma sanciona ciudadanos falten respeto funcionario publico debe haber senalen cuales derechos pueda ejercerlos libertad Diario Regional Andes Riobamba,2019-02-22
Aland Javier,Molestina Malta,ALANDMOLESTINAM,Condeno falta responsabilidad dicen anular voto saben quieren ignorar CPCCS sera organismo lidere lucha corrupcion firmeza honestidad,2019-02-22
Aland Javier,Molestina Malta,ALANDMOLESTINAM,Consejeros Gobierno nefasto puestos dedo Pido ciudadanos confien propuestas oportunidad seguir sirviendo pais Radio Riobamba,2019-02-22
Aland Javier,Molestina Malta,ALANDMOLESTINAM,ECUATORIANOS participacion candidato obedece claro compromiso pais necesita bano honestidad luego haber padecido largo periodo corrupcion liderado expresidente republica,2019-02-22
Aland Javier,Molestina Malta,ALANDMOLESTINAM,responsabilidad encontrar mejores dias pais convoca trabajar tregua descanso Agradezco valiosos aportes,2019-02-25
Aland Javier,Molestina Malta,ALANDMOLESTINAM,independencia toda linea partidista sustento moral rechazar falsos lideres politicos voces peticion voto nulo Manabi tierra hermosa apoyo hombres mujeres bravios pundonor sigo firme,2019-02-25
Aland Javier,Molestina Malta,ALANDMOLESTINAM,Medios Comunicacion juegan papel importante orientar ciudadania Participacion Ciudadana derecho elegir representantes proximo marzo medios comunicacion provincia Manabi camino firme,2019-02-26
Aland Javier,Molestina Malta,ALANDMOLESTINAM,embargo advierto pais confabulacion grupos politicos poder echar traste eleccion manera irresponsable llaman anular voto Manabi camino firme,2019-02-26
Aland Javier,Molestina Malta,ALANDMOLESTINAM,Tome desafio participar hora gente honesta asuma compromiso pais conocen saben actuare transparencia independencia Camino firme Manabi,2019-02-27
Aland Javier,Molestina Malta,ALANDMOLESTINAM,Ecuador sera pais honesto oportunidades jovenes Disfrutemos feriado carnaval alegria cuidado esperanza mejores dias patria Camino firme,2019-03-02
Aland Javier,Molestina Malta,ALANDMOLESTINAM,balzarenos ejemplo pueblo pujante marzo votara Participacion Ciudadana,2019-03-03
Aland Javier,Molestina Malta,ALANDMOLESTINAM,mismos plantean anule voto elimine misma valentia pedir elimine Asamblea Nacional,2019-03-03
Aland Javier,Molestina Malta,ALANDMOLESTINAM,Gracias confianza hace referencia TARZ28 enunciado Ecuador Eterno falso casi totalidad dice cargo frontera norte Guayaquil favor chequee google Llegare CPCCS combatir corruptos,2019-03-06
