nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
James Byron,Montenegro Ordonez,JamesMcpccs,ceomespecuador CorporacionGES derechos CPCCS SofiaAlmeidaEc jobafonfay2019 monka78 HernanUlloa FranklinMorenoQ davidroserow ALANDMOLESTINAM ChugchilanJaime JamesMontenegro Candidato CPCCS pongo conocimiento plan trabajo experiencia profesional perfil profesional tambien firmar LosPrincipiosyValoresNoSeNegocian,2019-02-20
James Byron,Montenegro Ordonez,JamesMcpccs,1029fmDistrito JamesMotenegro candidato CPCCS Elecciones2019EC gustaria compartir ustedes exclusiva audiencia propuesta,2019-02-20
James Byron,Montenegro Ordonez,JamesMcpccs,Conoce propuestas llegar CPCCS radio forever925 LuisaMaHeredia,2019-02-22
James Byron,Montenegro Ordonez,JamesMcpccs,Conoce propuestas llegar CPCCS radio forever925 LuisaMaHeredia,2019-02-22
James Byron,Montenegro Ordonez,JamesMcpccs,FelizDomingo estare radio forever925 Acompaname 11h00 programa AFondo JamesMontenegro,2019-02-24
James Byron,Montenegro Ordonez,JamesMcpccs,FelizDomingo estare radio forever925 Acompaname 11h00 programa AFondo JamesMontenegro,2019-02-24
James Byron,Montenegro Ordonez,JamesMcpccs,propuesta compuesta ejes designacion autoridades fortalecer participacion ciudadana Generar politica publica lucha corrupcion forever925 LuisaMaHeredia JamesMontenegro,2019-02-24
James Byron,Montenegro Ordonez,JamesMcpccs,radio forever925 LuisaMaHeredia Vamos proponer reforma Participacion Ciudadana permita Consejo demas designar evaluar ratificar destituir autoridades JamesMontenegro,2019-02-24
James Byron,Montenegro Ordonez,JamesMcpccs,Generacion fortalecimiento principios valores trabajando ninos ninas jovenes objetivo fortalecer capacidades futuras autoridades forever925 LuisaMaHeredia JamesMontenegro,2019-02-24
James Byron,Montenegro Ordonez,JamesMcpccs,Fortalecer lucha corrupcion modelo triple helice poder Ejecutivo Funcion Judicial Funcion Transparencia Control Social forever925 LuisaMaHeredia JamesMontenegro,2019-02-24
James Byron,Montenegro Ordonez,JamesMcpccs,candidato CPCCS JamesMcpccs explico propuestas campana AFondo forever925,2019-02-24
James Byron,Montenegro Ordonez,JamesMcpccs,marzo 2019 encuentrame papeleta Hombres casillero candidato CPCCS forever925 JamesMontenegro,2019-02-24
James Byron,Montenegro Ordonez,JamesMcpccs,JamesMontenegro,2019-02-25
James Byron,Montenegro Ordonez,JamesMcpccs,candidatura responde ningun partido movimiento politico debo ningun gobierno JamesMotenegro ciudadano Ecuatoriano independiente pido apoyo CPCCS juntos luchemos corrupcion Elecciones2019EC,2019-02-27
James Byron,Montenegro Ordonez,JamesMcpccs,VIDEO Gracias elcomerciocom entrevista JamesMontenegro propuesta,2019-03-01
James Byron,Montenegro Ordonez,JamesMcpccs,Ampoyo incondicional amigo JamesMontenegro Elecciones2019EC LosPrincipiosyValoredNoSeNegocian,2019-03-01
James Byron,Montenegro Ordonez,JamesMcpccs,buen lider cambia mundo Ecuador JamesMontenegro Elecciones2019EC LuchaContraLaCorrupcion LosPrincipiosyValoresNoSeNegocian,2019-03-01
James Byron,Montenegro Ordonez,JamesMcpccs,derechos Papeleta elegir HOMBRES Vota Hernan Ulloa HernanUlloa David Rosero davidroserow James Montenegro JamesMcpccs IDONEOS tres Candidaturas INDEPENDIENTES Consejeros CPCCS Aceptaron firmar Pacto Etico COMPROMISOS,2019-03-01
James Byron,Montenegro Ordonez,JamesMcpccs,derechos Pacto Etico COMPROMISOS identifica Consejeros INDEPENDIENTES debemos elegir marzo 2019 VotoResponsableTransparente Papeletas HOMBRES sera HernanUlloa davidroserow JamesMcpccs NemySantacruz Directora,2019-03-04
James Byron,Montenegro Ordonez,JamesMcpccs,YoNoVotoNulo YoVotoporJames JamesMontenegro,2019-03-06
James Byron,Montenegro Ordonez,JamesMcpccs,CorporacionGES derechos HernanUlloa davidroserow KariPonce11 SofiaAlmeidaEc jobafonfay2019 ChugchilanJaime Comparto ustedes propuesta tecnica gracias contribucion elcomerciocom,2019-03-06
James Byron,Montenegro Ordonez,JamesMcpccs,FELIZ MUJER Gracias incansable lucha construir mundo justo bueno digno ejemplo fuerza justicia 8M2019 mundo socialmente iguales humanamente diferentes totalmente libres Rosa Luxemburgo,2019-03-08
James Byron,Montenegro Ordonez,JamesMcpccs,FELIZ MUJER Gracias incansable lucha construir mundo justo bueno digno ejemplo fuerza justicia 8M2019 mundo socialmente iguales humanamente diferentes totalmente libres Rosa Luxemburgo,2019-03-08
James Byron,Montenegro Ordonez,JamesMcpccs,CPCCS debe integrado Ciudadanos alta formacion profesional trayectoria servicio publico transparencia comprobada accionar gracias CorporacionGES difundir lista candidatos responden ningun tipo compromiso politico,2019-03-11
James Byron,Montenegro Ordonez,JamesMcpccs,cvsimport 2015 NemySantacruz CorporacionGES ChugchilanJaime SofiaAlmeidaEc KariPonce11 HernanUlloa davidroserow JamesMcpccs,2019-03-12
James Byron,Montenegro Ordonez,JamesMcpccs,derechos James Montenegro JamesMcpccs Candidatura nominada Papeleta Hombres Consejero INDEPENDIENTE dentro Pacto Etico COMPROMISOS propuesto CorporacionGES Candidaturas Consejeros INDEPENDIENTES Perfil Video presentacion,2019-03-12
James Byron,Montenegro Ordonez,JamesMcpccs,derechos respaldo Candidaturas Consejeros CPCCS INDEPENDIENTES aceptado firmar Pacto Etico COMPROMISOS HernanUlloa davidroserow JamesMcpccs VotoResponsableTransparente ustedes ceomespecuador NemySantacruz KSantacruzM,2019-03-12
James Byron,Montenegro Ordonez,JamesMcpccs,CorporacionGES CPCCS AsambleaEcuador larreategui diegoordonezg Josernandez1 JCTrujilloCPCCS PabloDavilaJ 4pelagatos4 LassoGuillermo jaimenebotsaadi mejor proponen desaparezca cuna grande corrupcion negociados AsambleaEcuador YoNoVotoNulo YoVotoporJames JamesMontenegro candidatos nomino CorporacionGES davidroserow HernanUlloa SofiaAlmeidaEc,2019-03-12
James Byron,Montenegro Ordonez,JamesMcpccs,marzo cuento apoyo Juntos construiremos Ecuador sonamos Justo inclusivo solidario libre Corrupcion Encuentrame paleta hombres segunda fila izquierda aderecha casillero,2019-03-12
James Byron,Montenegro Ordonez,JamesMcpccs,derechos mantendre informados HernanUlloa davidroserow JamesMcpccs ChugchilanJaime KariPonce11 jobafonfay2019 SofiaAlmeidaEc ceomespecuador,2019-03-14
James Byron,Montenegro Ordonez,JamesMcpccs,candidatos CPCCS conocen atribuciones sigue Link Debemos informarnos votar odio votar fanatismo Existen candidatos JamesMcpccs transparencia comprobada YoNoVotoNulo YoVotoporJames,2019-03-14
James Byron,Montenegro Ordonez,JamesMcpccs,derechos onumujeresEcu VotoMujerJuventudINDEPENDIENTE PactoEticoConsejeros7COMPROMISOS Mujeres KariPonce11 SofiaAlmeidaEc jobafonfay2019 Hombres HernanUlloa davidroserow JamesMcpccs Pueblos Nacionalidades ChugchilanJaime NemySantacruz CorporacionGES,2019-03-18
James Byron,Montenegro Ordonez,JamesMcpccs,VotoMujerJuventudINDEPENDIENTE garanticen CPCCS Potencie Fortalecimiento Institucional permitan desaparezca pierda capacidad designar Autoridades Control Luche Corrupcion HernanUlloa davidroserow JamesMcpccs,2019-03-18
