nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Mónika Mariuxi,Moreira Moran,monka78,sociedad justa equitativa aspiracion ecuatorianos Trabajemos juntos lograrlo,2019-02-20
Mónika Mariuxi,Moreira Moran,monka78,homenaje dedican vida defender promover cumplimiento derechos ciudadanos comprometer negociar principios,2019-02-20
Mónika Mariuxi,Moreira Moran,monka78,Feliz Gracias heroes bata estetoscopio cuidar preservar salud,2019-02-21
Mónika Mariuxi,Moreira Moran,monka78,Anular voto limitar capacidad ciudadana derecho asumir ejercicio responsable democracia debe intentar minimizar legitimidad unico organismo representa,2019-02-21
Mónika Mariuxi,Moreira Moran,monka78,Recordemos mantener calma implementar plan evaluacion informarnos canales oficiales caso evacuacion brindemos ayuda necesitan asistencia ninos adultos mayores mujeres embarazadas personas discapacidad,2019-02-22
Mónika Mariuxi,Moreira Moran,monka78,Recordemos mantener calma implementar plan evacuacion informarnos canales oficiales caso evacuacion brindemos ayuda necesitan asistencia ninos adultos mayores mujeres embarazadas personas discapacidad,2019-02-22
Mónika Mariuxi,Moreira Moran,monka78,presentes asamblea demostrando unidad gremio sindical clave exito lucha trabajadores pais,2019-02-23
Mónika Mariuxi,Moreira Moran,monka78,participe Asamblea Nacional unidad fortaleza magisterio maestro mientras lucha derechos tambien ensena,2019-02-23
Mónika Mariuxi,Moreira Moran,monka78,magisterio unido motivado firme objetivos reunio Guayaquil Asamblea Nacional definir acciones reinvindicacion mejoramiento maestros Ecuador,2019-02-23
Mónika Mariuxi,Moreira Moran,monka78,Vamos companera Monica fuerza,2019-02-23
Mónika Mariuxi,Moreira Moran,monka78,Adelante maestros,2019-02-23
Mónika Mariuxi,Moreira Moran,monka78,Maestros adelante,2019-02-23
Mónika Mariuxi,Moreira Moran,monka78,Adelante companeros,2019-02-23
Mónika Mariuxi,Moreira Moran,monka78,ubicarla casillero Consejo Participacion Ciudadana Control Social,2019-02-23
Mónika Mariuxi,Moreira Moran,monka78,Adelante maestros Ecuador futuro ganador espera,2019-02-24
Mónika Mariuxi,Moreira Moran,monka78,Comparto agenda actividades Lunes febrero Mesa Redonda Construir democracia participativa territorio,2019-02-25
Mónika Mariuxi,Moreira Moran,monka78,Adelante Monica mejor opcion CPCCS,2019-02-25
Mónika Mariuxi,Moreira Moran,monka78,Respaldo contundente amiga madre excelente profesional CPCCS,2019-02-25
Mónika Mariuxi,Moreira Moran,monka78,Total respaldo clase trabajadora educacion CPCCS,2019-02-25
Mónika Mariuxi,Moreira Moran,monka78,seguro hara excelente trabajo CPCCS,2019-02-25
Mónika Mariuxi,Moreira Moran,monka78,votaremos Monica Moreira quinientas veses mejor opcion,2019-02-25
Mónika Mariuxi,Moreira Moran,monka78,Adelante companera fuerzas Dios delante usted,2019-02-25
Mónika Mariuxi,Moreira Moran,monka78,VOTO USTED MONICA MOREIRA,2019-02-25
Mónika Mariuxi,Moreira Moran,monka78,Interesante tematica,2019-02-25
Mónika Mariuxi,Moreira Moran,monka78,Construccion Democracia Participativa territorio Socializacion trayectoria propuestas Cada ciudadano compromiso erradicar corrupcion campo accion,2019-02-25
Mónika Mariuxi,Moreira Moran,monka78,eleccion definitivo particularidad demostrar nueva manera debatir propuestas firmes agresiones metas claras gente decidida ejercer valentia representacion mandante,2019-02-25
Mónika Mariuxi,Moreira Moran,monka78,Ciudadanos derecho elegir voto poder voto nulo REPRESENTA,2019-02-25
Mónika Mariuxi,Moreira Moran,monka78,,2019-02-26
Mónika Mariuxi,Moreira Moran,monka78,Apoyo total representara trabajadores CPCCS sigue adelante Monica mucha fuerza opcion trabajadores Pais respaldo total,2019-02-26
Mónika Mariuxi,Moreira Moran,monka78,Trabajo campo solo escritorios pueblo necesita,2019-02-26
Mónika Mariuxi,Moreira Moran,monka78,Rueda prensa favor democracia conviccion rechazamos intento menoscabar establecido mandato popular voto nulo REPRESENTA Meditemos ejerzamos voto responsable Luchar corrupcion tambien depende,2019-02-26
Mónika Mariuxi,Moreira Moran,monka78,importante garantizar ciudadania sucumba intentos ciertos grupos sienten temor trabajaremos firmeza erradicar corrupcion transparentar funcion publica voto nulo REPRESENTA,2019-02-26
Mónika Mariuxi,Moreira Moran,monka78,Defendiendo derechos demostrando capaces tambien defender ciudadanos Cumplir hacer cumpla objetivo voto nulo REPRESENTA voto poder,2019-02-26
Mónika Mariuxi,Moreira Moran,monka78,Monica Moreira,2019-02-26
Mónika Mariuxi,Moreira Moran,monka78,importante garantizar promover voto asistido cada ecuatorianos discapacidad rincones pais,2019-02-27
Mónika Mariuxi,Moreira Moran,monka78,maneja Quieren silenciar punta amenazas represalias,2019-03-01
Mónika Mariuxi,Moreira Moran,monka78,Buenos dias celebramos cero discriminacion tolerantes abracemos diversidad tratemos demas gustaria traten mundo necesita comprension menos exclusion,2019-03-01
Mónika Mariuxi,Moreira Moran,monka78,Feliz admiracion ustedes lucha incansable alcanzar seguridad bienestar ciudadanos,2019-03-02
Mónika Mariuxi,Moreira Moran,monka78,Monica miedo saben llegar,2019-03-03
Mónika Mariuxi,Moreira Moran,monka78,Cuenta voto docentes,2019-03-03
Mónika Mariuxi,Moreira Moran,monka78,apoyamos firme lucha corrupcion podemos reunirnos Bendiciones,2019-03-03
