nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Pablo Eduardo,Ponce Cerda,PabloPonce,Modelo977 principal propuesta realizar Asambleas Itinerantes todas provincias pais YoSoyTuVoz YosoyPabloPonce,2019-02-20
Pablo Eduardo,Ponce Cerda,PabloPonce,modelonoticias Entrevista Pablo Ponce candidato cpccs yosoytuvoz pabloponce PabloPonce,2019-02-20
Pablo Eduardo,Ponce Cerda,PabloPonce,TelevisionManabita Casillero sorteo primera elegira representantes CPCCS,2019-02-20
Pablo Eduardo,Ponce Cerda,PabloPonce,Gestion Publica debe responsable RadioGaviota YoSoyTuVoz PabloPonce,2019-02-20
Pablo Eduardo,Ponce Cerda,PabloPonce,Quiero saludar colegas Abogados pais noble profesion esfuerzo preparacion lucha constante hacer prevalecer derechos clientes DiaDelAbogadoEcuatoriano YoSoyTuVoz PabloPonce,2019-02-20
Pablo Eduardo,Ponce Cerda,PabloPonce,Radio Costamar abre espacio hablar proximas elecciones Ecuador elegira representantes Consejo Participacion Ciudadana Control Social casillero12 YoSoyTuVoz PabloPonce,2019-02-20
Pablo Eduardo,Ponce Cerda,PabloPonce,Seguimos recorriendo pais Portoviejo iniciamos Manavision hablar Consejo Participacion Ciudadana Control Social elecciones proximo marzo elegiran primera consejeros voto popular,2019-02-21
Pablo Eduardo,Ponce Cerda,PabloPonce,Radio Capital borron cuenta nueva pais necesita respeten normas problema instituciones personas hacemos buenas base educacion incentivar verdadera participacion ciudadana activa,2019-02-21
Pablo Eduardo,Ponce Cerda,PabloPonce,Radio Capital borron cuenta nueva pais necesita respeten normas problema instituciones personas hacemos buenas base educacion incentivar verdadera participacion ciudadana activa YoSoyTuVoz,2019-02-21
Pablo Eduardo,Ponce Cerda,PabloPonce,invito escuchar propuestas candidato CPCCS siguientes medios comunicacion ecuavisa radiopublicaEC gkcity radiosonorama CanalUnoTv RadioUnica720 Yosoytuvoz,2019-02-25
Pablo Eduardo,Ponce Cerda,PabloPonce,invito entrevista ContactoDirecto ecuavisa Hablare propuestas candidato CPCCS YoSoyTuVoz,2019-02-25
Pablo Eduardo,Ponce Cerda,PabloPonce,YoSoyTuVoz,2019-02-25
Pablo Eduardo,Ponce Cerda,PabloPonce,ecuavisa listo conocer propuesta candidato CPCCS YoSoyTuVoz FelizLunes,2019-02-25
Pablo Eduardo,Ponce Cerda,PabloPonce,participacion ciudadana ingrediente principal fomentar democracia ecuavisa YoSoyTuVoz,2019-02-25
Pablo Eduardo,Ponce Cerda,PabloPonce,EcuadorALasUrnas PabloPonce minga debemos apoyar hombro fomentar participacion ciudadania,2019-02-25
Pablo Eduardo,Ponce Cerda,PabloPonce,CPCCS debe tener apoyo gremios tecnicos incentivar verdadera participacion ciudadana YoSoyTuVoz ecuavisa,2019-02-25
Pablo Eduardo,Ponce Cerda,PabloPonce,voluntad politica abrir espacios dialogo jovenes principales actores ecuavisa YoSoyTuVoz,2019-02-25
Pablo Eduardo,Ponce Cerda,PabloPonce,lejano CPCCS Quito propongo haga manera itinerante provincias YoSoyTuVoz ecuavisa,2019-02-25
