nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Olivio,Sarzoza,OlivioSarzosa,Entrevista Ecuavisa Dando conocer propuestas daran alcaldia Olivio Sarzosa ponteONCE olivioSarzosa,2019-02-19
Olivio,Sarzoza,OlivioSarzosa,Entrevista Ecuavisa Dando conocer propuestas daran alcaldia Olivio Sarzosa ponteONCE olivioSarzosa,2019-02-19
Olivio,Sarzoza,OlivioSarzosa,ponteONCE OlivioSarzosa Quito,2019-02-21
Olivio,Sarzoza,OlivioSarzosa,Quitenos atentos debate transmitira Telerama 8h15 DevateporQuito ponteONCE JusticiaSocial OlivioSarzosa,2019-03-07
Olivio,Sarzoza,OlivioSarzosa,Quitenos atentos debate transmitira Telerama 20h15 DevateporQuito ponteONCE JusticiaSocial OlivioSarzosa,2019-03-07
Olivio,Sarzoza,OlivioSarzosa,Quitenos atentos debate transmitira Telerama 20h15 DevateporQuito ponteONCE JusticiaSocial OlivioSarzosa,2019-03-07
Olivio,Sarzoza,OlivioSarzosa,Quitenos atentos debate transmitira Telerama Quito 20h15 DevateporQuito ponteONCE JusticiaSocial OlivioSarzosa,2019-03-07
Olivio,Sarzoza,OlivioSarzosa,Siempre agradecido ciudadDeQuito,2019-03-07
Olivio,Sarzoza,OlivioSarzosa,ponteOnce aquiportusderechos olivioSazosa,2019-03-07
Olivio,Sarzoza,OlivioSarzosa,parte pueblo alcaldia sera prioridad,2019-03-08
Olivio,Sarzoza,OlivioSarzosa,espero manana ponteONCE OlivioSarzosa JusticiaSocial,2019-03-08
Olivio,Sarzoza,OlivioSarzosa,espero manana ponteONCE OlivioSarzosa JusticiaSocial,2019-03-08
