nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Carlos,Sevilla,SevilaCarlos,Ponte camiseta ciudad cuidemos juntos Patrimonio CiudadEquipo SevillaAlcaldeUIO LibertadEsPueblo Lista9,2019-02-17
Carlos,Sevilla,SevilaCarlos,Vamos recuperar organizacion barrial hacemos CiudadEquipo SevillaAlcaldeUIO LibertadEsPueblo Lista9,2019-02-17
Carlos,Sevilla,SevilaCarlos,CULTURA VIAL vias seran seguras trabajamos CiudadEquipo accidentes vias SevillaAlcaldeUIO LibertadEsPueblo Lista9,2019-02-18
Carlos,Sevilla,SevilaCarlos,vamos gobernar sectores gobernaremos CiudadEquipo SevillaAlcaldeUIO LibertadEsPueblo Lista9,2019-02-19
Carlos,Sevilla,SevilaCarlos,ayuda sumando voluntades lograremos construir ciudad moderna deseamos SevillaAlcaldeUIO LibertadEsPueblo Lista9,2019-02-19
Carlos,Sevilla,SevilaCarlos,ConociendoAlCandidato AlcaldiaQuito continuacion propuestas SevilaCarlos Decision2019,2019-02-23
Carlos,Sevilla,SevilaCarlos,CiudadEquipo Quito ciudad oportunidades Juntos podremos generar bienestar calidad vida SevillaAlcaldeUIO LibertadEsPueblo Lista9,2019-02-19
Carlos,Sevilla,SevilaCarlos,CiudadEquipo agenda actividades llevara cabo ProfeSevilla manana SevillaAlcaldeUIO LibertadEsPueblo Lista9,2019-02-20
Carlos,Sevilla,SevilaCarlos,CiudadEquipo Creemos juventud vamos apoyar dotandoles herramientas necesarias puedan sacar adelante emprendimientos SevillaAlcaldeUIO LibertadEsPueblo Lista9,2019-02-20
Carlos,Sevilla,SevilaCarlos,Juntos trabajando CiudadEquipo lograremos construir ciudad moderna deseamos ciudad SevillaAlcaldeUIO LibertadEsPueblo Lista9,2019-02-20
Carlos,Sevilla,SevilaCarlos,CiudadEquipo Presentamos agenda ProfeSevilla manana jueves SevillaAlcaldeUIO LibertadEsPueblo Lista9,2019-02-21
Carlos,Sevilla,SevilaCarlos,CiudadEquipo capacitacion fundamental SevillaAlcaldeUIO LibertadEsPueblo Lista9,2019-02-21
Carlos,Sevilla,SevilaCarlos,dedicacion paciencia constancia hacen sumamente especial Feliz Medico Ecuatoriano CiudadEquipo LibertadEsPueblo Lista9,2019-02-21
Carlos,Sevilla,SevilaCarlos,CiudadEquipo agenda actividades llevara cabo ProfeSevilla manana SevillaAlcaldeUIO LibertadEsPueblo Lista9,2019-02-22
Carlos,Sevilla,SevilaCarlos,CiudadEquipo Quito trabajaremos pensando bienestar SevillaAlcaldeUIO LibertadEsPueblo Lista9,2019-02-22
Carlos,Sevilla,SevilaCarlos,CiudadEquipo Vamos trabajar movilidad eficiente incluyente respetuosa SevillaAlcaldeUIO LibertadEsPueblo Lista9,2019-02-22
Carlos,Sevilla,SevilaCarlos,Ponte camiseta ciudad hagamos juntos CiudadEquipo SevillaAlcaldeUIO LibertadEsPueblo Lista9,2019-02-23
Carlos,Sevilla,SevilaCarlos,CiudadEquipo Vamos trabajar garantizar seguridad peatones SevillaAlcaldeUIO LibertadEsPueblo Lista9,2019-02-23
Carlos,Sevilla,SevilaCarlos,Ponte camiseta ciudad hagamos juntos CiudadEquipo SevillaAlcaldeUIO LibertadEsPueblo Lista9,2019-02-23
Carlos,Sevilla,SevilaCarlos,CiudadEquipo Generaremos eventos deportivos culturales espacios publicos comunidad apropie lugares cuide SevillaAlcaldeUIO LibertadEsPueblo Lista9,2019-02-23
Carlos,Sevilla,SevilaCarlos,ConociendoAlCandidato AlcaldiaQuito Conozcamos perfil candidato alcaldia movimiento Libertad Pueblo SevilaCarlos Decision2019,2019-02-23
Carlos,Sevilla,SevilaCarlos,CiudadEquipo gestion transparente manos limpias SevillaAlcaldeUIO LibertadEsPueblo Lista9,2019-02-23
Carlos,Sevilla,SevilaCarlos,CiudadEquipo Quito ciudad oportunidades trabajo buenos vecinos SevillaAlcaldeUIO LibertadEsPueblo Lista9,2019-02-23
Carlos,Sevilla,SevilaCarlos,Buen inicio semana Construyamos juntos CiudadEquipo SevillaAlcaldeUIO LibertadEsPueblo Lista9,2019-02-25
Carlos,Sevilla,SevilaCarlos,Vamos devolver ciudad institucion respeto servicio intereses habitantes CiudadEquipo SevillaAlcaldeUIO LibertadEsPueblo Lista9,2019-02-25
Carlos,Sevilla,SevilaCarlos,Quito ciudad oportunidades trabajo futuro SevillaAlcaldeUIO LibertadEsPueblo Lista9,2019-02-26
Carlos,Sevilla,SevilaCarlos,noche compartimos amigos dirigentes Federacion Ligas Barriales Quito grato juntarse personas comprometidas seran fundamentales construccion CiudadEquipo SevillaAlcaldeUIO LibertadEsPueblo Lista9,2019-02-26
Carlos,Sevilla,SevilaCarlos,Ponte camiseta ciudad hagamos juntos CiudadEquipo SevillaAlcaldeUIO LibertadEsPueblo Lista9,2019-02-26
Carlos,Sevilla,SevilaCarlos,CiudadEquipo Vamos poner alto delincuencia SevillaAlcaldeUIO LibertadEsPueblo Lista9,2019-02-27
Carlos,Sevilla,SevilaCarlos,Trabajando juntos construiremos CiudadEquipo SevillaAlcaldeUIO LibertadEsPueblo Lista9,2019-02-27
Carlos,Sevilla,SevilaCarlos,CiudadEquipo responsabilidad compromiso apoyar talento artista representa pais Respaldemos Dayanara Peralta Loor Festival Vina DayanaraSiSePuede Vina2019,2019-02-27
Carlos,Sevilla,SevilaCarlos,CiudadEquipo invito seguir vivo entrevista Radio Quito manana 07h00 Podran conocer propuestas ciudad SevillaAlcaldeUIO LibertadEsPueblo Lista9,2019-02-28
