nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Teddy Gustavo,Tama Aguirre,TamaApoyo,PaolaCabezasC CarlaMaldonadoP Conmigo quiere construir historia sucia solo respetable vida proba academica estan cuestionamientos Espinosa Ministro permitio tantas violaciones CIENTOS NINOS JusticeVeraEC AlecCardenas PedritoExtranja ramirogarciaf larepublica,2019-02-19
Teddy Gustavo,Tama Aguirre,TamaApoyo,PaolaCabezasC CarlaMaldonadoP fotos usted debe subir JAMAS olvidar JCTrujilloCPCCS AleCevallos simonespinosa28 DrRobertoLopez2 omarmaluk AnaMinga pichondedino verdaderos perseguidos ROBOLUCION olvidamos,2019-02-19
Teddy Gustavo,Tama Aguirre,TamaApoyo,PaolaCabezasC CarlaMaldonadoP foto despreciable repudiable verguenza usted gran AMIGO Espinosa bailando MashiRafael mientras violaban cientos ninos usted hizo silencio usted complice ProhibidoOlvidarCompanerita PedritoExtranja 4pelagatos4,2019-02-19
Teddy Gustavo,Tama Aguirre,TamaApoyo,PaolaCabezasC CarlaMaldonadoP evento academico hace anos junto lenhurtado usted asume falso mentira quiere deslegitimar participacion candidato sola mancha vida natasha rojas davidroserow CORREISTA verguenza olvide,2019-02-19
Teddy Gustavo,Tama Aguirre,TamaApoyo,estare conversatorio organizado Asamblea Ciudadana Ecuador AsambleaEcu RadioMorena640 junto ALANDMOLESTINAM JovitaFonFay companeros candidatos CPCCS TEDDY TAMA Elecciones2019EC,2019-02-19
Teddy Gustavo,Tama Aguirre,TamaApoyo,estare conversatorio organizado Asamblea Ciudadana Ecuador AsambleaEcu RadioMorena640 junto ALANDMOLESTINAM JovitaFonFay companeros candidatos CPCCS TEDDY TAMA Elecciones2019EC 4pelagatos4,2019-02-19
Teddy Gustavo,Tama Aguirre,TamaApoyo,angsrm7 ALBERTOACOSTAB justicia siempre sido ideal permitire siga destruyendo pais menos silenciando ciudadania quiero ciudadania escuchada pueda juzgar controlar cada gobernantes hacen,2019-02-19
Teddy Gustavo,Tama Aguirre,TamaApoyo,Gracias Asamblea Ciudadana Ecuador AsambleaEcu magnifico evento contar espacios poder exponer propuestas RadioMorena640 sigue transmision vivo carlosrojasecu DrRobertoLopez2 andreselopeze,2019-02-20
Teddy Gustavo,Tama Aguirre,TamaApoyo,Conversatorio ciudadania Radio Morena junto companeros candidatos CPCCS,2019-02-20
Teddy Gustavo,Tama Aguirre,TamaApoyo,Charla escuela formacion politica Manuel Carrion Pinzano seguimos compartiendo ensenando importancia ciudadania CPCCS elecciones2019 faustoyepez ALANDMOLESTINAM RodolfoBB54 danilotayopanta elchuro DrRobertoLopez2,2019-02-21
Teddy Gustavo,Tama Aguirre,TamaApoyo,Jueves viernes febrero invito conocer propuestas candidato Consejo Participacion Ciudadana Control Social CPCCS Agenda Actividades LOJA Ecuador CPCCS TeddyTama democracia elecciones2019 Loja Hora25Ec ifpoveda IvaOveja,2019-02-21
Teddy Gustavo,Tama Aguirre,TamaApoyo,Loja compartiendo radio Vida propuestas CPCCS Consejo Participacion Ciudadana Control Social JovitaFonFay JCTrujilloCPCCS HonoSantistevan higuerahernan pichondedino,2019-02-21
Teddy Gustavo,Tama Aguirre,TamaApoyo,Sintonicen Radio Satelital conocer propuestas CPCCS,2019-02-21
