nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Hernán Stalin,Ulloa Ordonez,HernanUlloa,HernanUlloa abogado gano respeto admiracion defender casos ninas urbanizacion dije familia amigos voten seguro Pedernales tendra varios votos,2019-02-19
Hernán Stalin,Ulloa Ordonez,HernanUlloa,dama rosas SuExcelencia Vota HernanUlloa excelente profesional calles Correismo nulo conveniente respeto decision ayudemos voto candidato conozco leal sera comunique anomalias,2019-02-19
Hernán Stalin,Ulloa Ordonez,HernanUlloa,momentos abogado HernanUlloa participa conversatorio candidatos Consejo Participacion Ciudadana Control Social CPCCS organizado Asamblea Ciudadana Ecuador auditorio RadioMorena640 centro Guayaquil,2019-02-20
Hernán Stalin,Ulloa Ordonez,HernanUlloa,HernanUlloa derechos cnegobec Estimado HernanUlloa Agradecemos aceptacion Candidatura Consejero CPCCS Anexo confirmacion constancia detalle Propuesta COMPROMISOS Pacto Etico Miguel Ernesto Santacruz Paredes Representante Legal CorporacionGES,2019-02-20
Hernán Stalin,Ulloa Ordonez,HernanUlloa,Informe actividades abogado HernanUlloa candidato Consejo Participacion Ciudadana Control Social CPCCS Elecciones7ConsejerosCPCCS24marzo2019 EleccionesCPCCS Elecciones2019EC,2019-02-20
Hernán Stalin,Ulloa Ordonez,HernanUlloa,HernanUlloa candidato CPCCS propone Promover Participacion Ciudadana hagan valer derechos Luchar corrupcion actuar parte procesal Conversatorio realizado Asamblea Ciudadana Ecuador auditorio RadioMorena640,2019-02-20
Hernán Stalin,Ulloa Ordonez,HernanUlloa,HernanUlloa candidato CPCCS propone Promover Participacion Ciudadana hagan valer derechos Luchar corrupcion actuar parte procesal Conversatorio realizado Asamblea Ciudadana Ecuador EleccionesCPCCS Elecciones2019EC,2019-02-20
Hernán Stalin,Ulloa Ordonez,HernanUlloa,Conversatorio lleva cabo momentos evento organizado Asamblea Ciudadana Ecuador sido cordialmente invitado HernanUlloa candidatos candidatas CPCCS EleccionesCPCCS,2019-02-20
Hernán Stalin,Ulloa Ordonez,HernanUlloa,Tuco entrevista radioi99 gracias ciudadania permitidme ingresar hogares propuestas CPCSS,2019-02-20
Hernán Stalin,Ulloa Ordonez,HernanUlloa,Estimados colegas feliz,2019-02-20
Hernán Stalin,Ulloa Ordonez,HernanUlloa,Estimados colegas feliz,2019-02-20
Hernán Stalin,Ulloa Ordonez,HernanUlloa,agradezco Fernando respaldo publico candidatura,2019-02-20
Hernán Stalin,Ulloa Ordonez,HernanUlloa,voto Consejo Participacion Ciudadana Control Social tambien sera Hernan Ulloa ciudadanos necesitamos gente probada luchadora accion hecho cosas importantes ciudadanos puro HernanUlloa,2019-02-20
Hernán Stalin,Ulloa Ordonez,HernanUlloa,DiaDelAbogado Colegas reciban cordial afectuoso saludo sigamos dignificando noble profesion amando hacemos luchando derecho justicia HernanUlloa,2019-02-20
