nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,"Buen dia a todos!! Hoy estoy en #Manabi, invitados todos a sintonizar los medios donde estare como invitada para hablar sobre el #CPCCS #SofiaAlmeida https://t.co/TuyNzRzuoH",2019-02-20
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,Los ciudadanos tienen el derecho de conocer mas sobre las funciones del #CPCCS y tambien de los candidatos para el Consejo de Participacion Ciudadana y Control Social. #SofiaAlmeida #SomosAnticorrupcion https://t.co/zZT8CiscWO,2019-02-20
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,#EcuadorALasUrnas | @SofiaAlmeidaEc es candidata para el @CPCCS. Conozcamos sus propuestas para esta institucion. https://t.co/xyjYJ9NRPh,2019-02-21
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,"#EcuadorALasUrnas | @SofiaAlmeidaEc: Las entidades deben ser independientes, Debemos revisar quienes son las autoridades y saber si son las personas indicadas para ocupar un puesto de tanta responsabilidad.",2019-02-21
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,#EcuadorALasUrnas | @SofiaAlmeidaEc: Debemos luchar contra la corrupcion desde la prevencion. Copiar aquellos ejemplos internacionales que son buenos.,2019-02-21
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,"#EcuadorALasUrnas | @SofiaAlmeidaEc: Yo creo que para la lucha contra la corrupcion debemos tener informacion. A traves de una plataforma informatica, como se lo hace en otros paises, se puede tener todo para que el ciudadano tenga informacion de lo que se esta haciendo.",2019-02-21
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,Gracias a los medios de comunicacion de la bella ciudad de #Ibarra Soy #SofiaAlmeida y tengo la experiencia necesaria para cambiar las falencias del sector publico y luchar contra la corrupcion. Juntos desde el #CPCCS #SomosAnticorrupcion https://t.co/H25FpS59tk,2019-02-21
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,"Empece a trabajar desde abajo, soy de tropa y por ello conozco como se manejan las entidades publicas y desde el #CPCCS voy a representar muy bien a los ciudadanos. #SofiaAlmeida #PrevenirYSancionar #SomosAnticorrupcion https://t.co/v5q35u3q03",2019-02-21
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,Buenos dias a todos!! Hoy estoy en #Tulcan y visitare varios medios de comunicacion que gentilmente nos han invitado para hablar sobre el #CPCCS https://t.co/sGUc3h6uMQ,2019-02-22
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,Recorriendo mi linda sierra ecuatoriana #SofiaAlmeida  #CPCCS https://t.co/Tv7HqlY8ZG,2019-02-23
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,@vandocilla @CPCCS @davidroserow @ChugchilanJaime Gracias por tu respaldo Vladimir.,2019-02-23
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,"Mi hermana Irene me acompano en mi recorrido por varias ciudades, soy 11 anos mayor a ella, cuando la veo recuerdo como era yo hace 11 anos, y todo lo vivido  ese tiempo, alegrias y tristezas, aciertos y errores. Ahi les va un resumen de lo mejor: graduacion de universidad y... https://t.co/vZZKppPDr4",2019-02-25
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,"Buenos dias, invitados todos a sintonizar las diferentes radios donde estare el dia de hoy como invitada. Hablare sobre el #CPCCS y mis propuestas. #SofiaAlmeida https://t.co/AC4TcB1vT7",2019-02-25
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,"Me pregunto quien es el asesor politico del Sr. @LassoGuillermo que le hace cometer tantos errores, o es que esta confabulado con el correismo?, promover el voto nulo es dejar que los candidatos impulsados por Correa se tomen el #CPCCS 

#SofiaAlmeida https://t.co/qn2IHizBNI",2019-02-25
