nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Patricio,Buendia,patobuendia23,"@yazminbustan @interagua @alcaldiagye @CynthiaViteri6 @jimmyjairala @fcojimenez21 @cedeno_marth @BalerioEstacio @jaimelomas74 @EduardoArgudoG @GinoCornejoM @Simon_BolivarEC Sencillamente hay que auditar el control de no solo del servicio sino de la calidad del agua. y de alcantarillado ni hablar, tenemos que analizar la continuidad del cobro de ese rubro, a la gente mas humilde deben exonerarlos de este pago de alcantarillado, es lo justo. Pbuendia",2019-02-25
Patricio,Buendia,patobuendia23,!Atentos! Manana en @RadioMorena640 https://t.co/uji3JlNbG2,2019-02-26
Patricio,Buendia,patobuendia23,Y seguire con el trabajo puerta a puerta para llevar mi propuesta a los Guayaquilenos. @eluniversocom https://t.co/qGvxjIcoxR,2019-02-26
Patricio,Buendia,patobuendia23,"Ahi estaremos, exponiendo nuestras propuestas para #Guayaquil",2019-02-28
Patricio,Buendia,patobuendia23,"Los espero este sabado 2 de Marzo a partir de las 16h00 en la Trinitaria para elegir a la Reina del Carnaval, los pondre a bailar cantando todos mis temas @Musicmarketint @radiomakro @pedritoortizjr @pmsuarezh @VIPMusicRecords @ricuesta @patobuendia23 https://t.co/HhP7QMpYZb",2019-03-01
Patricio,Buendia,patobuendia23,"#DecisionEnDemocracia | Hoy a las 22h00, conoceremos a los candidatos a la alcaldia de #Guayaquil: @EduardoArgudoG, @BermudezBronson, @patobuendia23, #CarlosCasanello, #JorgeCopiano, @GinoCornejoM, #ValerioEstacio y #JoseInca.  

 !Miranos en vivo por @EcuadorTV! https://t.co/JYTrlxm2lj",2019-03-12
Patricio,Buendia,patobuendia23,Y seguire con el trabajo puerta a puerta para llevar mi propuesta a los Guayaquilenos. @eluniversocom https://t.co/qGvxjIcoxR,2019-03-13
Patricio,Buendia,patobuendia23,#ENVIDEO Buendia plantea programa de prevencion de droga para jovenes guayaquilenos https://t.co/XgKv29P9by @patobuendia23 https://t.co/6aHmO1JQUn,2019-03-14
Patricio,Buendia,patobuendia23,Por un #GuayasComoNunca nuestro candidato a alcalde @patobuendia23 y varios candidatos a concejales de SUMA hemos decidido apoyar a @ceciliacalderec a la Prefectura del Guayas https://t.co/mBVl9BIZ8p,2019-03-15
Patricio,Buendia,patobuendia23,Campana de @patobuendia23 junto a @ceciliacalderec  https://t.co/oC5BEzRiyH,2019-03-18
Patricio,Buendia,patobuendia23,Recorriendo Pascuales junto a @patobuendia23 y la candidata a Prefecta @ceciliacalderec  https://t.co/rAXHLWnAEd,2019-03-18
Patricio,Buendia,patobuendia23,Celebramos el cumpleanos de Don Patricio Buendia padre de mi amigo @patobuendia23 lo hicimos bailar y matar al gusano  https://t.co/cnAUoFRc1F,2019-03-18
Patricio,Buendia,patobuendia23,"Senores Contraloria, ya se acabaron las elecciones y perdio su candidato protegido @jimmyjairala, es momento de mostrarle al Pais los mas de 30 informes ""archivados misteriosamente"" donde lo identifican como el responsable de multimillonarias glosas! @martharoldos @GuayasCna",2019-03-25
Patricio,Buendia,patobuendia23,#NuevaFotoDePerfil https://t.co/XAqE7AaqJR,2019-03-26
