nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,"Vengo de las organizaciones sociales y del Movimiento Indigena del Ecuador, no pertenezco a ninguna tendencia partidista. #Jipijapa #CafeRadio #TuParticipacionEsLaSolucion #JaimeChugchilanEsParticipacion https://t.co/UZj9w5jcWs",2019-02-19
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,"Vengo de las organizaciones sociales y del Movimiento Indigena del Ecuador, no pertenezco a ninguna tendencia partidista. #Jipijapa #CafeRadio #TuParticipacionEsLaSolucion #JaimeChugchilanEsParticipacion https://t.co/x8D5jguKRw",2019-02-19
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,Gracias a los periodistas @LimberChilanCh y #CesarDelgado de #CafeRadio en #Jipijapa por la entrevista de hoy. #TuParticipacionEsLaSolucion #JaimeChugchilanEsParticipacion https://t.co/QHipD5XNXs,2019-02-19
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,"En #RadioCaribe en #Manabi con el periodista, Franklin Castro, conversamos sobre las propuestas al #CPCCS. #TuparticipacionEsLaSolucion #JaimeChugchilanEsParticipacion https://t.co/yPOMhk6Fzt",2019-02-19
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,"Gracias a  Jefferson Calle por su recibimiento y  por invitarme al mercado en #Jipijaja a degustar  unos ricos bolones de chicharron, y socializar mis propuestas al #CPCCS #TuparticipacionEsLaSolucion #JaimeChugchilanEsParticipacion https://t.co/WKMziHKJ1H",2019-02-19
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,Fortalecimos la participacion ciudadana en el Conversatorio con los candidatos al #CPCCS en #Jipijaja. Gracias #Manabi por su acogida! https://t.co/r1iZpeNw92,2019-02-19
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,"Buen dia a todos!! Hoy estoy en #Manabi, invitados todos a sintonizar los medios donde estare como invitada para hablar sobre el #CPCCS #SofiaAlmeida https://t.co/TuyNzRzuoH",2019-02-20
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,"En #Manabi compartimos con los jovenes la importancia del #CPCCS, porque los jovenes viven la participacion #TuparticipacionEsLaSolucion #JaimeChugchilanEsParticipacion https://t.co/kQBpFvn0IJ",2019-02-20
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,"Vengo del Movimiento Indigena del Ecuador y de las organizaciones sociales, no pertenezco a ninguna tendencia partidista y represento a los ecuatorianos que quieren un pais mejor. @RadioMorena #Guayaquil #TuparticipacionEsLaSolucion #JaimeChugchilanEsParticipacion https://t.co/OYR7Zrn61I",2019-02-20
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,En #Guayaquil entrevista en @WQRadio_EC compartimos microfono con #FranklinMorenoQuezada y dialogamos sobre los retos y propuestas al #CPCCS #TuparticipacionEsLaSolucion #JaimeChugchilanEsParticipacion https://t.co/V7hH6Jxapm,2019-02-20
