nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,"Gracias a Carlos Figueroa, candidato al #CPCCS, por participar en la Tercera Emision de #PuntoNoticias. Regresamos manana, a las 17:00. Conduccion: Luis Davila Loor | CF @luisdavilaloor @carlosfigueroa6 https://t.co/XEXZoVfdc5",2019-02-19
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,"Criterio grafico del conocido y clasico caricaturista, ASDRUBAL. https://t.co/IrKQc4IVLA",2019-02-21
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,El gobierno nos mete la mano al bolsillo todos los dias; es un atraco tras otro. Ahora resulta que los puntos de cobro de empresas y entidades estatales nos cobra 0.60 dolares al igual que cualquier agencia bancaria.  Vean miserables !Basta de hacernos pagar el saqueo de AP-RC! https://t.co/ONv9jmwpUb,2019-02-22
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,"!Mas deuda! Al menos no es al 10/100 como con China. !Que consuelo! Mientras nos siguen metiendo la mano al bolsillo a todos los ecuatorianos creando tasas e impuestos todos los dias como las tasas a las transferencias bancarias y de servicios. !Los llamingos, ni cuenta! https://t.co/R3o73hrAQB",2019-02-22
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,"@VEEDUR1AFCorrea @davidroserow @HernanUlloa Yo recuerdo que cuando surgio la Comision Civica de Control de la Corrupcion presidida por Jorge Vivanco Mendieta, emanada desde los Movimientos Sociales, el Senor Larreategui era parte del gobierno de Mahuad.",2019-02-24
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,Lenin seria el funcionario del  gobierno d #Correa con mas alto cargo q nunca supo lo que sucedia...o uno mas d los q participan del atraco ?Algun comentario @juanseroldan ? No dudo que algunas personas honestas dentro del gobierno ya no saben que hacer con tanta corrupccion https://t.co/nU9rRswycY,2019-02-24
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,Ahora denunciar el robo se llama TENTATIVA DE DIFUSION DE INFORMACION DE CIRCULACION RESTRINGIDA. Pero la Fiscalia no llama a los implicados: hermano de Lenin Moreno e hijas. ?Hasta cuando esta justicia de pacotilla? https://t.co/FNeSCvk3gn,2019-02-25
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,"Hoy en Contraloria General del Estado he presentado un pedido de EXAMEN ESPECIAL a la Concesion del Puerto de Aguas Profundas de POSORJA debido al perjuicio economico, riesgo ambiental y posible peculado e ilegal contrato con DPW con grupo Nobis. https://t.co/CKJaZPS0EP",2019-02-27
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,"Por el unico que he decidido mi voto para el @CPCCS #Carlosfigueroa 

El unico de los candidatos que enfrento a la dictadura, no como oportunistas q hoy dicen luchar contra la corrupcion, donde estuvieron los ultimos 10 anos...??

cuenten... https://t.co/bpgmbUc7eT",2019-03-01
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,"Viernes 1 #JavierDiaz @panchidalbo pdte @AITE_Ecuador: Ajustes con FMI y el sector productivo; @carlosfigueroa6, candidato @CPCCS:Propuestas para 5to poder; @EliseoAzueroR, asambleista:Voto nulo en elecciones #ContactoDirecto con @LeninArtieda y @morasamanta a las 7 por @ecuavisa https://t.co/r1aZTt5OJy",2019-03-01
