nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Walter Javier,Gomez Ronquillo,wgomezr,Comparto con ustedes mi Agenda de actividades en Canar y Azuay de manana martes 19/02/19 #FelizLunes #FelizSemana #Ecuador #WalterGomezEsCPCCS #WalterGomezEsElPrimero https://t.co/UKjGnpwd77,2019-02-19
Walter Javier,Gomez Ronquillo,wgomezr,Asi o con manzanitas ? Desde el #CPCCS lograremos mejores dias para ellos https://t.co/KiYbjlxhr3,2019-02-19
Walter Javier,Gomez Ronquillo,wgomezr,"Entrevista en el Semanario @Heraldocanar ""Impulsare la conformacion d veedurias ciudadanas q evaluen y fiscalicen al Transitorio, a autoridades financieras caso GEA y paren las concesiones d empresas publicas"" #FelizMartes #Elecciones2019 #Elecciones2019EC #EleccionesCPCCS https://t.co/SVIgNe6SU9",2019-02-19
Walter Javier,Gomez Ronquillo,wgomezr,"Entrevista en Radio Genesis en Azogues prov del Canar ""Mi plan de trabajo p el #CPCCS ha sido hecho en base a las necesidades de la ciudadania"" #FelizMartes #Elecciones2019EC #EleccionesCPCCS #WalterGomezEsCPCCS #WalterGomezEsElPrimero #Ecuador https://t.co/61QBjNJPLc",2019-02-19
Walter Javier,Gomez Ronquillo,wgomezr,"Entrevistado x Martha Calle de @OndasCanaris ""La evaluacion al #CPCCS T sera dado x la ciudadania y ellos nos indicaran los pasos a seguir a partir de mayo del 2019"" #FelizMartes #Elecciones2019EC #EleccionesCPCCS #WalterGomezEsCPCCS #WalterGomezEsElPrimero https://t.co/jeXRGDhMYq",2019-02-19
Walter Javier,Gomez Ronquillo,wgomezr,"Entrevistado x el @mercurioec en la ciudad de Cuenca prov del Azuay ""Por pugnas los vocales del CNE electos x Trujillo no dan la seguridad de Transparencia en los comicios del 24M, x dignidad deben renunciar"" #FelizMartes  #Elecciones2019EC #EleccionesCPCCS #WalterGomezEsCPCCS https://t.co/Wu0XIu45ev",2019-02-19
Walter Javier,Gomez Ronquillo,wgomezr,"En el Cafe del Parque en Cuenca prov del Azuay, Recomendado lindo lugar #FelizMartes https://t.co/yIpf5Sq0fS",2019-02-19
Walter Javier,Gomez Ronquillo,wgomezr,Lideres organizacionales urbanos y rurales de la prov del Azuay apoyando a mi candidatura ESTAMOS AVANZANDO #FelizMartes #Elecciones2019EC #EleccionesCPCCS #CPCCS #WalterGomezEsCPCCS #WalterGomezEsElPrimero https://t.co/88vT59PwL2,2019-02-20
Walter Javier,Gomez Ronquillo,wgomezr,@kolectiVOZ @davalos2019 Felicitaciones Juan Xavier,2019-02-20
Walter Javier,Gomez Ronquillo,wgomezr,@TEAFundacion @torresaereo @alcaldiagye @CynthiaViteri6 @JosueSanchezEc Hay gente que solo critican y quieren que los que amamos a los animales hagamos el trabajo de los municipios y cuando lo exponemos creen que es x reditos politicos Asi de simplistas son sus mentes,2019-02-20
