nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Aland Javier,Molestina Malta,ALANDMOLESTINAM,"EN VIVO estamos desde radio @visionquito con Diego Oquendo, compartiendo panel con Karina Ponce.
Tema: *Preguntas urgentes a los candidatos al #CPCCS*
https://t.co/4ynOHsQsU5

#ConcertacionCivicaNacional #AlandMolestinaConsejero https://t.co/DLafj31FBb",2019-02-19
Aland Javier,Molestina Malta,ALANDMOLESTINAM,"Para el #CPCCS, debemos votar por candidatos que esten alejados de todo compromiso politico para garantizar la independencia y transparencia en el combate a la corrupcion"". Hoy desde Radio Canela en la ciudad de Quito. #AlandMolestinaConsejero #BolsillosHonestos https://t.co/IlBpF3XiAn",2019-02-19
Aland Javier,Molestina Malta,ALANDMOLESTINAM,"Continuamos con agenda programada en la region interandina, cumpliendo con nuestra responsabilidad de ecuatorianos. !Vamos todos a salvaguardar la participacion ciudadana este 24 de marzo con honestidad y transparencia! #AlandMolestinaConsejero #CPCCS #BolsillosHonestos https://t.co/ywzVMaesqK",2019-02-19
Aland Javier,Molestina Malta,ALANDMOLESTINAM,"El Consejo de Participacion Ciudadana y Control Social Transitorio, en cuanto al combate a la corrupcion le queda debiendo al pais. Le correspondera entonces al #CPCCS definitivo asumir este reto.
Hoy en Informativo Prisma, televisora de la ciudad de Ibarra. #Elecciones2019EC https://t.co/T7hgQ5KRcB",2019-02-20
Aland Javier,Molestina Malta,ALANDMOLESTINAM,"Vientos de fraude electoral soplan en Ecuador para eleccion  de Consejeros #CPCCS. Existe la decision arbitraria del CNE de escrutar al final los votos para esa dignidad... 1/2

Desde Radio Caracol-Ambato.  #AlandMolestinaConsejero #BolsillosHonestos https://t.co/t72GjANnCG",2019-02-21
Aland Javier,Molestina Malta,ALANDMOLESTINAM,"""... cuando por Ley debe hacerse primero porque se trata de eleccion Nacional.

No olvidemos que tampoco poseemos una infraestructura que nos permita el Control Electoral"". 2/2
 
Hoy en Radio Caracol de Ambato. #CPCCS 
#AlandMolestinaConsejero #Elecciones2019EC https://t.co/5Hsy5WXiSG",2019-02-21
Aland Javier,Molestina Malta,ALANDMOLESTINAM,"Disfrutando de la musica y alegria de los ambatenos, mantuvimos entrevista en el parque ""Montalvo"" de esta hermosa ciudad, Ambato, con UNIMAX TV. 
#AlandMolestinaConsejero #CPCCS #BolsillosHonestos https://t.co/lA2xHLUyQg",2019-02-21
Aland Javier,Molestina Malta,ALANDMOLESTINAM,"Cumpliendo con mi responsabilidad historica de promover participacion ciudadana y dar a conocer *Plan de Trabajo*, he recorrido provincias de Pichincha, Imbabura,Tungurahua,Bolivar, Loja, Cotopaxi, El Oro y Esmeraldas. Seguire recorriendo el pais con mas fuerza y energia. #CPCCS https://t.co/Kl6TEPdY83",2019-02-21
Aland Javier,Molestina Malta,ALANDMOLESTINAM,"Asi como hay letreros en todas las instituciones publicas indicando norma que sanciona a ciudadanos que falten respeto al funcionario publico, debe haber otros que senalen *cuales son sus derechos, a fin de que pueda ejercerlos con libertad"".

Diario Regional Los Andes-Riobamba. https://t.co/8qnExpZWCH",2019-02-22
Aland Javier,Molestina Malta,ALANDMOLESTINAM,"Condeno la falta de responsabilidad de quienes dicen que hay que anular el voto para el #CPCCS, porque no saben o quieren ignorar que el CPCCS, sera el organismo que lidere la lucha contra la corrupcion con firmeza y honestidad...1/2  #AlandMolestinaConsejero 
#BolsillosHonestos https://t.co/xBsdQEQKTK",2019-02-22
Aland Javier,Molestina Malta,ALANDMOLESTINAM,"""... no como los Consejeros del Gobierno del nefasto, que fueron puestos a ""dedo"". Pido a los ciudadanos que confien en mis propuestas y me den la oportunidad de seguir sirviendo al pais"". 2/2 Radio Sol 96.5FM Riobamba. 

#CPCCS #AlandMolestinaConsejero 
#BolsillosHonestos https://t.co/3bHzv9nq2n",2019-02-22
Aland Javier,Molestina Malta,ALANDMOLESTINAM,"| A LOS ECUATORIANOS |
Mi participacion como candidato al #CPCCS, obedece a un claro compromiso con mi pais, *que necesita un bano de honestidad* luego de haber padecido un largo periodo de corrupcion liderado por el expresidente de la republica. #ConcertacionCivicaNacional https://t.co/0vey6nyASM",2019-02-22
Aland Javier,Molestina Malta,ALANDMOLESTINAM,"La responsabilidad por encontrar mejores dias para el pais, nos convoca a trabajar sin tregua ni descanso. Agradezco valiosos aportes. #Elecciones2019EC #BolsillosHonestos
#CPCCS https://t.co/8nRWIXbUFL",2019-02-25
Aland Javier,Molestina Malta,ALANDMOLESTINAM,"Mi independencia de toda linea partidista, me da el sustento moral para rechazar de falsos lideres politicos y de otras voces, la peticion de voto nulo para el @CPCCS.

Desde Manabi, tierra hermosa, con el apoyo de hombres y mujeres bravios y con pundonor, sigo firme al #CPCCS. https://t.co/ektkQ1MsE0",2019-02-25
Aland Javier,Molestina Malta,ALANDMOLESTINAM,"Los Medios de Comunicacion juegan un papel importante para orientar a la ciudadania sobre la Participacion Ciudadana, asi como su derecho a elegir a sus representantes el proximo 24 de marzo... 1/2

Hoy en medios de comunicacion, provincia de Manabi  camino firme al #CPCCS. https://t.co/R6nTatSYc8",2019-02-26
Aland Javier,Molestina Malta,ALANDMOLESTINAM,"""... Sin embargo advierto al pais, que hay confabulacion de grupos politicos de poder, para echar al traste la eleccion del #CPCCS, cuando de manera  irresponsable llaman a anular el voto. 2/2
Desde Manabi  voy camino firme al @CPCCS
#BolsillosHonestos #AlandMolestinaConsejero https://t.co/ndCJAKFUT1",2019-02-26
Aland Javier,Molestina Malta,ALANDMOLESTINAM,"Tome el desafio de participar para el #CPCCS, porque es la hora de que gente honesta asuma un compromiso con el pais. Quienes me conocen saben que actuare con transparencia e independencia.

Camino firme, desde Manabi, al @CPCCS. #BolsillosHonestos 
#AlandMolestinaConsejero https://t.co/j8ihrGSi05",2019-02-27
Aland Javier,Molestina Malta,ALANDMOLESTINAM,"El Ecuador sera un pais honesto, !con oportunidades!donde los jovenes, !tengan una voz!
Disfrutemos de un feriado de carnaval, con alegria, cuidado, y la esperanza de mejores dias para la patria

Camino firme al #CPCCS #BolsillosHonestos 
#AlandMolestinaConsejero https://t.co/8l27yx5WIF",2019-03-02
Aland Javier,Molestina Malta,ALANDMOLESTINAM,"Los balzarenos son un ejemplo de pueblo pujante que el 24 de marzo votara por la Participacion Ciudadana.

#BolsillosHonestos #CPCCS #AlandMolestinaConsejero https://t.co/Y9XwBt3w4M",2019-03-03
Aland Javier,Molestina Malta,ALANDMOLESTINAM,"Los mismos que hoy plantean que se anule el voto y se elimine el #CPCCS, por que no tienen esa misma valentia para pedir que se elimine a la Asamblea Nacional... #Elecciones2019EC #AlandMolestinaConsejero https://t.co/D2Eihf4rM1",2019-03-03
