nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
James Byron,Montenegro Ordonez,JamesMcpccs,"@ceomespecuador @CorporacionGES @ONU_derechos @CPCCS @SofiaAlmeidaEc @jobafonfay2019 @monka78 @HernanUlloa @FranklinMorenoQ @davidroserow @ALANDMOLESTINAM @ChugchilanJaime Soy #JamesMontenegro Candidato al #CPCCS pongo en su conocimiento mi plan de trabajo, experiencia profesional y perfil profesional y tambien me uno a firmar. #LosPrincipiosyValoresNoSeNegocian https://t.co/sadZKxr2ak",2019-02-20
James Byron,Montenegro Ordonez,JamesMcpccs,@1029fmDistrito Soy #JamesMotenegro candidato al #CPCCS #Elecciones2019EC me gustaria compartir con ustedes y su exclusiva audiencia mi propuesta. https://t.co/PA6aZv73x8,2019-02-20
James Byron,Montenegro Ordonez,JamesMcpccs,Conoce mis propuestas para llegar al #CPCCS en radio @forever925 con @LuisaMaHeredia https://t.co/L8XglzYaE1,2019-02-22
James Byron,Montenegro Ordonez,JamesMcpccs,Conoce mis propuestas para llegar al #CPCCS en radio @forever925 con @LuisaMaHeredia https://t.co/L8XglzYaE1,2019-02-22
James Byron,Montenegro Ordonez,JamesMcpccs,"#FelizDomingo 
Hoy estare en radio .@forever925 92.5 FM. Acompaname a las 11h00 en el programa #AFondo.
#JamesMontenegro https://t.co/Tx36nzkLa3",2019-02-24
James Byron,Montenegro Ordonez,JamesMcpccs,"#FelizDomingo 
Hoy estare en radio .@forever925 92.5 FM. Acompaname a las 11h00 en el programa #AFondo.
#JamesMontenegro https://t.co/Tx36nzkLa3",2019-02-24
James Byron,Montenegro Ordonez,JamesMcpccs,"Mi propuesta esta compuesta por 3 ejes: 
1. designacion de autoridades, 
2. fortalecer la participacion ciudadana y 
3. Generar politica publica de lucha contra la corrupcion.
En @forever925 con @LuisaMaHeredia 
#JamesMontenegro https://t.co/pBcbF12th6",2019-02-24
James Byron,Montenegro Ordonez,JamesMcpccs,"En radio @forever925 con @LuisaMaHeredia.
Vamos a proponer una reforma a la Ley de Participacion Ciudadana, que le permita al Consejo a demas de designar, evaluar, ratificar y destituir a estas autoridades. 
#JamesMontenegro https://t.co/yQig7lGsmQ",2019-02-24
James Byron,Montenegro Ordonez,JamesMcpccs,"Generacion y fortalecimiento de principios y valores, trabajando con ninos, ninas y jovenes, con el objetivo de fortalecer sus capacidades y sean las futuras autoridades del Estado.
En @forever925 con @LuisaMaHeredia 
#JamesMontenegro https://t.co/JieV9Aukpu",2019-02-24
James Byron,Montenegro Ordonez,JamesMcpccs,"Fortalecer la lucha contra la corrupcion, con un modelo de triple helice, con el poder Ejecutivo, la Funcion Judicial y la Funcion de Transparencia y Control Social.
En @forever925 con @LuisaMaHeredia 
#JamesMontenegro https://t.co/78sNP9VjCj",2019-02-24
James Byron,Montenegro Ordonez,JamesMcpccs,"El candidato al @CPCCS @JamesMcpccs, explico sus propuestas de campana. #AFondo @forever925 https://t.co/olwMflTrxK",2019-02-24
James Byron,Montenegro Ordonez,JamesMcpccs,"Este 24 de marzo de 2019, encuentrame en la papeleta de Hombres, en el casillero No 18, candidato al @CPCCS @forever925 
#JamesMontenegro, https://t.co/teN4ImyZki",2019-02-24
James Byron,Montenegro Ordonez,JamesMcpccs,#JamesMontenegro https://t.co/ml6MqI1ITV,2019-02-25
James Byron,Montenegro Ordonez,JamesMcpccs,"Mi candidatura no responde a ningun partido o movimiento politico, no me debo a ningun gobierno soy #JamesMotenegro ciudadano Ecuatoriano independiente y pido tu apoyo para que desde el #CPCCS juntos luchemos contra la corrupcion! #Elecciones2019EC https://t.co/jeLmiVoldd",2019-02-27
James Byron,Montenegro Ordonez,JamesMcpccs,"[VIDEO]  
Gracias a @elcomerciocom por la entrevista.
Soy #JamesMontenegro y esta es mi propuesta  https://t.co/N1Cj2KMhcc",2019-03-01
James Byron,Montenegro Ordonez,JamesMcpccs,"Ampoyo incondicional amigo 
#JamesMontenegro #Elecciones2019EC #LosPrincipiosyValoredNoSeNegocian #CNE https://t.co/pP26O2CHJg",2019-03-01
James Byron,Montenegro Ordonez,JamesMcpccs,"Un buen lider cambia el mundo 
#Ecuador #JamesMontenegro #Elecciones2019EC #LuchaContraLaCorrupcion #LosPrincipiosyValoresNoSeNegocian #CNE https://t.co/uQLweCWOf8",2019-03-01
