nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,"#Mujeresconderechos
#JusticiaDignidadyTransparencia
#CPCCs https://t.co/MAt0FLVZCs",2019-02-21
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,"#Cpccs
#MarleneMontesinos
#Casillero9
#Elecciones2019EC https://t.co/6k8gRpOlvO",2019-03-06
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,"Hacer de la participacion ciudadana una herramienta real para hacer de nuestra sociedad un territorio de democracia efectiva.  #Cpccs
#MarleneMontesinos
#Casillero9
#Elecciones2019EC https://t.co/tNmbodr92C",2019-03-07
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,"Yo soy #MarleneMontesinos y mi compromiso es con la ciudadania te invito hacer parte de esta transformacion y recuperacion de la institucionalidad este 24 de marzo 
#Casillero9
#Elecciones2019EC https://t.co/h36O91mgxE",2019-03-07
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,"#MujeresConDerechos Hacemos de nuestras actorias una de referencia de etica, coherencia y transparencia gracias a quienes dan su voto de confianza. #MarleneMontesinos 
#Casillero9
#Elecciones2019EC https://t.co/DZeeyfh0hL",2019-03-07
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,"#MujeresConDerechos Hacemos de cada lugar del mundo un espacio de rebeldia, una oportunidad para hacer un mundo mejor desde la lucha constante. Este #8M no queremos felicitaciones lo que queremos es justicia, equidad y respeto. #MarleneMontesinos #CPCCS https://t.co/dNAwwtrRnR",2019-03-08
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,Hoy #8M  participe junto a mujeres diversas gracias a la cordial invitacion de #EmpoderateMujer en el marco del Dia Internacional de las Mujeres. #MujeresConDerechos es una agenda politica clara para generar mas participacion e inclusion. https://t.co/UOqV951wIk,2019-03-08
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,La fortaleza de nosotras siempre es y sera la empatia con las necesidades de las personas. Hace dias  visitamos #Manabi  en una mision de ayudar. Los valores son una practica #Solidaridad https://t.co/RucdVM7Ll9,2019-03-08
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,"Mi #8M  en #Quito un espacio de conmemoracion y de compartir con organizaciones y mujeres diversas gracias al  CONSEJO CONSULTIVO DE MOVILIDAD HUMANA.#Casillero9 #MarleneMontesinos
#CPCCS https://t.co/9woFFxlYS1",2019-03-10
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,#Manabi #Solidaridad Ayuda humanitaria en la ciudad de #Manta en el barrio santa Cecilia 4 familias damnificadas entrega kit ayuda humanitaria. #MarleneMontesinos https://t.co/0eDEjQXipS,2019-03-10
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,"#Manta Por inundaciones de la torrencial lluvia del dia de ayer y hoy en la madrugada, nos movilizamos junto a mi equipo de trabajo para apoyar a familias afectadas. La solidaridad nos moviliza. #MarleneMontesinos https://t.co/QeIF1h7Apq",2019-03-10
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,"#Manta fuerte torrencial que azoto #Manabi
Nos movilizo con ayuda humanitaria en el barrio Santa Cecilia. Nuestra solidaridad y coherencia con las y los mas necesitados es nuestra referencia. #MarleneMontesinos #CPCCS https://t.co/zRgPVH1AGK",2019-03-10
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,"Mantuvimos reunion con los Servidores  Judiciales Cristianos de Guayaquil, junto con nosotros estuvo la Jueza Esplendida Navarrete quien es la actual Directora de los Judiciales Cristianos. Honrada por la invitacion. #MarleneMontesinos #CPCCS #Casillero9 https://t.co/3Y5m8TWSb2",2019-03-10
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,"#Guayaquil en La Isla Trinitaria  por la invitacion de la  Asociacion Afroecuatorianos donde dialogue junto a lideres comunitarios sobre la importancia de  la participacion activa de las diversas organizaciones, logros y desafios. #MarleneMontesinos #CPCCS #Casillero9 https://t.co/kUkVRvwgi7",2019-03-10
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,"Las voces de respaldo aumentan, el abogado Jose Alava Avila Presidente de #FANAD ( Federacion Nacional de Apoyo a la Democracia ) recordando que #MarleneMontesinos rumbo al #CPCCS #Casillero9 #MujeresConDerechos @tctelevision @ecuavisa https://t.co/2iDUiUkIlu",2019-03-11
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,"El servicio y la solidaridad son mis cartas de presentacion, valores que desde la familia a la comunidad deben ser fortalecidos. En #Manta en el Barrio Villamarina  compartimos desde la practica el discurso con el projimo. #MarleneMontesinos #CPCCS #Casillero9 https://t.co/nslIDaFsA7",2019-03-11
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,Aun no sabes como encontrarme? En la papeleta de #Mujeres #Casillero9 #MarleneMontesinos por la garantia de hacer posible de forma real los mecanismos de participacion ciudadana. #CPCCS #ConVozCiudadana https://t.co/hU1fkuJ8UU,2019-03-12
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,#Rumbo al #CPCCS manana estaremos en  @EcuavisaInforma @mariuximosquera. Haciendo voz de las propuestas que nos llevaran hacer un periodo ciudadano. #MarleneMontesinos #Casillero9 https://t.co/b5wtG4oLUL,2019-03-14
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,"Jueves 14 @PatricioAlarco2, pdte @CeEcuatoriano: Acuerdo con #FMI, creacion empleo; @HenryKronfle: Acuerdo con #FMI, autorizacion asamblea; @MarleMontesinos, candidata @CPCCS: Propuestas para 5to poder... #ContactoDirecto con #APinoargote y @ESTEFANIESPIN a las 7 por @ecuavisa https://t.co/acStfeWSr8",2019-03-14
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,"""La empatia no se expresa con valores sino con palabras"". #MarleneMontesinos #CPCCS #Casillero9 #MujeresConDerechos https://t.co/RXBXHP1qN6",2019-03-14
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,"#MujeresConDerechos ""ser mujer me hace ser responsable de fomentar la equidad en todas las circunstancias"" #MarleneMontesinos #CPCCS #Casillero9 https://t.co/azPqBN1BCu",2019-03-14
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,"#MujeresConDerechos ""fomentar la transparencia y la lucha contra la corrupcion es mi forma de ser grata con la ciudadania"" #MarleneMontesinos #CPCCS #Casillero9 https://t.co/YXBS6hq4QE",2019-03-14
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,"#MujeresConDerechos ""yo no estaria aqui si no es por la lucha de todas las mujeres que han antecedido"" #MarleneMontesinos #CPCCS #Casillero9 un voto de confianza. https://t.co/HIikvTjDZk",2019-03-14
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,"#MujeresConDerechos ""las voces emergentes de los distintos mecanismos de participacion merecen mas respeto que una voz oficial, somos una construccion comun y ciudadana"" #MarleneMontesinos #CPCCS #Casillero9 https://t.co/cW7ps1x2f3",2019-03-14
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,"#MujeresConDerechos ""La participacion ciudadana no es un privilegio de unos cuantos es un derecho constituido que tiene toda la ciudadania"" #MarleneMontesinos #CPCCS #Casillero9 https://t.co/rNw6qF64Kh",2019-03-14
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,"#ENVIDEO @MarleMontesinos, candidata al Cpccs, dara prioridad a la fiscalizacion  https://t.co/uzHjRWwmkT https://t.co/atJ0mdyG46",2019-03-14
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,"#ENVIDEO @MarleMontesinos, candidata al Cpccs, dara prioridad a la fiscalizacion https://t.co/ioUTVnuIS6 https://t.co/uzHjRWwmkT",2019-03-15
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,#CiudadanosConVoz que la democracia sea siempre nuestra ruta de participacion efectiva. Tenemos la oportunidad de transformar  el #CPCCS soy #MarleneMontesinos #Casillero9 somos parte del cambio real. https://t.co/MdnH17TPWt,2019-03-16
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,"#CiudadanosConVoz  Cada territorio del Ecuador podra ejercer los mecanismos de participacion, control social y las herramientas de participacion sin persecucion y bajo sigilo de la informacion receptada. Soy tu opcion #MarleneMontesinos #Casillero9 #CPCCS https://t.co/oz926AcKqI",2019-03-18
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,@MarleMontesinos concientizando la realidad de los migrantes. #MarleneMontesinos candidata al #CPCCS https://t.co/1bgojfjdvX,2019-03-19
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,"Compartimos con nuestros amigos de Radio Via 1160Am, de la ciudad de Machala #MarleneMontesinos candidata al #CPCCS #Elecciones2019 https://t.co/5q2itTBYok",2019-03-19
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,Un agradecimiento a Radio Machala  por permitirnos dar a conocer nuestras propuestas. Juntos lograremos un mejor #Ecuador #MarleneMontesinos candidata al #CPCCS #Elecciones2019 https://t.co/98PBuRu6gM,2019-03-19
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,"Nuestra lucha incansable por la reivindicacion de los derechos de las mujeres seguira siendo una prioridad #RadioUtmach.
#MarleneMontesinos candidata al #CPCCS #Elecciones2019 https://t.co/cVa6wQs2rs",2019-03-19
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,"Investigar y fiscalizar las instrucciones publicas del pais, es una de nuestras principales propuesta. Plan de trabajo de #MarleneMontesinos candidata al #CPCCS #Elecciones2019 https://t.co/BaHophEYW9",2019-03-19
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,"Continuamos difundiendo nuestra propuesta de trabajo, esta vez, desde tan bella provincia, #ElOro capital Bananera del mundo. Entrevista con Diario Correo. https://t.co/UnIJfMB8y4",2019-03-19
