nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Carlos Gonzalo,Mosquera Benalcazar,MosqueraCarlosB,"#PostDrCarlosMosquera
PECULADO.

#CarlosMosquera al #CPCCS YO VOTO  POR #UnMedicoHonrado! RT https://t.co/GrCNqJqHjK",2019-02-19
Carlos Gonzalo,Mosquera Benalcazar,MosqueraCarlosB,"#PostDrCarlosMosquera
VACACIONES.

#CarlosMosquera al #CPCCS YO VOTO  POR #UnMedicoHonrado! RT https://t.co/jl5r9VAa8L",2019-02-19
Carlos Gonzalo,Mosquera Benalcazar,MosqueraCarlosB,@cero_mata https://t.co/tyaOz3iDz5,2019-02-19
Carlos Gonzalo,Mosquera Benalcazar,MosqueraCarlosB,"Este 24 de Marzo, tenemos un Compromiso con la patria
!Basta de politicos! Necesitamos UNA persona Valiosa y Honorable a representarnos en el CPCCS! CARLOS MOSQUERA es Cirugia Mayor a los Corruptos Vota Puesto #5 en la Paleta de Hombres. YO VOTO  POR #UnMedicoHonrado RT https://t.co/FO4ralmP1w",2019-02-19
Carlos Gonzalo,Mosquera Benalcazar,MosqueraCarlosB,"?Quieres conocer mas de nuestro Candidato al Consejo de Participacion Ciudadana y Control Social Dr. @MosqueraCarlosB?
Tendras Noticias de primera mano haciendo frente a la #corrupcion en el ecuador, mantente informado de la pluma de este servidor!
!COMPARTE! RT. https://t.co/O93aV0cRjz",2019-02-19
Carlos Gonzalo,Mosquera Benalcazar,MosqueraCarlosB,"> Con los Jubilados.
> Con el Pueblo.
> Con los mas desposeidos.
> Con los Jovenes.
Todos haremos este 24 de marzo la diferencia! 
A defender nuestro Voto, con civismo y patriotismo. 
!Soy Carlos Mosquera!
NO a los politicos y SI a un  Medico Servidor de su Patria! https://t.co/2yMl7Dutzw",2019-02-19
Carlos Gonzalo,Mosquera Benalcazar,MosqueraCarlosB,"Conoce de cerca las actividades de nuestro Candidato al @CPCCS @MosqueraCarlosB . Siguelo en su #Instagram y enterate del potencial de este servidor que sin ninguna duda llevara al Pais por las riendas de la justicia! 
Siguelo en este link:  https://t.co/w1N1oyvLGD
Raya puesto #5 https://t.co/R6jDNxiUk3",2019-02-20
Carlos Gonzalo,Mosquera Benalcazar,MosqueraCarlosB,"ALERTA
Hay quienes estan promoviendo el Voto NULO.
Acaso no se dan cuenta que es alargar el tema a otras Elecciones? Y mas gasto de nuestros bolsillos para otra Campana a nivel nacional?.
El pais no esta para gastar mas plata en campanas.
COMPARTE! RT. https://t.co/f3ZNaYpj2N",2019-02-20
Carlos Gonzalo,Mosquera Benalcazar,MosqueraCarlosB,"#PostDrCarlosMosquera
ELIMINATORIAS.

#CarlosMosquera al #CPCCS YO VOTO  POR #UnMedicoHonrado! https://t.co/ysXpErq9om",2019-02-20
Carlos Gonzalo,Mosquera Benalcazar,MosqueraCarlosB,"#PostDrCarlosMosquera
ULTIMO CHANCE.

#CarlosMosquera al #CPCCS YO VOTO  POR #UnMedicoHonrado! https://t.co/hepCTeRupb",2019-02-21
