nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Hernán Stalin,Ulloa Ordonez,HernanUlloa,"@HernanUlloa abogado se gano mi respeto y admiracion al defender casos como el de las ninas de la urbanizacion, es por eso que le dije a mi familia y amigos que voten por Ud tenga por seguro que aca en #Pedernales tendra varios votos",2019-02-19
Hernán Stalin,Ulloa Ordonez,HernanUlloa,"@dama_rosas @_SuExcelencia Vota por @HernanUlloa excelente profesional, el estuvo en las calles en contra del Correismo, nulo no es muy conveniente respeto tu decision pero ayudemos esta vez con un voto a este candidato, lo conozco es leal y sera quien comunique anomalias",2019-02-19
Hernán Stalin,Ulloa Ordonez,HernanUlloa,"En estos momentos, el abogado @HernanUlloa participa de un conversatorio con los candidatos al Consejo de Participacion Ciudadana y Control Social @CPCCS organizado por la Asamblea Ciudadana Ecuador (ACE) en el auditorio de @RadioMorena640 en el centro de  Guayaquil https://t.co/fe0bK0PIhi",2019-02-20
Hernán Stalin,Ulloa Ordonez,HernanUlloa,"@HernanUlloa @ONU_derechos 
@cnegobec 

Estimado @HernanUlloa

Agradecemos su aceptacion  como Candidatura a Consejero @CPCCS.

Anexo  
confirmacion  constancia con detalle  Propuesta con 4 COMPROMISOS de Pacto Etico.

Miguel Ernesto Santacruz Paredes
Representante Legal
@CorporacionGES https://t.co/XiVDhxQTSs",2019-02-20
Hernán Stalin,Ulloa Ordonez,HernanUlloa,"Informe de mis actividades del abogado @HernanUlloa como candidato al Consejo de Participacion Ciudadana y Control Social @CPCCS 
#Elecciones7ConsejerosCPCCS24marzo2019
#EleccionesCPCCS
#Elecciones2019EC https://t.co/VtJ6HcOWk1",2019-02-20
Hernán Stalin,Ulloa Ordonez,HernanUlloa,"@HernanUlloa candidato al @CPCCS propone:

1.- Promover la Participacion Ciudadana para que hagan valer sus derechos y

2.- Luchar contra la #corrupcion al actuar como parte procesal

Durante #Conversatorio realizado por la Asamblea Ciudadana Ecuador en auditorio @RadioMorena640 https://t.co/VwLLj69x1B",2019-02-20
Hernán Stalin,Ulloa Ordonez,HernanUlloa,"@HernanUlloa candidato al @CPCCS propone:

1. Promover la Participacion Ciudadana para que hagan valer sus derechos

2. Luchar contra la #corrupcion al actuar como parte procesal

Durante #Conversatorio realizado por Asamblea Ciudadana Ecuador #EleccionesCPCCS 
#Elecciones2019EC https://t.co/zxg6YkckVO",2019-02-20
Hernán Stalin,Ulloa Ordonez,HernanUlloa,"#Conversatorio |  Se lleva a cabo, en estos momentos, el evento organizado por la Asamblea Ciudadana Ecuador donde ha sido cordialmente invitado @HernanUlloa y otros candidatos y candidatas al @CPCCS.
#EleccionesCPCCS https://t.co/WZdHGbH5GM",2019-02-20
Hernán Stalin,Ulloa Ordonez,HernanUlloa,"Tuco de entrevista en @radioi99 
Mil gracias ciudadania  por permitidme ingresar a vuestros hogares con mis propuestas al @CPCSS  https://t.co/RWwy0sOF0b",2019-02-20
Hernán Stalin,Ulloa Ordonez,HernanUlloa,"Estimados colegas, feliz dia
 https://t.co/FWCVL2ALDr",2019-02-20
