nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Jorge,Yunda,LoroHomero,"Disfrutamos una linda noche en Barrio #ElConde4, gracias por ese recibimiento tan emotivo y por permitirnos compartir el plan de trabajo de @LoroHomero futuro Alcalde de #Quito #VotaTodo19 #QuitoGrandeOtraVez https://t.co/Se3DBLaaQu",2019-02-17
Jorge,Yunda,LoroHomero,Gran recibimiento en ALANGASI El TINGO a futuros concejales rurales de las Listas 19. Jorge Yunda ALCALDE DE QUITO. @LoroHomero @PanasJorgeYunda @jorenpanyun3 @renebedon @santiguarderas @joseph_maurici @TVCLaComunidad @BolivarArmijos @MauricioRodasEC @luisfer593 @stalindo1977 https://t.co/6hOMm70kcH,2019-02-18
Jorge,Yunda,LoroHomero,@Animal_Viral @LoroHomero El mimado de mi novia  https://t.co/P2aiuxb87Z,2019-02-18
Jorge,Yunda,LoroHomero,HENRY NO DESCANSA.  EN EL 2019 TODO 19.  ALANGASI. Dr. JORGE YUNDA ALCALDE DE QUITO @LoroHomero @santiguarderas @PanasJorgeYunda @jorenpanyun3 @joseph_maurici @RpcJorge @luisfer593 https://t.co/sPgBrdyXff,2019-02-18
Jorge,Yunda,LoroHomero,"#FelizMartes
Miles de personas cantando esta cancion de letra de @LoroHomero
Un artista de alcalde  apoyando a nuestros jovenes para que en sus tardes hagan deportes, danza, musica, teatro!
#QuitoGrandeOtraVez 
@LilianaYunda @santiguarderas @PatricioUbidiaB https://t.co/SZHrXWMyyT",2019-02-19
Jorge,Yunda,LoroHomero,"Terminamos nuestro recorrido por el mercado ""las cuadras"", Sur de nuestro querido #Quito. 

Junto a @LoroHomero haremos que regresen las obras, empleo y seguridad para todos.

!Gracias por el apoyo! https://t.co/2P608wNMVT",2019-02-19
Jorge,Yunda,LoroHomero,"Martes 9 de Agosto de 1938, ALANGASI sufrio un terremoto que asolo al pueblo. La iglesia perdio su cupula y quedo cuarteada. A los pocos dias empezo la reconstruccion y se vio la unidad de los Alangasenos @LoroHomero @24horasUIO @TVCLaComunidad @MauricioRodasEC @PatrimonioYC_Ec https://t.co/COaXUJXlyc",2019-02-20
Jorge,Yunda,LoroHomero,#SporTv EC junto a @juanmaguirre1 presidente de @SDQUITO y candidato a concejal de la capital por la #Lista19 de @LoroHomero https://t.co/85Sn5nlrUV,2019-02-20
Jorge,Yunda,LoroHomero,En Quito @LoroHomero y Moncayo lideran las encuestas para Alcalde. En lo personal veo a un @LoroHomero con un plan de trabajo bien organizado y real. Ya viene Marzo.,2019-02-20
Jorge,Yunda,LoroHomero,Hoy compartimos un gran dia con @LoroHomero en la Liga Barrial San Andres King #QuitoGrandeOtraVez @PanasJorgeYunda #AntonioJoseDeSucre #Concejal2019 https://t.co/4ar4QKoztN,2019-02-20
Jorge,Yunda,LoroHomero,"Mientras se gastan 90 millones en la campana politica, en el hospital Eugenio Espejo no hay atencion para quimioterapia porque no hay medicamentos. @Lenin @LoroHomero @PATODIAZGUEVARA @AlejaDuqueR",2019-02-20
Jorge,Yunda,LoroHomero,"El Doctor Jorge Yunda @LoroHomero sigue recorriendo todos los rincones de la capital escuchando a los mandantes  

#QuitoGrandeOtraVez #YundaEs19 #YundaAlcalde19 https://t.co/yvD7Cs0MvS",2019-02-20
Jorge,Yunda,LoroHomero,"Hoy miercoles, nos reunimos  este gran equipo para subir al ILALO hasta llegar a la cruz, con nuestros Futuros  Concejales Rurales y  los candidatos a los GADs de las parroquias de Alangasi y de La Merced de la lista 19. #PorUnAlangasiTuristico @LoroHomero @santiguarderas https://t.co/gtw4WnlUj7",2019-02-20
Jorge,Yunda,LoroHomero,"Vamos con nuestro futuro alcalde @LoroHomero a darle a Quito y Pichincha una seguridad preventiva:

Camaras de video en barrios.

Drones monitoreando 24/7.

Via - @majestadfm https://t.co/7Dgwvzhz5g",2019-02-20
Jorge,Yunda,LoroHomero,Como quieren que estamos al dia con las obligaciones si tiene un pesimo servicio @SRIoficialEc @LoroHomero @PATODIAZGUEVARA https://t.co/VaK89RY189,2019-02-21
Jorge,Yunda,LoroHomero,Buenos dias caminantes de la vida. https://t.co/c5so37X5aN,2019-02-21
Jorge,Yunda,LoroHomero,Feliz dia a mis colegas. https://t.co/3wJ8wiOKlX,2019-02-21
Jorge,Yunda,LoroHomero,"@LoroHomero Lorito, yo lo tengo bien claro, le comparti lo q pone la gente queriendo hacer el mal, le mando un saludo desde Miami y espero q llegue a la alcaldia. Art Danny",2019-02-21
Jorge,Yunda,LoroHomero,@LoroHomero  feliz dia Doctor. Muchos exitos desde el sur de Quito espero nos visite en el barrio Rancho los Pinos ,2019-02-21
Jorge,Yunda,LoroHomero,@LoroHomero Yo tengo fe que con usted Quito va salir adelante vamos q podemos Dr feliz di del medico un abrazo,2019-02-21
Jorge,Yunda,LoroHomero,@LoroHomero Si FELIZ DIA a tod@s los MEDIC@S...y gracias por su gran labor,2019-02-21
Jorge,Yunda,LoroHomero,@LoroHomero Dr Feliz dia  https://t.co/XCOjB6Wr5q,2019-02-21
Jorge,Yunda,LoroHomero,"@XavierOZevallos @pablo_serrano88 creen ustedes que el ano 2016 de @elnacionalec con llegar a copa libertadores, no hubo influencia del equipo que @LoroHomero dejo en el 2015 y la estabilidad inicial que Manjarrez cosecho??",2019-02-21
Jorge,Yunda,LoroHomero,"Siempre junto al pueblo, como lo hicimos desde pequenos. Hermano Dr. Jorge Yunda @LoroHomero, !estamos contigo! 

#QuitoGrandeOtraVez #YundaAlcalde19 #YundaEs19  https://t.co/ZIbXLVjtT5",2019-02-21
Jorge,Yunda,LoroHomero,@LoroHomero y la propuesta para los taxistas. https://t.co/TbSERPQeQA,2019-02-22
Jorge,Yunda,LoroHomero,"@LoroHomero yo voy a votar por ud, algo x cambiar, seria bueno variar los dias de pico y placa. 3 carros nuevos matriculados con 9 desde que salio la ordenanza municipal. Nunca puedo salir de viaje o realizar alguna actividad los viernes. Descuidado ese tema ya mucho tiempo...",2019-02-22
Jorge,Yunda,LoroHomero,"Para @LoroHomero ""la cultura solo se ha ido hacia ciertos espacios y ciertas elites"". El candidato dice que es importante masificarla.

#Elecciones2019EC",2019-02-23
Jorge,Yunda,LoroHomero,Reunion con  la Comunidad del barrio La Cocha en la Parroquia de Alangasi -La Merced  Recibiendo el apoyo a las Listas 19 DR. JORGE YUNDA.  Alcalde de Quito. @LoroHomero @PanasJorgeYunda @santiguarderas @joseph_maurici @renebedon @jorenpanyun3 @luisfer593 https://t.co/QpbeHNcIUX,2019-02-23
Jorge,Yunda,LoroHomero,@LoroHomero desde la Ferroviaria junto al Futuro Alcalde https://t.co/pi92IGlsa9,2019-02-23
Jorge,Yunda,LoroHomero,En Alangasi HENRY no deacnsa.. En el 2019 Vota 19 @LoroHomero @santiguarderas @PanasJorgeYunda @jorenpanyun3 https://t.co/JnOyJbjmuF,2019-02-24
