nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Eduardo,Argudo,EduardoArgudoG,yazminbustar interagua alcaldiagye CynthiaViteri6 jimmyjairalo fcojimenez21 cedeno marth BalerioEstacio patobuendia23 jaimelomas74 GinoCornejoM Simon BolivarEC propuesta querido Yazmin Guayaquildemisderechos,2019-02-25
Eduardo,Argudo,EduardoArgudoG,invitir unirte transmision conocer mas guayaquildemosderecho,2019-02-26
Eduardo,Argudo,EduardoArgudoG,bloque Genero cada candidato escoger preguntar responder él 1 minuto Despues dar paso ronda comentario replica Inicia EduardoArgudoG DebatePorGuayaquil GrupoFARO teleramaec corapesatelital eluniversocom,2019-03-01
Eduardo,Argudo,EduardoArgudoG,encontrar poco candidato Intervenciones mayorio generalizaciones EduardoArgudoG propuesta especifico correcto manejo tema genero silvitabuendiar corregir informar acudir conocimiento,2019-03-01
Eduardo,Argudo,EduardoArgudoG,respaldo trabajador libre Alcaldia nadie perseguirar,2019-03-06
Eduardo,Argudo,EduardoArgudoG,ir desaparecer todo fundación beneficio inventario decir ir fiscalizarla dinero publico poder mano particular vivo exigir JusticiaParaGuayaquil desze Ecuador Directo GuayaquildemisDerechos,2019-03-06
Eduardo,Argudo,EduardoArgudoG,JUSTICIA gocir efectivo derecho Si Guayaquil limitar impedir ejercicio derechos ciudad injusta cualquiera espacio poder expresarno exigirer pasion compromiso pueblo JusticiaparaGuayaquil,2019-03-11
Eduardo,Argudo,EduardoArgudoG,invitar verno vivo noche Exigimos JusticiaParaGuayaquil proponer ciudad humano ecologicar ciudad GuayaquildemisDerechos,2019-03-12
Eduardo,Argudo,EduardoArgudoG,decisionendemocracia hoy 22h00 conocerer candidato alcaldio Guayaquil EduardoArgudoG BermudezBronson patobuendia23 CarlosCasanello JorgeCopiano GinoCornejoM ValerioEstacio JoseInca Miranos vivo EcuadorTV,2019-03-12
Eduardo,Argudo,EduardoArgudoG,JusticiaparaGuayaquil guayaquildemisderechos ArgudoAlcalde GuayaquilvotaLista17,2019-03-18
Eduardo,Argudo,EduardoArgudoG,multa ordenanza municipal ilegitimas Ecuador sanción establecido mismo infracción coip solo ilegitimas inaplicabl inconstitucional ahi evidente vulneracion derechos vivo CRE Satelital,2019-03-18
Eduardo,Argudo,EduardoArgudoG,policia metropolitano deber ser brigads proteccion derechos mitad hombre mitad mujer Deben afuerar escuela colegio proteger nino nina adolescente vivo CRE Satelital JusticiaparaGuayaquil GuayaquildemisDerechos,2019-03-18
Eduardo,Argudo,EduardoArgudoG,absoluto respaldo candidatura joven socialista EduardoArgudoG candidato PSE listo 17 presentar verdadero renovacion administracion municipal tanto necesario luego,2019-03-21
Eduardo,Argudo,EduardoArgudoG,respaldo Juventud junto Pueblo Vamos 24 marzo derrotar visto negocio derechos,2019-03-21
Eduardo,Argudo,EduardoArgudoG,argudoalcalde ciudad tendro agua potable poder beber él llave GuayaquildemisDerechos votar Listas17 EduardoArgudoG,2019-03-21
Eduardo,Argudo,EduardoArgudoG,ArgudoAlcalde eliminarar multa ATM duplicidad sanción guayaquildemisderechos votar Listas17 eduardoargudog,2019-03-21
Eduardo,Argudo,EduardoArgudoG,argudoalcalde proponer ciudad ecologicar humano guayaquildemisderechos voto sero Listas17 EduardoArgudoG,2019-03-21
Eduardo,Argudo,EduardoArgudoG,guayaquildemisderechos guayaquildemisderechos guayaquildemisderechos GuayaquildemisDerechos EduardoArgudoG,2019-03-21
Eduardo,Argudo,EduardoArgudoG,argudoalcalde eliminarar todo fundación fiscalizarer recurso publico entregado particular guayaquildemisderechos votar Listas17 eduardoargudog,2019-03-21
Eduardo,Argudo,EduardoArgudoG,argudoalcalde recuperarer areas verde ciudad sustituiran palmera arbol nativo frutal guayaquildemisderechos votar Listas17 eduardoargudog,2019-03-21
Eduardo,Argudo,EduardoArgudoG,eliminir multa ATM ArgudoAlcalde duplicidad sanción guayaquildemisderechos votar Listas17 eduardoargudog,2019-03-21
Eduardo,Argudo,EduardoArgudoG,argudoalcalde eliminarar todo fundación fiscalizarer recurso publico entregado particular guayaquildemisderechos votar Listas17 eduardoargudog,2019-03-21
Eduardo,Argudo,EduardoArgudoG,argudoalcalde nunca mas garrote Garantizara trabajo libre gente guayaquildemisderechos votar Listas17 eduardoargudog,2019-03-21
Eduardo,Argudo,EduardoArgudoG,argudoalcalde recuperarer areas verde ciudad sustituiran palmera arbol nativo frutal guayaquildemisderechos votar Listas17 eduardoargudog,2019-03-21
Eduardo,Argudo,EduardoArgudoG,ArgudoAlcalde eliminarar multa ATM duplicidad sanción guayaquildemisderechos votar Listas17 eduardoargudog,2019-03-21
Eduardo,Argudo,EduardoArgudoG,ArgudoAlcalde eliminarar multa ATM duplicidad sanción guayaquildemisderechos votar Listas17 eduardoargudog,2019-03-21
Eduardo,Argudo,EduardoArgudoG,ArgudoAlcalde aprendi hurto encontrar fundación solo EduardoArgudoG conjunto Lista17 eliminarar todo fundación fiscalizar recurso publico entregado particular guayaquildemisderecho,2019-03-21
Eduardo,Argudo,EduardoArgudoG,argudoalcalde recuperarer areas verde ciudad sustituiran palmera arbol nativo frutal guayaquildemisderechos votar Listas17 eduardoargudog,2019-03-22
Eduardo,Argudo,EduardoArgudoG,argudoalcalde eliminarar todo fundación fiscalizarer recurso publico entregado particular guayaquildemisderechos votar Listas17 eduardoargudog,2019-03-22
Eduardo,Argudo,EduardoArgudoG,julioalbarracin ELREVERSO CynthiaViteri6 jimmyjairala EduardoArgudoG fcojimenez21 GuerrerosDig RC SomosMasEc doralaopinadorar SandraGomezC1 piaang Vivi GuevaraV unico candidato izquierdo tercero via frente derecho Oligarquia eduardoargudog designado colectivo social siempre frontal respecto traidor proceso guayaquildemisderecho,2019-03-22
Eduardo,Argudo,EduardoArgudoG,candidato voto ArgudoAlcalde GuayaquildemisDerechos,2019-03-22
Eduardo,Argudo,EduardoArgudoG,MashiRafael,2019-03-24
Eduardo,Argudo,EduardoArgudoG,,2019-03-23
Eduardo,Argudo,EduardoArgudoG,cierre campán gracias todo guayaquildemisderechos argudoalcalde,2019-03-24
Eduardo,Argudo,EduardoArgudoG,MashiRafael,2019-03-24
Eduardo,Argudo,EduardoArgudoG,Guayaquil cuanto Cuayaquil arte Guayaquil voz Guayaquil oprime Guayaquil querer ignorante acabar GuayaquildemisDerechos EduardoArgudoG,2019-04-02
Eduardo,Argudo,EduardoArgudoG,ser exacto dirio CIFIUG trol,2019-04-08
