nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Patricio,Buendia,patobuendia23,yazminbustar interagua alcaldiagye CynthiaViteri6 jimmyjairalo fcojimenez21 cedeno marth BalerioEstacio jaimelomas74 EduardoArgudoG GinoCornejoM Simon BolivarEC Sencillamente auditar control solo servicio sino calidad agua alcantarillado hablar analizar continuidad cobro rubro gente mas humilde deber exonerar él pago alcantarillado justo Pbuendia,2019-02-25
Patricio,Buendia,patobuendia23,Atentos Manana radiomorena640,2019-02-26
Patricio,Buendia,patobuendia23,seguirar trabajo puerta puerta llevar propuesta Guayaquilenos eluniversocom,2019-02-26
Patricio,Buendia,patobuendia23,Ahi exponer propuesta Guayaquil,2019-02-28
Patricio,Buendia,patobuendia23,esperar sabado 2 Marzo partir 16h00 Trinitaria elegir Reina Carnaval pondre bailar cantar tema Musicmarketint radiomakro pedritoortizjr pmsuarezh VIPMusicRecords ricuesta patobuendia23,2019-03-01
Patricio,Buendia,patobuendia23,decisionendemocracia hoy 22h00 conocerer candidato alcaldio Guayaquil EduardoArgudoG BermudezBronson patobuendia23 CarlosCasanello JorgeCopiano GinoCornejoM ValerioEstacio JoseInca Miranos vivo EcuadorTV,2019-03-12
Patricio,Buendia,patobuendia23,seguirar trabajo puerta puerta llevar propuesta Guayaquilenos eluniversocom,2019-03-13
Patricio,Buendia,patobuendia23,ENVIDEO Buendia plantear programa prevencion droga joven guayaquileno patobuendia23,2019-03-14
Patricio,Buendia,patobuendia23,GuayasComoNunca candidato alcalde patobuendia23 varios candidato concejal suma decidido apoyar ceciliacalderec  Prefectura Guayas,2019-03-15
Patricio,Buendia,patobuendia23,Campana patobuendia23 junto ceciliacalderec,2019-03-18
Patricio,Buendia,patobuendia23,recorrer Pascuales junto patobuendia23 candidata Prefecta ceciliacalderec ,2019-03-18
Patricio,Buendia,patobuendia23,celebrar cumpleano Don Patricio Buendia padre amigo patobuendia23 hicimos bailar matar gusano,2019-03-18
Patricio,Buendia,patobuendia23,Senores Contraloria acabar elección perdio candidato protegido jimmyjairalo momento mostrar él Pais mas 30 informe archivado misteriosamente identificar responsable multimillonario glosas martharoldo GuayasCna,2019-03-25
Patricio,Buendia,patobuendia23,nuevafotodeperfil,2019-03-26
