nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Pablo,Davalos,PabloDavalos63,suficiente preparacion academico intelectual etica dirigir Quito conformer menos nohayotraopcion pablodavalosalcalde,2019-03-06
Pablo,Davalos,PabloDavalos63,patodiazguevara unico atacar sino proponer pablodavalos63 gestor verdadera transformacion necesitar ciudad,2019-03-07
Pablo,Davalos,PabloDavalos63,wilmercoronelEC cesarmontufar51 grupofaro Banco Ciudad Municipalizacion transporte publico programa Femicidio cero Quito Nocturno Basura cero Museos siglo xxi capacitacion tecnologia economia informacion etc perder él momento mejor opcion pablodavalosalcalde,2019-03-07
Pablo,Davalos,PabloDavalos63,wilmercoronelEC cesarmontufar51 grupofaro Banco Ciudad Municipalizacion transporte publico programa Femicidio cero Quito Nocturno Basura cero Museos siglo xxi capacitacion tecnologia economia informacion etc perder él momento mejor opcion pablodavalosalcalde,2019-03-08
Pablo,Davalos,PabloDavalos63,vez Quito esperanza mejor opcion pablodavalosalcalde,2019-03-08
Pablo,Davalos,PabloDavalos63,vez Quito esperanza mejor opcion pablodavalosalcalde,2019-03-09
Pablo,Davalos,PabloDavalos63,Dialogo candidato alcaldio Quito organizado FECABE Ecuador postulant juancaholguin JCSolines PabloDavalos63,2019-03-14
Pablo,Davalos,PabloDavalos63,preparado asumir responsabilidad reto Alcaldia Quito PabloDavalosAlcalde,2019-03-19
Pablo,Davalos,PabloDavalos63,dardoelectoral candidato Alcaldia PabloDavalos63 municipalizar transporte publico unico forma lograr tarifa bajo servicio eficiente Escucha entrevistar completo,2019-03-21
Pablo,Davalos,PabloDavalos63,cierto centro derecho debio haber él unir Quito situacion habrio ser diferente reconocer candidato unico aparte realmente tenia proyecto Ciudad juancaholguin,2019-03-26
Pablo,Davalos,PabloDavalos63,AstacEcuador FIAN Ecuador CentroQuevedo FenamaizEC APROBANEC1 preocupado firma carta intencion FMI propuesto flexibilizacion laboral derecho trabajador campesino Invitan conferencia dar PabloDavalos63,2019-04-07
Pablo,Davalos,PabloDavalos63,invitir taller trabajo Carta Intencion FMI bienvenido jueves partir 18h00 Universidad Andina Simon Bolivar,2019-04-08
Pablo,Davalos,PabloDavalos63,invitamos ciudadano loja participar taller trabajo Carta Intencion FMI miercol 10 manana,2019-04-09
Pablo,Davalos,PabloDavalos63,consecuencia traer acuerdo FMI Aqui contar afectación economia ecuatoriano ForoEconomiaAH PabloDavalos63 pabelml MashiRafael johaortizv jpjaramillo25,2019-04-21
Pablo,Davalos,PabloDavalos63,Acordar FMI vulnerar mas pobre trabajador siempre significar deterioro condición vido decir sputnikmundo economista ecuatoriano PabloDavalos63,2019-04-25
