nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,gracias Carlos Figueroa candidato CPCCS participar Tercera Emision puntonoticios regresar manán 17 00 Conduccion Luis Davila Loor CF luisdavilaloor carlosfigueroa6,2019-02-19
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,Criterio grafico conocido clasico caricaturista ASDRUBAL,2019-02-21
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,gobierno meter mano bolsillo dia atraco tras ahora resultar punto cobro empresa entidad estatal cobrar 0 60 dolar igual cualquiera agencia bancario Vean miserable Basta hacerir yo pagar saqueo AP RC,2019-02-22
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,Mas deudir menos 10 100 China consuelo Mientras seguir meter mano bolsillo ecuatoriano crear tasa impuesto dia tasa transferencia bancario servicio llamingo contar,2019-02-22
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,VEEDUR1AFCorrea davidroserow hernanulloa recuerdo surgio Comision Civica Control Corrupcion presidido Jorge Vivanco Mendieta emanado Movimientos sociales Senor Larreategui partir gobierno Mahuad,2019-02-24
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,Lenin serio funcionario gobierno d Correa mas alto cargo q nunca saber sucedia mas d q participar atraco Algun comentario juanseroldar dudo persona honesto dentro gobierno saber hacer tanto corrupccion,2019-02-24
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,ahora denunciar robo llamar TENTATIVA difusion informacion CIRCULACION RESTRINGIDA Fiscalia llamar implicado hermano Lenin Moreno hijas justicia pacotillo,2019-02-25
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,hoy Contraloria General presentado pedido EXAMEN especial Concesion Puerto Aguas Profundas POSORJA debido perjuicio economico riesgo ambiental posible peculado ilegal contrato DPW grupo Nobis,2019-02-27
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,unico decidido voto CPCCS carlosfigueroa unico candidato enfrento dictadura oportunista q hoy decir luchar corrupcion ultimos 10 ano contar,2019-03-01
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,Viernes 1 javierdiaz panchidalbo pdte AITE Ecuador Ajustes FMI sector productivo carlosfigueroa6 candidato CPCCS Propuestas 5to poder EliseoAzueroR asambleista Voto nulo elección contactodirecto LeninArtieda morasamantar 7 ecuavisa,2019-03-01
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,marialocorrea Ulloa reserva votare x pán Fabricio Correa gustar Votare x Carlos Figueroa carlosfigueroa6 David Rosero davidroserow ALANDMOLESTINAM Aland Molestina mujer idea tampoco listo,2019-03-06
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,Fernando dar conocer investigación acto corrupto anterior gobierno enseguida suspender cerrar contar Basta perseguir denunciar saqueo mejor dejar robar,2019-03-08
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,proposito manejo devolucion 13 5 millón dolar aparecio cuenta Tomislav Topic devolucion abogado ex esposa decir 16 1 millón comportamiento justicia ecuatoriano indignante,2019-03-10
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,cnegobec DianaAtamaint FiscaliaEcuador TCE Ecuador,2019-03-11
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,,2019-03-20
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,hoy FiscaliaEcuador dr carlosfigueroa6 reconocio firma denunciar presentado Concesion Puerto Aguas Profundas Posorja Seran investigado MashiRafael mas funcionario gobierno anterior villafernar martharoldo,2019-03-21
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,mientras cerca 1 8 millón votante fantasma padron electoral CNE eliminar ciudadano saber ir votar correato Asi venir actuar mas decado Fraude tecnicar cientificamente preparado,2019-03-21
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,gracias organización social varios provincia considerar nombre multipl listo gracias colega apoyar candidatura Polificcion kimontare martharoldo villafernar Jeanninecruzz VEEDUR1AFCorrea,2019-03-22
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,Hola cnegobec Aqui Fragua Ciudadana colectivo SofiaAlmeidaEc HernanUlloa mrivadeneirac carlosfigueroa6 ALANDMOLESTINAM promocion candidatura querer saber si tambien ser amenazar descalificar candidatura,2019-03-24
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,hoy CPCCS Abog Jose Alarcon exponer Informe Final veeduria Concesion Autoridad Portuaria Puerto Bolivar mismo aceptado responsabilidad penal civil indicio corrupcion igual Posorja,2019-04-04
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,gran encuentro Fernando Villavicencio gran luchador conocer compromiso transparencia luchar corrupcion Apoyamos gestion favor Democracia Verdad villafernar carlosfigueroa6 cesarulloa 77 danomanzano,2019-04-13
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,ahora ver actua Fiscal Diana Salazar si servir servir,2019-04-22
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,Ciudad Machala Oro Fernando Villavicencio compartir ciudadania investigación corrupcion gobierno AP RC caso arroz verde 502,2019-05-09
