nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Joba Aminta,Fon Fay Vasquez,jobafonfay2019,votare nulo EleccionesCPCCS apoyare Pueblos Nacionalidades Rosa Chala RosaChalaEc Mujeres Joba Fon Fay jobafonfay2019 Karina Ponce KariPonce11 Hombres Carlos Pauta carlosrpautar Hugo Ludena VICENTELUDEA1 Carlos Figueroa carlosfigueroa6,2019-02-28
Joba Aminta,Fon Fay Vasquez,jobafonfay2019,votare nulo EleccionesCPCCS apoyare Pueblos Nacionalidades Rosa Chala RosaChalaEc Mujeres Joba Fon Fay jobafonfay2019 Karina Ponce KariPonce11 Hombres Carlos Pauta carlosrpautar Hugo Ludena VICENTELUDEA1 Carlos Figueroa carlosfigueroa6,2019-02-28
Joba Aminta,Fon Fay Vasquez,jobafonfay2019,ONU derechos 7 Candidaturas Consejeros CPCCS independiente ser elegir si aceptar firmar Pacto Etico 4 COMPROMISOS SofiaAlmeidaEc jobafonfay2019 MariaCatalinaPerezAvila HernanUlloa davidroserow JamesMcpccs ChugchilanJaime,2019-02-28
Joba Aminta,Fon Fay Vasquez,jobafonfay2019,fernandobaldar CPCCS lassoguillermo HernanUlloa SofiaAlmeidaEc voto familia hernanulloa ALANDMOLESTINAM davidroserow jobafonfay2019 SofiaAlmeidaEc Maria Catalina Perez Francisco Bravo VIVA ECUADOR CARCEL CORRUPTOS,2019-03-01
Joba Aminta,Fon Fay Vasquez,jobafonfay2019,coincidir Lasso derecho llamar nulo voto nulo voto candidato proveniente organización social Pueblos nacionalidad RosaChalaEc Mujeres KariPonce11 jobafonfay2019 Hombres CarlosPauta Hugo Ludena carlosfigueroa6,2019-03-01
Joba Aminta,Fon Fay Vasquez,jobafonfay2019,luislarapared voz ec alandmolestinam hernanulloa jobafonfay2019 SofiaAlmeidaEc davidroserow Aqui pollar casillero noalvotonulo,2019-03-01
Joba Aminta,Fon Fay Vasquez,jobafonfay2019,voz ec ronpeper voto alandmolestinam hernanulloa jobafonfay2019 SofiaAlmeidaEc davidroserow Maria Catalina Perez Francisco Bravo Srs asi q llegar pueblo solo puno siete candidato opinon respetar demas buen viento buen mar,2019-03-01
Joba Aminta,Fon Fay Vasquez,jobafonfay2019,TamaApoyo Elige mejor VOTA 24 marzo cpccs,2019-03-02
Joba Aminta,Fon Fay Vasquez,jobafonfay2019,voto ir ser cesarmontufar51 ester Moscoso hernanulloa davidroserow Sofia Almeida Joba Fon Fay M Catalina Perez Javier Molestina F Lorenzo Bravo padron voto menos candidato cnegobec CNEVice BorisVianII,2019-03-02
Joba Aminta,Fon Fay Vasquez,jobafonfay2019,Declaro x votare proximo CPCCS poder equivoque aviso dar voto tendre derecho reclamar él promesa campán SofiaAlmeidaEC HernanUlloa 8 Caty jobafonfay2019 manababravo apoyoDrFigueroa alandmolestinam,2019-03-04
