nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Walter Javier,Gomez Ronquillo,wgomezr,Comparto tú Agenda actividad Canar Azuay manana martes 19 02 19 felizlún FelizSemana Ecuador WalterGomezEsCPCCS waltergomezeselprimero,2019-02-19
Walter Javier,Gomez Ronquillo,wgomezr,Asi manzanita CPCCS lograrer mejor dia,2019-02-19
Walter Javier,Gomez Ronquillo,wgomezr,Entrevista Semanario Heraldocanar Impulsare conformacion d veeduria ciudadana q evaluar fiscalicir Transitorio autoridad financiero caso GEA parir concesión d empresa publica FelizMartes Elecciones2019 Elecciones2019EC eleccionescpccs,2019-02-19
Walter Javier,Gomez Ronquillo,wgomezr,Entrevista Radio Genesis Azogues prov Canar plar trabajo p cpccs ser hacer base necesidad ciudadania FelizMartes Elecciones2019EC EleccionesCPCCS WalterGomezEsCPCCS waltergomezeselprimero Ecuador,2019-02-19
Walter Javier,Gomez Ronquillo,wgomezr,Entrevistado x Martha Calle OndasCanaris evaluacion CPCCS T sera dado x ciudadania indicarar paso seguir partir mayo 2019 FelizMartes Elecciones2019EC EleccionesCPCCS WalterGomezEsCPCCS waltergomezeselprimero,2019-02-19
Walter Javier,Gomez Ronquillo,wgomezr,Entrevistado x mercurioec ciudad Cuenca prov Azuay pugna vocal CNE electo x Trujillo dar seguridad Transparencia comicio 24 M x dignidad deber renunciar felizmart Elecciones2019EC EleccionesCPCCS WalterGomezEsCPCCS,2019-02-19
Walter Javier,Gomez Ronquillo,wgomezr,Cafe Parque Cuenca prov Azuay Recomendado lindo lugar felizmartes,2019-02-19
Walter Javier,Gomez Ronquillo,wgomezr,lider organizacional urbano rural prov Azuay apoyar candidatura AVANZANDO FelizMartes elecciones2019ec EleccionesCPCCS CPCCS WalterGomezEsCPCCS waltergomezeselprimero,2019-02-20
Walter Javier,Gomez Ronquillo,wgomezr,kolectiVOZ davalos2019 Felicitaciones Juan Xavier,2019-02-20
Walter Javier,Gomez Ronquillo,wgomezr,TEAFundacion torresaereo alcaldiagye CynthiaViteri6 JosueSanchezEc gente solo criticar querer amamos animal hacer trabajo municipio exponer creer x redito politico Asi simplistos ment,2019-02-20
