nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Jaime,Lomas,jaimelomas74,jaimelomasalcalde CeciliaPrefecta,2019-02-22
Jaime,Lomas,jaimelomas74,ATMGuayaquil posible cerrar abrar conexion via si estudio tecnico favor tomar correctivo alturo Sopena HTMC,2019-02-25
Jaime,Lomas,jaimelomas74,ATMGuayaquil posible cerrar abrar conexion via si estudio tecnico favor tomar correctivo alturo Sopena HTMC,2019-02-25
Jaime,Lomas,jaimelomas74,JaimeLomasAlcalde porn UnGuayaquilDeTodos,2019-02-26
Jaime,Lomas,jaimelomas74,JaimeLomasAlcalde porn UnGuayaquilDeTodos,2019-02-26
Jaime,Lomas,jaimelomas74,breve debate Ecuador Decide Telerama,2019-03-01
Jaime,Lomas,jaimelomas74,breve debate Ecuador Decide Telerama,2019-03-01
Jaime,Lomas,jaimelomas74,Entrevista jaimelomas74 candidato alcaldio Guayaquil programa DesdeLaPlaza conduccion Rommel Garzon hoy 22h00,2019-03-01
Jaime,Lomas,jaimelomas74,ecuavisa RTSEcuador teleamazonasec ucsg tv Gamavisionecu tctelevision canalrtu CanalUnoTv Si television orientado incidir cultura respeto,2019-03-02
Jaime,Lomas,jaimelomas74,ecuavisa RTSEcuador teleamazonasec ucsg tv Gamavisionecu tctelevision canalrtu CanalUnoTv Si television orientado incidir cultura respeto,2019-03-02
Jaime,Lomas,jaimelomas74,jaimelomasalcalde CeciliaPrefecta,2019-03-02
Jaime,Lomas,jaimelomas74,favor deber tomar él correctivo inmediato CNEGuayas ecuavisa RTSEcuador teleamazonasec teleramaec CanalUnoTv tctelevision Gamavisionecu,2019-03-10
Jaime,Lomas,jaimelomas74,favor deber tomar él correctivo inmediato CNEGuayas ecuavisa RTSEcuador teleamazonasec teleramaec CanalUnoTv tctelevision Gamavisionecu,2019-03-10
Jaime,Lomas,jaimelomas74,jaimelomas74 CNEGuayas ecuavisa RTSEcuador teleamazonasec teleramaec CanalUnoTv tctelevision Gamavisionecu Basta abuso,2019-03-10
Jaime,Lomas,jaimelomas74,monicorreaf lahistoriaec jaimelomas74 gracios apoyo Monica,2019-03-11
Jaime,Lomas,jaimelomas74,lahistoriaec jaimelomas74 campán diferente fresco hacer mofa apodo dudar muestro madurez politico ceciliacalderec mejor alternativa Guayas,2019-03-11
Jaime,Lomas,jaimelomas74,jaimelomas74 Juntos poder Jaime,2019-03-14
Jaime,Lomas,jaimelomas74,Aldea Mujer excelente propuesta JaimeLomasAlcalde UnGuayaquilDeTodos,2019-03-15
Jaime,Lomas,jaimelomas74,Aldea Mujer excelente propuesta JaimeLomasAlcalde UnGuayaquilDeTodos,2019-03-15
Jaime,Lomas,jaimelomas74,Aldea Mujer excelente propuesta jaimelomasalcalde UnGuayaquilDeTodos CeciliaCalderonPrefecta PorUnGuayasComoNunca,2019-03-15
Jaime,Lomas,jaimelomas74,Aldea Mujer excelente propuesta jaimelomasalcalde UnGuayaquilDeTodos CeciliaCalderonPrefecta PorUnGuayasComoNunca,2019-03-15
Jaime,Lomas,jaimelomas74,cuanta alegrio cuanto entusiasmo gran joven AZUL Bombillo solo Luchare Guayaquil inclusivo luchare UnGuayaquilDeTodos csemelec Hincha Azul azulyplomocom LaBocaDelPozo rabinfrias amek meek72 bracho,2019-03-16
Jaime,Lomas,jaimelomas74,JaimeLomasAlcalde UnGuayaquilDeTodos,2019-03-17
Jaime,Lomas,jaimelomas74,JaimeLomasAlcalde UnGuayaquilDeTodos,2019-03-17
Jaime,Lomas,jaimelomas74,decisionendemocracia hoy 22h00 conocerer candidato alcaldio Guayaquil jimmyjairalo fcojimenez21 jaimelomas74 cedeno marth simonbolivarrosero edgarsalazar 51 OctavioSuarez jorgevillacrese CynthiaViteri6 Miranos EcuadorTV,2019-03-17
