nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Luisa,Maldonado,LuisaMaldonadoM,cada rincón Quito quiteno quitena mostrar apoyo carino militante Revolucion Ciudadana LuisaMaldonadoM Sur Lista 5 Compromiso Social ARecuperarLaPatria TodoTodito5,2019-02-17
Luisa,Maldonado,LuisaMaldonadoM,persona caminar pie todo ciudad conocer perfectamente condición saber exactamente hacer 24 marzo ir votar TodoTodito5 ElMomentoEsAhora,2019-02-18
Luisa,Maldonado,LuisaMaldonadoM,compartir tú agenda cumplirer hoy lunes 18 febrero breve vivo exafmecuador gt VotaTodo5 ElMomentoEsAhora,2019-02-18
Luisa,Maldonado,LuisaMaldonadoM,compartir tú agenda cumplirer hoy lunes 18 febrero breve vivo exafmecuador gt VotaTodo5 ElMomentoEsAhora,2019-02-18
Luisa,Maldonado,LuisaMaldonadoM,momento vivo entrevista ExaFmEcuador Sigala vivo traves gt VotaToda5 ElMomentoEsAhora,2019-02-18
Luisa,Maldonado,LuisaMaldonadoM,Pregunta prometer hacer caso llegar Alcaldia Respuesta alejarme gente dar tierra motivan seguir trabajar derecho derechos Entrevista ExaFmEcuador VotaTodo5 ElMomentoEsAhora,2019-02-18
Luisa,Maldonado,LuisaMaldonadoM,sociedad promueve cultura paz Alcaldia entregarer Plaza Belmonte gestor cultural VotaTodo5 ElMomentoEsAhora MashiRafael,2019-02-18
Luisa,Maldonado,LuisaMaldonadoM,mas toro Quito sociedad promueve cultura paz Alcaldia entregarer Plaza Belmonte gestor cultural plazo vida VotaTodo5 ElMomentoEsAhora ExaFmEcuador,2019-02-18
Luisa,Maldonado,LuisaMaldonadoM,hoy 17h00 TransmisionenVivo candidata Alcaldia Quito LuisaMaldonadoM Elecciones2019EC Conectate aqui FEsquel FundacionAVINA FLACSOec citar ec FuturoLatinoame grupofaro GIZEcuador ODSTerritorioEc ec decidir ueenecuador,2019-02-18
Luisa,Maldonado,LuisaMaldonadoM,construirer 100 Centros Desarrollo Comunitario joven nino adulto mayor actividad artistica recreacional alejir pandilla alcohol droga ElMomentoEsAhora VotaTodo5 FEsquel,2019-02-18
Luisa,Maldonado,LuisaMaldonadoM,tarde 16h00 ir concentracion Palacio Carondelet RevocatoriaMorenoYA,2019-02-19
Luisa,Maldonado,LuisaMaldonadoM,19h00 participarar conversatorio animalesyciudad organizado LiberaEcuador Facebook Live Fan Page gt invitado acompanarno ElMomentoEsAhora VotaTodo5,2019-02-19
Luisa,Maldonado,LuisaMaldonadoM,particip construccion Constitucion 2008 Apoyamos derecho naturaleza supuesto derecho animal LiberaEcuador VotaTodo5 ElMomentoEsAhora,2019-02-20
Luisa,Maldonado,LuisaMaldonadoM,particip construccion Constitucion 2008 Respetamos promover derecho naturaleza supuesto derecho animales VotaTodo5 ElMomentoEsAhora,2019-02-20
Luisa,Maldonado,LuisaMaldonadoM,particip construccion Constitucion 2008 Respetamos promover derecho naturaleza supuesto derecho animal LiberaEcuador VotaTodo5 ElMomentoEsAhora,2019-02-20
Luisa,Maldonado,LuisaMaldonadoM,lamentable ver perrito abandonado call Alcaldia campanas esterilizacion control serar prioridad él buscar apoyo ongs gran experiencia él hacer solo liberaecuador VotaTodo5 ElMomentoEsAhora,2019-02-20
Luisa,Maldonado,LuisaMaldonadoM,compartir agenda cumplirer miercol 20 febrero partir 16h00 recorreremos Distrito Centro junto companero candidato concejal invitado acompanarno VotaTodo5 ElMomentoEsAhora,2019-02-20
Luisa,Maldonado,LuisaMaldonadoM,entrevista Union Comerciantes Minoristas Trabajadores Autonomos transmitimos propuesta creacion Consejo Consultivo representante diferente organización poder discutir proponer politica publicar junto Cabildo VotaTodo5,2019-02-20
Luisa,Maldonado,LuisaMaldonadoM,querer enterrar yo entender semilla MashiRafael florecer junto Luisa Maldonado ir arecuperarlapatrio Todo5 luisamaldonadom,2019-02-20
Luisa,Maldonado,LuisaMaldonadoM,momento seguir vivo recorrido companero candidato concejal Distrito Centro ElMomentoEsAhora recuperar Quito Patria enterir,2019-02-20
Luisa,Maldonado,LuisaMaldonadoM,carino gente compro ganar trabajo duro servicio honesto pronto recuperarer Quito Patria enterir mas humild VotaTodo5,2019-02-20
Luisa,Maldonado,LuisaMaldonadoM,hermoso recorrido calle Sur Quito abrazo saludo recordar gente candidato MashiRafael Lista 5 compromisorc5 24 marzo VotaTodo5 ElMomentoEsAhora,2019-02-21
Luisa,Maldonado,LuisaMaldonadoM,conocer propuesta areo cultural poder seguir entrevista pichinchauniver cafe Anaconda aqui ElMomentoEsAhora votatodo5,2019-02-21
Luisa,Maldonado,LuisaMaldonadoM,construccion Centro Cultural Sur obra emblematico contemplado vision ciudad ElMomentoEsAhora Sur Quito espacio quitena quiteno poder apreciar teatro musico cultura VotaTodo5 pichinchauniver,2019-02-21
Luisa,Maldonado,LuisaMaldonadoM,trabajarer varios punto ser municipio eficiente cero corrupcion agilidad tramit disminucion pago impuesto generacion incentivo espectaculos cultural reitero LuisaMaldonadoM VotaTodo5,2019-02-21
