nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Aland Javier,Molestina Malta,ALANDMOLESTINAM,VIVO radio visionquito Diego Oquendo compartir panel Karina Ponce Tema Preguntas urgente candidato CPCCS concertacioncivicanacional AlandMolestinaConsejero,2019-02-19
Aland Javier,Molestina Malta,ALANDMOLESTINAM,cpccs deber votar candidato estir alejado compromiso politico garantizar independencia transparencia combate corrupcion Hoy Radio Canela ciudad Quito AlandMolestinaConsejero BolsillosHonestos,2019-02-19
Aland Javier,Molestina Malta,ALANDMOLESTINAM,continuamos agenda programado region interandín cumplir responsabilidad ecuatoriano ir salvaguardar participacion ciudadano 24 marzo honestidad transparencia AlandMolestinaConsejero CPCCS bolsilloshonesto,2019-02-19
Aland Javier,Molestina Malta,ALANDMOLESTINAM,Consejo Participacion Ciudadana Control Social Transitorio cuanto combatir corrupcion quedar deber pais correspondera entonces CPCCS definitivo asumir reto hoy Informativo Prisma televisoro ciudad Ibarra Elecciones2019EC,2019-02-20
Aland Javier,Molestina Malta,ALANDMOLESTINAM,Vientos fraudir electoral soplar Ecuador eleccion Consejeros CPCCS Existe decision arbitrario CNE escrutar final voto dignidad 1 2 Radio Caracol Ambato AlandMolestinaConsejero BolsillosHonestos,2019-02-21
Aland Javier,Molestina Malta,ALANDMOLESTINAM,Ley deber hacer él primero tratar eleccion Nacional olvider tampoco poseemos infraestructura permita Control Electoral 2 2 hoy Radio Caracol Ambato CPCCS AlandMolestinaConsejero Elecciones2019EC,2019-02-21
Aland Javier,Molestina Malta,ALANDMOLESTINAM,disfrutar musico alegrio ambateno mantuvimos entrevista parque Montalvo hermoso ciudad Ambato UNIMAX TV AlandMolestinaConsejero CPCCS BolsillosHonestos,2019-02-21
Aland Javier,Molestina Malta,ALANDMOLESTINAM,cumplir responsabilidad historico promover participacion ciudadano dar conocer Plan Trabajo recorrido provincia Pichincha Imbabura Tungurahua Bolivar Loja Cotopaxi Oro Esmeraldas Seguire recorrer pais mas fuerza energiar CPCCS,2019-02-21
Aland Javier,Molestina Malta,ALANDMOLESTINAM,asi letreros todo institución publica indicar norma sancionar ciudadano faltir respeto funcionario publico deber haber senalen cual derecho fin poder ejercerlo libertad Diario Regional Andes Riobamba,2019-02-22
Aland Javier,Molestina Malta,ALANDMOLESTINAM,Condeno faltar responsabilidad decir anular voto CPCCS saber querer ignorar CPCCS sero organismo lidere lucha corrupcion firmeza honestidad 1 2 AlandMolestinaConsejero BolsillosHonestos,2019-02-22
Aland Javier,Molestina Malta,ALANDMOLESTINAM,Consejeros Gobierno nefasto puesto dedo Pido ciudadano confien propuesto dar oportunidad seguir servir pais 2 2 Radio Sol 96 5fm Riobamba CPCCS AlandMolestinaConsejero BolsillosHonestos,2019-02-22
Aland Javier,Molestina Malta,ALANDMOLESTINAM,ECUATORIANOS participacion candidato CPCCS obedecer claro compromiso pais necesitar bano honestidad luego haber padecer largo periodo corrupcion liderado expresidente republico concertacioncivicanacional,2019-02-22
Aland Javier,Molestina Malta,ALANDMOLESTINAM,responsabilidad encontrar mejor dias pais convocar trabajar tregua descanso Agradezco valioso aport elecciones2019ec BolsillosHonestos CPCCS,2019-02-25
Aland Javier,Molestina Malta,ALANDMOLESTINAM,independencia todo linea partidista dar sustento moral rechazar falso lider politico voz peticion voto nulo CPCCS Manabi tierra hermoso apoyo hombre mujer bravio pundonor sigo firme CPCCS,2019-02-25
Aland Javier,Molestina Malta,ALANDMOLESTINAM,Medios Comunicacion jugar papel importante orientar ciudadania Participacion Ciudadana asi derecho elegir representante proximo 24 marzo 1 2 hoy medios comunicacion provincia Manabi camino firme CPCCS,2019-02-26
Aland Javier,Molestina Malta,ALANDMOLESTINAM,embargo advierto pais confabulacion grupo politico poder echar traste eleccion CPCCS manera irresponsable llamar anular voto 2 2 Manabi ir camino firme CPCCS bolsilloshonesto AlandMolestinaConsejero,2019-02-26
Aland Javier,Molestina Malta,ALANDMOLESTINAM,Tome desafiar participar CPCCS horo gente honesto asuma compromiso pais conocer saber actuare transparencia independencia Camino firme Manabi CPCCS bolsilloshonesto AlandMolestinaConsejero,2019-02-27
Aland Javier,Molestina Malta,ALANDMOLESTINAM,Ecuador sera pais honesto oportunidad joven voz disfrutemos feriado carnaval alegria cuidado esperanza mejor dia patria Camino firme CPCCS bolsilloshonesto AlandMolestinaConsejero,2019-03-02
Aland Javier,Molestina Malta,ALANDMOLESTINAM,balzareno ejemplo pueblo pujante 24 marzo votar Participacion Ciudadana BolsillosHonestos CPCCS AlandMolestinaConsejero,2019-03-03
Aland Javier,Molestina Malta,ALANDMOLESTINAM,mismo hoy plantear anule voto eliminir CPCCS mismo valentia pedir elimine Asamblea Nacional Elecciones2019EC AlandMolestinaConsejero,2019-03-03
Aland Javier,Molestina Malta,ALANDMOLESTINAM,ManuRecharged marialocorrear carlosfigueroa6 davidroserow Gracias confianza hacer referencia tarz28 enunciado Ecuador Eterno falso casi totalidad ano decir cargo frontera norte Guayaquil favor chequee google Llegare CPCCS combatir corrupto,2019-03-06
Aland Javier,Molestina Malta,ALANDMOLESTINAM,deber dejar yo intimidar aquel levantar voz participacion ciudadano derecho defender él radioaguilar pais camino firme CPCCS concertacioncivicanacional Elecciones2019EC,2019-03-06
Aland Javier,Molestina Malta,ALANDMOLESTINAM,mientras gritar voto nulo recorro Ecuador empoderar ciudadania derecho participar tomar decisión pais CPCCS bolsilloshonesto AlandMolestinaConsejero,2019-03-07
