nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,Mujeresconderechos JusticiaDignidadyTransparencia CPCCs,2019-02-21
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,Cpccs marlenemontesino casillero9  Elecciones2019EC,2019-03-06
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,hacer participacion ciudadano herramiento real hacer sociedad territorio democracia efectivo Cpccs marlenemontesino casillero9  Elecciones2019EC,2019-03-07
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,marlenemontesino compromiso ciudadania invito hacer parte transformacion recuperacion institucionalidad 24 marzo casillero9  Elecciones2019EC,2019-03-07
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,mujeresconderecho hacer actoria referencia etico coherencia transparencia gracia dar voto confianza marlenemontesino casillero9  Elecciones2019EC,2019-03-07
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,mujeresconderecho hacer cada lugar mundo espacio rebeldia oportunidad hacer mundo mejor lucha constante 8 M querer felicitación querer justicia equidad respetar marlenemontesino CPCCS,2019-03-08
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,hoy 8 M participar junto mujer diverso gracia cordial invitacion EmpoderateMujer marco Dia Internacional Mujeres MujeresConDerechos agenda politico claro generar mas participacion inclusion,2019-03-08
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,fortaleza siempre sero empatiar necesidad persona hacer dia visitar Manabi mision ayudar valor practicar Solidaridad,2019-03-08
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,8 M Quito espacio conmemoracion compartir organización mujer diverso gracias CONSEJO CONSULTIVO MOVILIDAD HUMANA casillero9 marlenemontesino cpccs,2019-03-10
Marlene Clementina,Montesinos Zabalu,MarleMontesinos,Manabi Solidaridad Ayuda humanitario ciudad Manta barrio santa Cecilia 4 familia damnificado entrega kit ayuda humanitario MarleneMontesinos,2019-03-10
