nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Graciela Viviana,Mora Ramirez,GracielaMoraEc,hoy atendi entrevista radio radioi99 Tv Satelital ciudad Guayaquil jornado previsto reunir yo organización social compartire propuesto recuperar poder ciudadano ibasta abuso atropel él Constitucion,2019-02-19
Graciela Viviana,Mora Ramirez,GracielaMoraEc,Comparto agendir desarrollarar miercol Guayaquil invitar escuchar entrevista conocer propuesto Pueblo organizado informado movilizado ir recuperar poder ciudadano,2019-02-20
Graciela Viviana,Mora Ramirez,GracielaMoraEc,norma claro Consejo Transitorio atropellado Constitucion tratar cumplir norma solo convenir caso decir servir Reitero ir revisar acción Consejo Transitorio Entrevista RadioRumbaEc,2019-02-20
Graciela Viviana,Mora Ramirez,GracielaMoraEc,defender publico tambien lucha corrupcion consultar estudiante amas casa trabajador pueblo si estir acuerdo privatización poder ser concesionar empresa rentable,2019-02-20
Graciela Viviana,Mora Ramirez,GracielaMoraEc,llamado pedir baje tono decir vinculacion partidista ningun personaje politico hoja vido ser revisar derecho rev,2019-02-20
Graciela Viviana,Mora Ramirez,GracielaMoraEc,ecuadoralasurna gracielamoraec poder rendir yo FMI prestamir entregar empresa,2019-02-20
Graciela Viviana,Mora Ramirez,GracielaMoraEc,ecuadoralasurna GracielaMoraEc postular ocupar puesto CPCCS Escuchemos propuesta,2019-02-20
Graciela Viviana,Mora Ramirez,GracielaMoraEc,ecuadoralasurna gracielamoraec pueblo mandante soberano poder exigir respuesta,2019-02-20
Graciela Viviana,Mora Ramirez,GracielaMoraEc,ahora mas nunca pueblo organizado informado movilizado Guayaquil junto trabajador CNT defender derecho trabajo privatización,2019-02-21
Graciela Viviana,Mora Ramirez,GracielaMoraEc,Consejo Nacional Electoral deber realizar escrutinio cpccs papeleta seccional tratar él eleccion autoridad nacional entidad mas importante Funcion Transparencia proximos dia entregare solicitud formal,2019-02-21
Graciela Viviana,Mora Ramirez,GracielaMoraEc,hoy tendre agrado visitar ciudad mas dulce Ecuador querido Milagro provincia Guayas Comparto agendir actividad felizjuev,2019-02-21
Graciela Viviana,Mora Ramirez,GracielaMoraEc,grato compartir lider urbano mujer Guayaquil propuesto recuperar poder ciudadano nadie confundar solo junto llegarer cpccs ipueblo organizado informado movilizado,2019-02-21
Graciela Viviana,Mora Ramirez,GracielaMoraEc,hoy comparto propuesto gente Manabi,2019-02-22
Graciela Viviana,Mora Ramirez,GracielaMoraEc,punto culminar extenso productivo jornada visita Carmen invencible Pedernales Portoviejo entranable provincia Manabi Manana estarir Chone conversar gente prenso promover participacion ciudadano,2019-02-23
Graciela Viviana,Mora Ramirez,GracielaMoraEc,gracielamoraec Casillero 8,2019-02-23
Graciela Viviana,Mora Ramirez,GracielaMoraEc,wilfridolaz OlindoParticipa davalos2019 GracielaMoraEc VickyDesintonio MashiRafael c espinozaec dar él cuenta pueblo ecuatoriano ir votar candidato CPCCS querer eliminar todo sinverguencerio realizado CPCCS T ahora estar tramar hacer creer encuesta mentirosa persona ir votar segun ocurrir anula,2019-02-23
Graciela Viviana,Mora Ramirez,GracielaMoraEc,voto gracielamoraec detener,2019-02-23
Graciela Viviana,Mora Ramirez,GracielaMoraEc,wilfridolaz OlindoParticipa davalos2019 GracielaMoraEc VickyDesintonio MashiRafael c espinozaec Cuidado CNE puesto Trujillo cumplir ultimo capricho elección declarar nulo eleccion CPCCS preparacion previo escenario,2019-02-23
Graciela Viviana,Mora Ramirez,GracielaMoraEc,querer marcar tendencia voto NULO Medardo Oleas sugerir grupo candidato pretender tomar él CPCCS tanto subjetivo malo fe criterio OlindoParticipa davalos2019 GracielaMoraEc VickyDesintonio MashiRafael c espinozaec,2019-02-23
Graciela Viviana,Mora Ramirez,GracielaMoraEc,mensaje trabajador maltratado provincia Oro,2019-02-23
Graciela Viviana,Mora Ramirez,GracielaMoraEc,agradezco corazon respaldo sector minero artesanal dialoguir hoy Arenales parroquia Crucita Manabi especial Roque Delgado representante,2019-02-24
Graciela Viviana,Mora Ramirez,GracielaMoraEc,evaluar acción Consejo Transitorio apoyar trabajador ciudadano luchar privatización empresa publica dos propuesta candidata CPCCS definitivo,2019-02-24
Graciela Viviana,Mora Ramirez,GracielaMoraEc,tercer eje plan trabajo derecho migrant ecuatoriano salir oleada tras crisis bancario ano 1999 deber ser incluir tomar decisión Ecuador deber haber ciudadano primero segundo,2019-02-24
Graciela Viviana,Mora Ramirez,GracielaMoraEc,Manabi recibi respaldo ciudadano Aqui representante construccion civil pescador artesanal Solo participacion ciudadano lograr cambio necesitar pai ipueblo organizado informado movilizado,2019-02-25
Graciela Viviana,Mora Ramirez,GracielaMoraEc,rechazar pretensión rifar mejor postor cierto interés creado bien publico Respaldo todo iniciativa ciudadano oponer privatización,2019-02-25
Graciela Viviana,Mora Ramirez,GracielaMoraEc,solicitado formalmente presidenta Consejo Nacional Electoral DianaAtamaint escrutinio consejero CPCCS realizar autoridad seccional tratar él eleccion unipersonal,2019-02-26
Graciela Viviana,Mora Ramirez,GracielaMoraEc,solicitado formalmente presidenta Consejo Nacional Electoral DianaAtamaint escrutinio consejero CPCCS realizar autoridad seccional tratar él eleccion unipersonal lado derecho razon,2019-02-26
Graciela Viviana,Mora Ramirez,GracielaMoraEc,art 105 Constitucion establecer ciudadano gocir derecho politico podrar revocar autoridad eleccion popular acompanar hermano migrant iniciativo planteado ayer CNE,2019-02-27
Graciela Viviana,Mora Ramirez,GracielaMoraEc,democracia deber vaivir indecisión senor Guillermo Lasso hacer ano promovio entusiasmo siete vez Si ahora abanderado campán voto nulo voluntad popular deber sujeto capricho banquero,2019-02-27
Graciela Viviana,Mora Ramirez,GracielaMoraEc,Organizacion Americanos OEA oficial traves gerardodeicazar atendido preocupacion respecto necesidad garantizar elección transparente limpio Mision Observadores pedido reunir él candidato cpccs definitivo,2019-02-27
Graciela Viviana,Mora Ramirez,GracielaMoraEc,jueves 28 febrero estare programa Contacto Directo ecuavisar exponer propuesto GracielaEsPueblo,2019-02-28
Graciela Viviana,Mora Ramirez,GracielaMoraEc,Revision acción Consejo transitorio Defensa derechos migrant Respaldo iniciativa ciudadano revocatorio mandato gracias diario elcomerciocom permitirme dar conocer propuesta,2019-02-28
Graciela Viviana,Mora Ramirez,GracielaMoraEc,wilfridolaz c espinozaec davalos2019 wgomezr VickyDesintonio OlindoParticipa Sandinin xaguilarv Efrancoloor Ecuador existir vaca sagrado divinidad pretender elevar él encima bien mal Vamos firmezar revisar todo acción senor transitorio cuyo tiempo terminar estir salido,2019-02-28
Graciela Viviana,Mora Ramirez,GracielaMoraEc,Mision Electoral OEA oficial reunirar candidato CPCCS tras solicitud entregue 1 febrero Quito Expresaremos preocupacion campán voto nulo deficiente mal planificado promocion electoral,2019-02-28
Graciela Viviana,Mora Ramirez,GracielaMoraEc,Consejo transitorio incurrio ilegalidad designar Corte Constitucional pueblo mandante dar apoyo revisar actuado Consejo nombrado dedo,2019-02-28
Graciela Viviana,Mora Ramirez,GracielaMoraEc,ah votar CPCCS,2019-02-28
Graciela Viviana,Mora Ramirez,GracielaMoraEc,Jorgcaceres davalos2019 VickyDesintonio poder radicar pueblo politico fracasado Cuento voto Jorge,2019-02-28
Graciela Viviana,Mora Ramirez,GracielaMoraEc,gracielamoraec total apoyo Chimborazo Colta usted,2019-02-28
Graciela Viviana,Mora Ramirez,GracielaMoraEc,candidata,2019-02-28
Graciela Viviana,Mora Ramirez,GracielaMoraEc,Companera Graciela si defender Derechos Patria Pueblo Soberano Ecuatoriano mismo Pueblo contigo mayoria votar Ustedes revisen sancionir Corrupcion Violacion Constitucion,2019-02-28
Graciela Viviana,Mora Ramirez,GracielaMoraEc,seguir entrevista vivo Facebook Live,2019-03-03
Graciela Viviana,Mora Ramirez,GracielaMoraEc,SOBREPASARON LIMITES acabar agotar paciencia apoyo acción trabajador salud emprenderar calle hacer respetar derecho venceran Graciela MORA junto pueblo,2019-03-03
Graciela Viviana,Mora Ramirez,GracielaMoraEc,solidaridad VickyDesintonio gracielamoraec candidata CPCCS violencia politico mujer epocar cuantico parte diar diar soportar mujer maltratado medios comunicacion,2019-03-06
Graciela Viviana,Mora Ramirez,GracielaMoraEc,permitamo violencia politico mujer normalizar solidaridad VickyDesintonio GracielaMoraEc complices si quedar callado violencia mujer solo hacer uso derecho constitucional participacion politico,2019-03-06
Graciela Viviana,Mora Ramirez,GracielaMoraEc,bastar violencia machista hoy entregue delegacion OEA oficial Quito denunciar epiteto denigrant violento nefasto personaje creer pasado historia Ecuador infirio candidata CPCCS,2019-03-07
Graciela Viviana,Mora Ramirez,GracielaMoraEc,PabloPonce VickyDesintonio Gracias Pablo deber naturalizar tipo comportamientos develar inmadurez primitivismo politico cierto personaje saludo,2019-03-07
Graciela Viviana,Mora Ramirez,GracielaMoraEc,buen dia Comparto agendir desarrollare jueves hermoso ciudad Esmeraldas GracielaEsPueblo,2019-03-07
Graciela Viviana,Mora Ramirez,GracielaMoraEc,hoy esmeralda conver él periodista caribefm95 canal 5 mensaje necesario llegar Consejo Participacion Ciudadana impulsar mecanismo involucrar gente recuperacion derechos reinstitucionalizacion pais,2019-03-07
