nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Mónika Mariuxi,Moreira Moran,monka78,sociedad justo equitativo aspiracion ecuatoriano Trabajemos junto lograr él diamundialdelajusticiasocial JusticiaSocial EquidadYJusticia ONU onumujeresEcu ONUecuador,2019-02-20
Mónika Mariuxi,Moreira Moran,monka78,homenaje dedicar vida defender promover cumplimiento derechos ciudadano comprometer negociar principio diadelabogado DiaDelAbogadoEcuatoriano,2019-02-20
Mónika Mariuxi,Moreira Moran,monka78,Feliz diar Gracias heroes bata estetoscopio cuidar preservar salud EdwinVeraGarijo MSPEcuador IESSHTMC redprosalud cz8 Redprosalud diadelmedicoecuatoriano DiaDeMedicoEc DiaDelMEDICO heroesconbatas diir,2019-02-21
Mónika Mariuxi,Moreira Moran,monka78,Anular voto limitar capacidad ciudadano derecho asumir ejercicio responsable democracia deber intentar minimizar legitimidad unico organismo representar voz EleccionesCPCCS LaVozDeLosTrabajadoresEc Elecciones2019EC participacionpc,2019-02-21
Mónika Mariuxi,Moreira Moran,monka78,recordemos mantener calma implementar plan evaluacion informarnos canal oficial IGecuador caso evacuacion brinder ayuda necesitar asistencia nino adulto mayor mujer embarazado persona discapacidad sismo,2019-02-22
Mónika Mariuxi,Moreira Moran,monka78,recordemos mantener calma implementar plan evacuacion informarno canal oficial IGecuador caso evacuacion brinder ayuda necesitar asistencia nino adulto mayor mujer embarazado persona discapacidad sismo,2019-02-22
Mónika Mariuxi,Moreira Moran,monka78,actividadescut hoy presente asamblear RedDeMaestros demostrar vez mas unidad gremio sindical clave exito luchar trabajador pai GomezlRichard RedMaestrxsZon8 monka78,2019-02-23
Mónika Mariuxi,Moreira Moran,monka78,hoy participe Asamblea Nacional EcuadorRed unidad fortaleza magisterio maestro mientras luchar derecho tambien ensena LaVozDeLosTrabajadoresEc,2019-02-23
Mónika Mariuxi,Moreira Moran,monka78,magisterio unido motivado firme objetivo reunio hoy Guayaquil Asamblea Nacional definir acción reinvindicacion mejoramiento maestros Ecuador EcuadorRed GomezlRichard monka78 EcuadorCut AgustinLindao RedMaestrxsZon8,2019-02-23
Mónika Mariuxi,Moreira Moran,monka78,monka78 EcuadorRed RTrabajadoras FedelecEcuador EcuadorCut cometer coazucar ComiteCNELEP ComiteStd Sind GLR Daule sitraung cut guayos RedMaestrxsZon8 Vamos companerar Monica fuerza,2019-02-23
