nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Teddy Gustavo,Tama Aguirre,TamaApoyo,paolacabezasc CarlaMaldonadoP Conmigo querer construir historia sucio solo respetable vida proba academico estar cuestionamiento Espinosa Ministro q permitio tanto violación ciento NINOS JusticeVeraEC AlecCardenas PedritoExtranja ramirogarciaf larepublica ec,2019-02-19
Teddy Gustavo,Tama Aguirre,TamaApoyo,paolacabezasc carlamaldonadop foto usted deber subir JAMAS olvidar JCTrujilloCPCCS Ma AleCevallos simonespinosa28 DrRobertoLopez2 omarmaluk AnaMinga pichondedino verdaderos perseguido ROBOLUCION olvidamos,2019-02-19
Teddy Gustavo,Tama Aguirre,TamaApoyo,paolacabezasc carlamaldonadop foto despreciable repudiable verguenza usted gran AMIGO espinoso bailar MashiRafael mientras violar ciento nino usted hacer silencio usted complicar prohibidoolvidarcompanerito PedritoExtranja 4pelagatos4,2019-02-19
Teddy Gustavo,Tama Aguirre,TamaApoyo,paolacabezasc carlamaldonadop evento academico hacer ano junto lenhurtado usted asumir MPD falso mentira querer deslegitimar participacion candidato sola mancha vida natasha rojo davidroserow ser correisto verguenza olvidar,2019-02-19
Teddy Gustavo,Tama Aguirre,TamaApoyo,hoy estarar conversatorio organizado Asamblea Ciudadana Ecuador AsambleaEcu RadioMorena640 junto alandmolestinam jovitafonfay companero candidato CPCCS CNE TEDDY TAMA Elecciones2019EC,2019-02-19
Teddy Gustavo,Tama Aguirre,TamaApoyo,hoy estarar conversatorio organizado Asamblea Ciudadana Ecuador AsambleaEcu RadioMorena640 junto alandmolestinam jovitafonfay companero candidato CPCCS CNE TEDDY TAMA elecciones2019ec 4pelagatos4,2019-02-19
Teddy Gustavo,Tama Aguirre,TamaApoyo,angsrm7  ALBERTOACOSTAB justicia siempre ser ideal permitire seguir destruir pais menos silenciar voz ciudadania querer ciudadania escuchado poder juzgar controlar cada gobernante hacer,2019-02-19
Teddy Gustavo,Tama Aguirre,TamaApoyo,Mas Gracias Asamblea Ciudadana Ecuador asambleaecu ace magnifico evento contar espacio poder exponer propuesta RadioMorena640 seguir transmision vivo carlosrojasecu DrRobertoLopez2 andreselopeze,2019-02-20
Teddy Gustavo,Tama Aguirre,TamaApoyo,Conversatorio ciudadania Radio Morena junto companero candidato CPCCS,2019-02-20
Teddy Gustavo,Tama Aguirre,TamaApoyo,Charla escuela formacion politico Manuel Carrion Pinzano seguir compartir ensenar importancia rol ciudadania CPCCS elecciones2019 faustoyepez ALANDMOLESTINAM rodolfobb54 danilotayopanta elchuro DrRobertoLopez2,2019-02-21
Teddy Gustavo,Tama Aguirre,TamaApoyo,jueves 21 viernes 22 febrero invito conocer propuesta candidato Consejo Participacion Ciudadana Control Social CPCCS Agenda Actividades LOJA Ecuador CPCCS TeddyTama democracia elecciones2019 Loja Hora25Ec ifpovedar ivaovejo,2019-02-21
Teddy Gustavo,Tama Aguirre,TamaApoyo,hoy Loja compartir mas radio Luz Vida propuesto CPCCS Consejo Participacion Ciudadana Control Social JovitaFonFay JCTrujilloCPCCS HonoSantistevan higuerahernar pichondedino,2019-02-21
Teddy Gustavo,Tama Aguirre,TamaApoyo,sintonicir Radio Satelital conocer mas propuesta CPCCS,2019-02-21
Teddy Gustavo,Tama Aguirre,TamaApoyo,loja honor haber poder compartir distinto medio poder dar conocer propuesta CPCCS vez cuan importante dentro organismo cadenaecotel tomebamba,2019-02-21
Teddy Gustavo,Tama Aguirre,TamaApoyo,loja Agradecido Diario Hora lojalahorar entrevista diar hoy candidato Consejo Participacion Ciudadana Control Social CPCCS Ecuador TeddyTama democraciar elecciones2019 LaPosta Ecu 4pelagatos4,2019-02-21
Teddy Gustavo,Tama Aguirre,TamaApoyo,Agradecido entrevistar diar hoy seguir dar conocer propuesta candidato Consejo Participacion Ciudadana Control Social Ecuador CPCCS TeddyTama democracia elecciones2019 lojo,2019-02-21
Teddy Gustavo,Tama Aguirre,TamaApoyo,agrado visitar MatovelleRadio 100 1fm comparti propuesta candidato Consejo Participacion Ciudadana Control Social resalte importancia rol ciudadania CPCCS omarmaluk NotiCarrousel FLACSOSG Cascabelito09 teleamazonasec,2019-02-22
