nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Hernán Stalin,Ulloa Ordonez,HernanUlloa,hernanulloa abogado gano respeto admiracion defender caso nina urbanizacion decir familia amigo votar Ud seguro aca Pedernales tendro varios voto,2019-02-19
Hernán Stalin,Ulloa Ordonez,HernanUlloa,dama rosa SuExcelencia Vota hernanulloa excelente profesional calle Correismo nulo conveniente respeto decision ayudemos vez voto candidato conocer leal sero comunicar anomalia,2019-02-19
Hernán Stalin,Ulloa Ordonez,HernanUlloa,momento abogado hernanulloa participar conversatorio candidato Consejo Participacion Ciudadana Control Social CPCCS organizado Asamblea Ciudadana Ecuador ACE auditorio RadioMorena640 centro Guayaquil,2019-02-20
Hernán Stalin,Ulloa Ordonez,HernanUlloa,hernanulloa ONU derecho cnegobec estimado hernanulloa Agradecemos aceptacion Candidatura Consejero CPCCS Anexo confirmacion constancia detalle Propuesta 4 COMPROMISOS Pacto Etico Miguel Ernesto Santacruz Paredes Representante Legal corporacionges,2019-02-20
Hernán Stalin,Ulloa Ordonez,HernanUlloa,informir actividad abogado hernanulloa candidato Consejo Participacion Ciudadana Control Social CPCCS Elecciones7ConsejerosCPCCS24marzo2019 EleccionesCPCCS Elecciones2019EC,2019-02-20
Hernán Stalin,Ulloa Ordonez,HernanUlloa,hernanulloa candidato CPCCS proponer 1 Promover Participacion Ciudadana hacer valer derechos 2 Luchar corrupcion actuar parte procesal Conversatorio realizado Asamblea Ciudadana Ecuador auditorio radiomorena640,2019-02-20
Hernán Stalin,Ulloa Ordonez,HernanUlloa,hernanulloa candidato CPCCS proponer 1 Promover Participacion Ciudadana hacer valer derechos 2 Luchar corrupcion actuar parte procesal Conversatorio realizado Asamblea Ciudadana Ecuador EleccionesCPCCS Elecciones2019EC,2019-02-20
Hernán Stalin,Ulloa Ordonez,HernanUlloa,Conversatorio llevar cabo momento evento organizado Asamblea Ciudadana Ecuador ser cordialmente invitado hernanulloa candidato candidata CPCCS eleccionescpccs,2019-02-20
Hernán Stalin,Ulloa Ordonez,HernanUlloa,Tuco entrevista radioi99 Mil gracias ciudadania permitidme ingresar hogar propuesto CPCSS,2019-02-20
Hernán Stalin,Ulloa Ordonez,HernanUlloa,Estimados colega feliz diar,2019-02-20
Hernán Stalin,Ulloa Ordonez,HernanUlloa,Estimados colega feliz diar,2019-02-20
