nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Jorge,Villacreses,jorgevillacrese,Turismo Guayaquil ciudad miedo alto grado percepcion inseguridad propuesta devolver tranquilidad guayaquileno GuayaquilSeguro Alcalde2019 AlguacildelaSeguridad,2019-02-19
Jorge,Villacreses,jorgevillacrese,ir contar centro monitoreo estarir escuadrón drón estarir ubicado zona mas conflictivo Policia ir manejar sistema aportar dar herramienta guayaquilseguro Alcalde2019 EcuatorianoUnido AlguacildelaSegurida,2019-02-19
Jorge,Villacreses,jorgevillacrese,listo microfono 680radioatalaya AlguacilDelaSeguridad Alcalde2019 EcuatorianoUnidoLista4 GuayaquilSeguro,2019-02-19
Jorge,Villacreses,jorgevillacrese,hoy estare 11h00 CNE Guayas solicitar exija Dir Provincial EcuatorianoUnidoLista4 asigne pauta publicitario ley corresponder candidato derecho mensaje difundar medio comunicacion Alcalde2019,2019-02-19
Jorge,Villacreses,jorgevillacrese,excelente diar iniciar jornada teleramaec invito seguirnos vivo AlguacilDelaSeguridad Alcalde2019 EcuatorianoUnidoLista4,2019-02-20
Jorge,Villacreses,jorgevillacrese,alcalde ir crear 10 escuadrón cada 5 drón serar manejado Policia querer tener GuayaquilSeguro AlguacilDelaSeguridad Alcalde2019 VotaSinMiedo lista4,2019-02-20
Jorge,Villacreses,jorgevillacrese,buscar modelo exitosos país hacer Guayaquil AlguacilDelaSeguridad GuayaquilSeguro Alcalde2019 EcuatorianoUnidoLista4,2019-02-20
Jorge,Villacreses,jorgevillacrese,Entrevista teleamazonasec junto Juan Manuel Bermudez tambien candidato Alcaldia denunciar uso pauta publicitario partir directivo Guayas EcuatorianoUnidoLista4 LibertadEsPueblo,2019-02-20
Jorge,Villacreses,jorgevillacrese,invitar seguir entrevista MasAllaDeLasUrnas marielaviteri fmradiofuego MarielaTV contar él propuesta mas tema AlguacilDelaSeguridad GuayaquilSeguro Alcalde2019,2019-02-26
Jorge,Villacreses,jorgevillacrese,buen dia breve estare canal TvDigital contar guayaquileno propuesta Alcaldia2019,2019-02-27
Jorge,Villacreses,jorgevillacrese,objetivo fortalecer Seguridad Guayaquil escuadrón Drones dar capacitacion herramienta informal organizarlo ambos propuesta ir mano uso tecnologia AlguacildelaSeguridad EcuatorianoUnido Lista4 Alcaldia2019,2019-02-27
Jorge,Villacreses,jorgevillacrese,vivo RadioHuancavilk conversarar propuesto Alcalde2019 AlguacilDelaSeguridad Lista4 EscuadronDeDrones camarasdereconocimientofacial,2019-02-27
Jorge,Villacreses,jorgevillacrese,invitar 19h00 sintonizar teleramaec eluniversocom conocer propuesta debate organizado ecuadordecidir alguacildelaseguridad guayaquilseguro GuayaquilSinMiedo VotaSinMiedo lista4,2019-02-28
Jorge,Villacreses,jorgevillacrese,Nota periodistico Expresoec debatir gracios informar embargo deber aclarar 1 minuto tiempo exponer imposible ampliar cifra detall propuesto,2019-03-01
Jorge,Villacreses,jorgevillacrese,CynthiaViteri6 radioelite9971 Estimada candidata habrio gustado participe debate conocer nuevo propuesta plan trabajo notariado cnegobec eluniversocom Expresoec ecuavisar teleamazonasec,2019-03-01
Jorge,Villacreses,jorgevillacrese,jimmyjairala cendemocratico Entiendo fijacion garrote ahi ver gente apoyo candidato Jorge Villacreses Partido Social Cristiano ahora bien turbo Ud senala pareceria comenzar simpatizante pancarta Villacreses estatico ahi,2019-03-02
Jorge,Villacreses,jorgevillacrese,turba socialcristiano ahora tambien duena peaje via Costa agredir hombre mujer cendemocratico reducido numero comenzar organizar él siempre ASI BASTA GARROTE bastadegarrotepsc ,2019-03-02
Jorge,Villacreses,jorgevillacrese,ec decidir JairalaTeApoyo BermudezBronson jimmyjairala jorgevillacrese cedeno marth GinoCornejoM grupofaro eluniversocom corapesatelital teleramaec Felicidades mejor manera saber candidato proyecto alcaldiar ciudad aquel acudir lastimo estar altura Guayaquilenos si GUERREROS,2019-03-04
Jorge,Villacreses,jorgevillacrese,preparado contar guayaquileno propuesta Alcaldia2019 CanalUnoTv,2019-03-06
Jorge,Villacreses,jorgevillacrese,alcalde ir presidir Consejo Seguridad cantonal dare policia herramienta drón camara reconocimiento facial detectar delincuente ciudad seguro traer Turismo inversion AlguacilDelaSeguridad Alcalde2019 EcuatorianoUnido,2019-03-06
Jorge,Villacreses,jorgevillacrese,vivo ondapositiva941 expondre propuesta GuayaquilSeguro AlguacilDelaSeguridad GuayaquilSeguro votasinmiedo,2019-03-06
Jorge,Villacreses,jorgevillacrese,buenos dia invito escucharme radioi99 ampliar propuesta Alcalde2019 AlguacilDelaSeguridad GuayaquilSeguro EcuatorianoUnidoLista4,2019-03-11
Jorge,Villacreses,jorgevillacrese,testigo Exclusas Guayaquil recorridir campán asalto logro someter delincuente escapo mostrar nivel inseguridad ir combatir tecnologia EscuadronDeDrones EcuatorianoUnido Lista4,2019-03-11
Jorge,Villacreses,jorgevillacrese,gracias radioaguilar entrevista Vamos guayaquilseguro votar 24demarzo alguacildelaseguridad candidato movimientoecuatorianounido Lista4 EscuadronDeDrones,2019-03-11
Jorge,Villacreses,jorgevillacrese,invito acompanir escuchar propuesta alcaldiadeguayaquil radiocentroec AlguacilDelaSeguridad GuayaquilSeguro MovimientoEcuatorianoUnido Lista4,2019-03-11
Jorge,Villacreses,jorgevillacrese,querer dar Seguridad Guayaquil experiencia bajare indiz delictivo trabajar coordinacion Policia aviacioncivil implementar escuadrondedrón camara reconocimiento facial AlguacilDelaSeguridad Alcalde2019 EcuatorianoUnido,2019-03-11
Jorge,Villacreses,jorgevillacrese,buenos dia invito escucharme radioi99 ampliar propuesta Alcalde2019 AlguacilDelaSeguridad GuayaquilSeguro EcuatorianoUnidoLista4,2019-03-11
Jorge,Villacreses,jorgevillacrese,invitar escucharme RADIOAMERICAEC AlguacilDelaSeguridad Alcalde2019 EcuatorianoUnidoLista4,2019-03-12
Jorge,Villacreses,jorgevillacrese,pasar gran momento trasnochadostc candidato seccional Guayas AlguacilDelaSeguridad Alcalde2019 EcuatorianoUnidoLista4,2019-03-13
