nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Jorge,Yunda,LoroHomero,Disfrutamos linda noche Barrio ElConde4 gracias recibimiento tanto emotivo permitirno compartir plan trabajo LoroHomero futuro Alcalde Quito VotaTodo19 quitograndeotravez,2019-02-17
Jorge,Yunda,LoroHomero,gran recibimiento ALANGASI tingo futuro concejal rural Listas 19 Jorge Yunda ALCALDE QUITO LoroHomero PanasJorgeYunda jorenpanyun3 renebedon santiguarderas joseph maurici TVCLaComunidad BolivarArmijos MauricioRodasEC luisfer593 stalindo1977,2019-02-18
Jorge,Yunda,LoroHomero,Animal Viral LoroHomero mimado novia,2019-02-18
Jorge,Yunda,LoroHomero,HENRY DESCANSA 2019 19 ALANGASI Dr JORGE YUNDA ALCALDE QUITO LoroHomero santiguardera PanasJorgeYunda jorenpanyun3 joseph maurici RpcJorge luisfer593,2019-02-18
Jorge,Yunda,LoroHomero,felizmart mil persona cantar cancion letro LoroHomero artista alcalde apoyar joven tarde hacer deporte danza musico teatro quitograndeotravez LilianaYunda santiguardera patricioubidiab,2019-02-19
Jorge,Yunda,LoroHomero,terminar recorrido mercado cuadra Sur querido Quito Junto LoroHomero hacer regresen obra empleo seguridad gracias apoyo,2019-02-19
Jorge,Yunda,LoroHomero,martes 9 Agosto 1938 ALANGASI sufrio terremoto asolo pueblo iglesia perdio cupular quedo cuarteado poco dias empezo reconstruccion ver unidad Alangasenos LoroHomero 24horasUIO TVCLaComunidad mauriciorodasec PatrimonioYC Ec,2019-02-20
Jorge,Yunda,LoroHomero,SporTv EC junto juanmaguirre1 presidente SDQUITO candidato concejal capital Lista19 LoroHomero,2019-02-20
Jorge,Yunda,LoroHomero,Quito LoroHomero Moncayo liderar encuesta Alcalde personal veo LoroHomero plan trabajo bien organizado real venir Marzo,2019-02-20
Jorge,Yunda,LoroHomero,hoy compartir gran dia LoroHomero Liga Barrial San Andres King quitograndeotravez PanasJorgeYunda AntonioJoseDeSucre Concejal2019,2019-02-20
Jorge,Yunda,LoroHomero,mientras gastar 90 millón campán politico hospital Eugenio Espejo atencion quimioterapia medicamento Lenin LoroHomero PATODIAZGUEVARA AlejaDuqueR,2019-02-20
Jorge,Yunda,LoroHomero,Doctor Jorge Yunda LoroHomero seguir recorrer rincón capital escuchar mandant quitograndeotravez YundaEs19 yundaalcalde19,2019-02-20
Jorge,Yunda,LoroHomero,hoy miercol reunir gran equipo subir ilalo llegar cruz Futuros Concejales Rurales candidato gads parroquia Alangasi Merced lista 19 porunalangasituristico LoroHomero santiguarderas,2019-02-20
Jorge,Yunda,LoroHomero,ir futuro alcalde LoroHomero dar él Quito Pichincha seguridad preventivo Camaras video barrio Drones monitorear 24 7 Via majestadfm,2019-02-20
Jorge,Yunda,LoroHomero,querer diar obligación si pesimo servicio SRIoficialEc LoroHomero PATODIAZGUEVARA,2019-02-21
Jorge,Yunda,LoroHomero,buen dia caminant vida,2019-02-21
Jorge,Yunda,LoroHomero,Feliz diar colega,2019-02-21
Jorge,Yunda,LoroHomero,LoroHomero Lorito bien claro comparti q poner gente querer hacer mal mando saludo Miami espero q llegar alcaldio Art Danny,2019-02-21
Jorge,Yunda,LoroHomero,LoroHomero feliz diar Doctor exitos sur Quito espero visite barrio Rancho Pinos,2019-02-21
Jorge,Yunda,LoroHomero,LoroHomero far usted Quito ir salir adelante ir q poder Dr feliz di medico abrazo,2019-02-21
Jorge,Yunda,LoroHomero,LoroHomero Si FELIZ DIA tod s MEDIC s gracias gran labor,2019-02-21
Jorge,Yunda,LoroHomero,LoroHomero Dr Feliz diar,2019-02-21
Jorge,Yunda,LoroHomero,xavierozevallos pablo serrano88 creer tú ano 2016 elnacionalec llegar copa libertadores influencia equipo LoroHomero dejar 2015 estabilidad inicial Manjarrez cosecho,2019-02-21
Jorge,Yunda,LoroHomero,siempre junto pueblo hacer pequeno Hermano Dr Jorge Yunda LoroHomero contigo quitograndeotravez yundaalcalde19 yundaes19,2019-02-21
Jorge,Yunda,LoroHomero,LoroHomero propuesta taxista,2019-02-22
