nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,Buen dia Hoy Manabi invitados sintonizar medios estare invitada hablar CPCCS SofiaAlmeida,2019-02-20
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,ciudadanos derecho conocer mas funciones CPCCS tambien candidatos Consejo Participacion Ciudadana Control Social SofiaAlmeida SomosAnticorrupcion,2019-02-20
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,EcuadorALasUrnas SofiaAlmeidaEc candidata CPCCS Conozcamos propuestas institucion,2019-02-21
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,EcuadorALasUrnas SofiaAlmeidaEc entidades deben ser independientes Debemos revisar autoridades saber si personas indicadas ocupar puesto tanta responsabilidad,2019-02-21
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,EcuadorALasUrnas SofiaAlmeidaEc Debemos luchar corrupcion prevencion Copiar aquellos ejemplos internacionales buenos,2019-02-21
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,EcuadorALasUrnas SofiaAlmeidaEc creo lucha corrupcion debemos tener informacion traves plataforma informatica hace paises puede tener ciudadano informacion haciendo,2019-02-21
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,Gracias medios comunicacion bella ciudad Ibarra SofiaAlmeida experiencia necesaria cambiar falencias sector publico luchar corrupcion Juntos CPCCS SomosAnticorrupcion,2019-02-21
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,Empece trabajar abajo tropa ello conozco manejan entidades publicas CPCCS voy representar bien ciudadanos SofiaAlmeida PrevenirYSancionar SomosAnticorrupcion,2019-02-21
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,Buenos dias Hoy Tulcan visitare varios medios comunicacion gentilmente invitado hablar CPCCS,2019-02-22
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,Recorriendo linda sierra ecuatoriana SofiaAlmeida CPCCS,2019-02-23
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,vandocilla CPCCS davidroserow ChugchilanJaime Gracias respaldo Vladimir,2019-02-23
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,hermana Irene acompano recorrido varias ciudades 11 anos mayor veo recuerdo hace 11 anos vivido tiempo alegrias tristezas aciertos errores Ahi va resumen mejor graduacion universidad,2019-02-25
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,Buenos dias invitados sintonizar diferentes radios estare dia hoy invitada Hablare CPCCS propuestas SofiaAlmeida,2019-02-25
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,pregunto asesor politico Sr LassoGuillermo hace cometer tantos errores confabulado correismo promover voto nulo dejar candidatos impulsados Correa tomen CPCCS SofiaAlmeida,2019-02-25
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,mas 11 anos auditora sector publico saben auditar conocer primero procesos conozco maneja administracion publica conozco falencias cuales soluciones,2019-02-25
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,auditado universidades ministerios municipios diferentes empresas publicas muchas instituciones experiencia 11 anos Contraloria General cursos nacionales internacionales auditoria control validan,2019-02-25
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,experiencia 11 anos Contraloria General cursos nacionales internacionales auditoria control validan CPCCS necesita gente idonea lucha corrupcion altos valores morales,2019-02-25
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,CPCCS necesita gente idonea lucha corrupcion altos valores morales invito investigar 43 candidatos CPCCS trayectoria propuestas SofiaAlmeida SomosAnticorrupcion,2019-02-26
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,epelsita galobonifaz LassoGuillermo DiarioExtraEc EcuavisaInforma lahoraecuador Expresoec elnorteadiario mercurioec eldiarioec 1AlejandroGallo ChugchilanJaime Guillermolasso Asi,2019-02-26
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,FEUEnac Ecuador davidroserow ChugchilanJaime mauricio Fese Muchas gracias respaldo,2019-02-26
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,dia manana 08h00 estare Universidad Artes participando encuentro Construccion Democracia Participativa Territorio SofiaAlmeida CPCCS invitados,2019-02-27
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,voto nulo atentado democracia desobedecer Constitucion exige eleccion CPCCS SofiaAlmeida,2019-02-28
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,EcuadorDecide2019 espacio destinado ecuatorianos conozcan candidatos propuestas previo elecciones seccionales 2019 Hoy invitado SofiaAlmeidaEc candidata Consejo Participacion Ciudadana,2019-02-28
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,Hoy estare EcuadorDecide2019 espacio destinado ecuatorianos conozcan candidatos propuestas previo elecciones seccionales 2019 CPCCS SofiaAlmeida,2019-02-28
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,dia hoy Triunfo ciudad gente linda ganas saber mas CPCCS conocer derechos informados saber elegir personas correctas 24 marzo SofiaAlmeida SomosAnticorrupcion,2019-03-01
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,Ecuador pais tan hermoso diverso costas maravillosas Islas Galapagos montanas heladas selvas llenas flora fauna fenomenal Sigamos disfrutando bello pais moderacion familia amigos SofiaAlmeida,2019-03-04
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,despues largo feriado presento pequeno resumen vida academica profesional Gracias uees ec SofiaAlmeida juntos SomosAnticorrupcion,2019-03-06
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,shyrisique elnorteadiario mercurioec DiarioExtraEc eldiarioec Expresoec lahoraecuador EcuavisaInforma diarioqueec galobonifaz 1AlejandroGallo pertenezco ningun partido politico Solo busque nombre adjunto video mas informado Saludos,2019-03-06
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,shyrisique elnorteadiario mercurioec DiarioExtraEc eldiarioec Expresoec lahoraecuador EcuavisaInforma diarioqueec galobonifaz 1AlejandroGallo pertenezco ningun partido politico Solo busque nombre adjunto video mas informado Saludos,2019-03-06
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,dias encontre RadioMorena640 davidroserow ChugchilanJaime candidatos CPCCS conversando falta hacer lucha corrupcion coincidimos puntos SofiaAlmeida SomosAnticorrupcion,2019-03-07
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,Hoy estare ITBolivariano hablando CPCCS Estan invitados SofiaAlmeida SomosAnticorrupcion,2019-03-07
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,conversatorio Corruptos ITBolivariano Gracias todas personas asistido SofiaAlmeida SomosAnticorrupcion,2019-03-08
