nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,"Vengo organizaciones sociales Movimiento Indigena Ecuador , pertenezco ninguna tendencia partidista . # Jipijapa # CafeRadio # TuParticipacionEsLaSolucion # JaimeChugchilanEsParticipacion https : //t.co/UZj9w5jcWs",2019-02-19
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,"Vengo organizaciones sociales Movimiento Indigena Ecuador , pertenezco ninguna tendencia partidista . # Jipijapa # CafeRadio # TuParticipacionEsLaSolucion # JaimeChugchilanEsParticipacion https : //t.co/x8D5jguKRw",2019-02-19
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,Gracias periodistas @ LimberChilanCh # CesarDelgado # CafeRadio # Jipijapa entrevista hoy . # TuParticipacionEsLaSolucion # JaimeChugchilanEsParticipacion https : //t.co/QHipD5XNXs,2019-02-19
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,"# RadioCaribe # Manabi periodista , Franklin Castro , conversamos propuestas # CPCCS . # TuparticipacionEsLaSolucion # JaimeChugchilanEsParticipacion https : //t.co/yPOMhk6Fzt",2019-02-19
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,"Gracias Jefferson Calle recibimiento invitarme mercado # Jipijaja degustar ricos bolones chicharron , socializar propuestas # CPCCS # TuparticipacionEsLaSolucion # JaimeChugchilanEsParticipacion https : //t.co/WKMziHKJ1H",2019-02-19
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,Fortalecimos participacion ciudadana Conversatorio candidatos # CPCCS # Jipijaja . Gracias # Manabi acogida ! https : //t.co/r1iZpeNw92,2019-02-19
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,"Buen dia ! ! Hoy # Manabi , invitados sintonizar medios estare invitada hablar # CPCCS # SofiaAlmeida https : //t.co/TuyNzRzuoH",2019-02-20
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,"# Manabi compartimos jovenes importancia # CPCCS , jovenes viven participacion # TuparticipacionEsLaSolucion # JaimeChugchilanEsParticipacion https : //t.co/kQBpFvn0IJ",2019-02-20
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,"Vengo Movimiento Indigena Ecuador organizaciones sociales , pertenezco ninguna tendencia partidista represento ecuatorianos quieren pais mejor . @ RadioMorena # Guayaquil # TuparticipacionEsLaSolucion # JaimeChugchilanEsParticipacion https : //t.co/OYR7Zrn61I",2019-02-20
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,# Guayaquil entrevista @ WQRadio_EC compartimos microfono # FranklinMorenoQuezada dialogamos retos propuestas # CPCCS # TuparticipacionEsLaSolucion # JaimeChugchilanEsParticipacion https : //t.co/V7hH6Jxapm,2019-02-20
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,"# Guayaquil participamos Asamblea Ciudadana Ecuador , # TuparticipacionEsLaSolucion # JaimeChugchilanEsParticipacion https : //t.co/9envZzEM5d",2019-02-20
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,Invito ecuatorianos escoger buenos ciudadanos # CPCCS 24 marzo . # ManasurTV # Manabi # TuparticipacionEsLaSolucion # JaimeChugchilanEsParticipacion https : //t.co/zgVJ38Yr0v,2019-02-20
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,"Estimados colegas , feliz dia https : //t.co/FWCVL2ALDr",2019-02-20
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,"trabajo enseno responsabilidad , dignifico vida impulsamos jovenes participen procesos ciudadanos # CPCCS escuchando . # TuparticipacionEsLaSolucion # JaimeChugchilanEsParticipacion https : //t.co/UuanD65a9x",2019-02-20
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,Feliz Dia colegas abogados ! https : //t.co/RqUd8tJUro,2019-02-20
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,"importante medios comunicacion esten atentos clamor ciudadano , herramientas ser objetivos transparentes . Gracias # Angelita , Colegio Periodistas Guayas Franklin Moreno . # TuParticipacionEsLaSolucion # JaimeChugchilanEsParticipacion https : //t.co/pXB9SFQ3lk",2019-02-20
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,@ vandocilla @ CPCCS @ davidroserow @ SofiaAlmeidaEc Gracias amigo saludos,2019-02-23
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,", voto nulo dejar sectores secuestraron @ CPCCS pasado regrese . voto sera : @ davidroserow @ SofiaAlmeidaEc @ ChugchilanJaime",2019-02-23
Jaime Rubén,Chugchilan Cisaguano,ChugchilanJaime,Recorriendo # Guayaquil conversando gente dando conocer propuestas # CPCCS Dr. Franklin Moreno Quezada . # TuParticipacionEsLaSolucion # JaimeChugchilanEsParticipacion https : //t.co/cKDXkEOag9,2019-02-24
