nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Victoria Tatiana,Desintonio Malave,VickyDesintonio,# ManabiEsVictoria Amigas amigos deseo ustedes # FelizMartes querida # Manabi . # VictoriaDeLaPatria # Ecuador # EleccionesCPCCS # Elecciones2019EC # CPCCS https : //t.co/FlYy7Wyu4M,2019-02-19
Victoria Tatiana,Desintonio Malave,VickyDesintonio,"# ManabiEsVictoria || Resumen actividades : Participe Conversatorio Organizaciones Sociedad Civil , invitada ciudad # Portoviejo # VictoriaDeLaPatria # EleccionesCPCCS # CPCCS https : //t.co/KAAnoYEtrb",2019-02-19
Victoria Tatiana,Desintonio Malave,VickyDesintonio,"AHORA || Conversatorio : Participacion Ciudadana # EleccionesCPCCS Invitadas @ VickyDesintonio @ GracielaMora , candidatas # CPCCS",2019-02-19
Victoria Tatiana,Desintonio Malave,VickyDesintonio,HOY 20H30 || invito seguir transmision vivo @ lineaduraec # VictoriaDeLaPatria # Casillero6,2019-02-19
Victoria Tatiana,Desintonio Malave,VickyDesintonio,HOY 20H30 || invito seguir transmision vivo @ lineaduraec # VictoriaDeLaPatria # Casillero6 https : //t.co/y09ZR8VdOd,2019-02-20
Victoria Tatiana,Desintonio Malave,VickyDesintonio,@ VickyDesintonio voto mio familia Ud .,2019-02-20
Victoria Tatiana,Desintonio Malave,VickyDesintonio,"grata conversacion Xavier Lasso , @ kolectiVOZ , presento ideas , historia vida propuesta cambio democracia real participativa , traves candidatura # CPCCS . # VictoriaDeLaPatria # Casillero6 # EleccionesCPCCS",2019-02-22
Victoria Tatiana,Desintonio Malave,VickyDesintonio,"Xavier Lasso entrevista @ VickyDesintonio , candidata @ CPCCS Temas : Semblanza entrevistada - Retos frente restricciones campana . # PalabraSueltaEnKolectiVOZ # Youtube https : //t.co/d0Y0UyOdLK # FBLive https : //t.co/I4GGyb8QRA https : //t.co/4XtBXmrTCs",2019-02-22
Victoria Tatiana,Desintonio Malave,VickyDesintonio,"# PalabraSueltaEnKolectiVOZ | Xavier Lasso entrevista @ VickyDesintonio , candidata @ CPCCS https : //t.co/FUcGODzF8o",2019-02-22
Victoria Tatiana,Desintonio Malave,VickyDesintonio,"# PalabraSueltaEnKolectiVOZ , @ VickyDesintonio `` Constituyente planteamos participacion ciudadana poder fundamental , pretender desaparecer CPCCS desconocer lucha social , organizacion trabajadores , mujeres , jovenes '' https : //t.co/EUe7ySBuPp",2019-02-22
Victoria Tatiana,Desintonio Malave,VickyDesintonio,"`` entendi bien cambio moneda , senti , vi llorar padres angustia poder educar mantener hijos . entendi @ Jubileo2000 '' @ VickyDesintonio Xavier Lasso # PalabraSueltaEnKolectiVOZ https : //t.co/D8rZiDlFl7",2019-02-22
Victoria Tatiana,Desintonio Malave,VickyDesintonio,"@ VickyDesintonio @ jorgeCorella5 @ VickyDesintonio CPCCS , casillero 6",2019-02-24
Victoria Tatiana,Desintonio Malave,VickyDesintonio,"Ademas , embolsillaron beca diciembre . enero , embolsillaron beca enero . Si febrero pagan mes deben , sencillamente , robaron mes beca . @ luisferochoa @ RichardM_A dan cara # BecariosSinBecas # EstudiantesSinBecas https : //t.co/h7Tf2LP4iT",2019-02-24
Victoria Tatiana,Desintonio Malave,VickyDesintonio,"@ wilfridolaz @ OlindoParticipa @ davalos2019 @ GracielaMoraEc @ VickyDesintonio @ MashiRafael @ c_espinozaec si CPCCS va ser elegido democraticamente inconveniente ; Barbarie escuche hablar aquel entrevistado `` grupo van tomar CPCCS '' si pueblo elige sera democracia , actuales puestos DEDO .",2019-02-24
Victoria Tatiana,Desintonio Malave,VickyDesintonio,@ jorge_araujo90 @ MashiRafael Cuente voto familia estimada @ VickyDesintonio,2019-02-24
Victoria Tatiana,Desintonio Malave,VickyDesintonio,"@ VickyDesintonio definicion amor Constitucion Republica Ecuador , bien comun , justicia social , equidad genero hombres mujeres , sumak kawsay # VictoriadelaPatria https : //t.co/wH01zfC71i",2019-02-24
Victoria Tatiana,Desintonio Malave,VickyDesintonio,"# VictoriaDeLaPatria : ! ecuatorianas ecuatorianos hacemos valer voz voto ! 24 marzo escogeremos 7 consejeros consejeras Participacion Ciudadana Control Social , 3 mujeres , 3 hombres 1 representante pueblos nacionalidades . # VictoriaCPCCS https : //t.co/08G9faiLz5",2019-02-24
Victoria Tatiana,Desintonio Malave,VickyDesintonio,"camino voto informado # EleccionesCPCCS , dia lunes 25 febrero , diversas radios querida # Guayaquil . ! espero ! # VictoriaDeLaPatria # Casillero6 # Victoria2019 https : //t.co/rk1QKv1axt",2019-02-24
