nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Joba Aminta,Fon Fay Vasquez,jobafonfay2019,votare nulo # EleccionesCPCCS apoyare : -Pueblos Nacionalidades : Rosa Chala ( @ RosaChalaEc ) -Mujeres : Joba Fon Fay ( @ jobafonfay2019 ) Karina Ponce ( @ KariPonce11 ) -Hombres : Carlos Pauta ( @ carlosrpauta ) Hugo Ludena ( @ VICENTELUDEA1 ) Carlos Figueroa ( @ carlosfigueroa6 ) https : //t.co/b7qVJuymKX,2019-02-28
Joba Aminta,Fon Fay Vasquez,jobafonfay2019,votare nulo # EleccionesCPCCS apoyare : -Pueblos Nacionalidades : Rosa Chala ( @ RosaChalaEc ) -Mujeres : Joba Fon Fay ( @ jobafonfay2019 ) Karina Ponce ( @ KariPonce11 ) -Hombres : Carlos Pauta ( @ carlosrpauta ) Hugo Ludena ( @ VICENTELUDEA1 ) Carlos Figueroa ( @ carlosfigueroa6 ),2019-02-28
Joba Aminta,Fon Fay Vasquez,jobafonfay2019,@ ONU_derechos 7 Candidaturas Consejeros @ CPCCS INDEPENDIENTES ser elegidas si aceptan firmar Pacto Etico 4 COMPROMISOS . @ SofiaAlmeidaEc @ jobafonfay2019 # MariaCatalinaPerezAvila @ HernanUlloa @ davidroserow @ JamesMcpccs @ ChugchilanJaime https : //t.co/3p1rPGk94F,2019-02-28
Joba Aminta,Fon Fay Vasquez,jobafonfay2019,@ fernandobalda @ CPCCS @ LassoGuillermo @ HernanUlloa @ SofiaAlmeidaEc voto familia : @ HernanUlloa @ ALANDMOLESTINAM @ davidroserow @ jobafonfay2019 @ SofiaAlmeidaEc Maria Catalina Perez Francisco Bravo '' VIVA ECUADOR CARCEL CORRUPTOS '',2019-03-01
Joba Aminta,Fon Fay Vasquez,jobafonfay2019,"Coincidimos , Lasso derecha llaman nulo voto nulo voto candidatos provenientes organizaciones sociales : Pueblos nacionalidades @ RosaChalaEc Mujeres @ KariPonce11 @ jobafonfay2019 Hombres @ CarlosPauta Hugo Ludena @ carlosfigueroa6 https : //t.co/GkGjQNjrNv",2019-03-01
Joba Aminta,Fon Fay Vasquez,jobafonfay2019,"@ LuisLaraParedes @ voz_ec @ ALANDMOLESTINAM @ HernanUlloa @ jobafonfay2019 @ SofiaAlmeidaEc @ davidroserow Aqui polla casilleros , # NoAlVotoNulo https : //t.co/IflkdcLgW0",2019-03-01
Joba Aminta,Fon Fay Vasquez,jobafonfay2019,"@ voz_ec @ RonPeper voto : @ ALANDMOLESTINAM @ HernanUlloa @ jobafonfay2019 @ SofiaAlmeidaEc @ davidroserow Maria Catalina Perez Francisco Bravo . Srs asi q llegar pueblo , solo puno siete candidatos . opinon respeto demas . `` Buen viento buena mar ''",2019-03-01
Joba Aminta,Fon Fay Vasquez,jobafonfay2019,@ TamaApoyo Elige mejores VOTA 24 marzo CPCCS https : //t.co/368LOB24xQ,2019-03-02
Joba Aminta,Fon Fay Vasquez,jobafonfay2019,"voto iba ser @ CesarMontufar51 , Esteban Moscoso , @ HernanUlloa @ davidroserow , Sofia Y. Almeida , Joba A. Fon Fay , M. Catalina Perez , A. Javier Molestina F. Lorenzo Bravo , padron , voto menos candidatos , @ cnegobec @ CNEVice @ BorisVianII",2019-03-02
Joba Aminta,Fon Fay Vasquez,jobafonfay2019,Declaro x votare proximo CPCCS . Puede equivoque . aviso dando voto tendre derecho reclamarle promesas campana . @ SofiaAlmeidaEC @ HernanUlloa @ 8_Caty @ jobafonfay2019 @ manababravo @ apoyoDrFigueroa @ alandmolestinam https : //t.co/fOaQ4Inhn5,2019-03-04
Joba Aminta,Fon Fay Vasquez,jobafonfay2019,@ gorihuela @ SofiaAlmeidaEc @ HernanUlloa @ 8_caty @ jobafonfay2019 @ manababravo @ ApoyoDrFigueroa @ ALANDMOLESTINAM Totalmente acuerdo 7 q pueden garantizarnos ecuanimidad CPCCS .. APOYO TOTALMENTE NOMBRES ..,2019-03-04
Joba Aminta,Fon Fay Vasquez,jobafonfay2019,"verdadera participacion ciudadana , impulsando valores etica acabar corrupcion . https : //t.co/w1b6nlchI5",2019-03-05
Joba Aminta,Fon Fay Vasquez,jobafonfay2019,"lucha conseguir liberarnos corrupcion sociedad principal compromiso llegar @ CPCCS , haremos impulsando valores motivando participacion ciudadanos . https : //t.co/fmiDjNeujV",2019-03-05
Joba Aminta,Fon Fay Vasquez,jobafonfay2019,"Gracias todas organizaciones sociales , pais , unido apoyar candidatura dar conocer propuesta ciudadania . https : //t.co/uTnnWvhrvw",2019-03-06
Joba Aminta,Fon Fay Vasquez,jobafonfay2019,"@ SofiaAlmeidaEc , @ ChugchilanJaime , @ davidroserow @ jobafonfay2019 buenas opciones , lista falta solo falta doctor @ HernanUlloa voto 5 candidatos momento . https : //t.co/xJTFa0vJUe",2019-03-06
Joba Aminta,Fon Fay Vasquez,jobafonfay2019,@ CorporacionGES @ ONU_derechos @ ONUMujeres @ onumujeresEcu @ KariPonce11 @ SofiaAlmeidaEc @ jobafonfay2019 @ NemySantacruz # KarinaEsMiVoz,2019-03-06
Joba Aminta,Fon Fay Vasquez,jobafonfay2019,Acompane hoy Coalicion Nacional Organizaciones Movimientos Sociales presentar denuncia CNE detener campana sucia Guillermo Lasso candidatos CPCCS .. https : //t.co/FZq5e8XCUP,2019-03-07
Joba Aminta,Fon Fay Vasquez,jobafonfay2019,invitados hoy conversatorio @ ITBolivariano hablaremos # CPCCS # TuParticipacionEsLaSolucion # JaimeChugchilanEsParticipacion https : //t.co/48QqI6vOPX,2019-03-08
